vpisna št. 	1pk	2pk	3pk	4pk	vspk	ocpk	1iz	2iz	3iz	4iz	vsiz	ociz	ocena
04044503							20	6	23	10	59	6	8
63130033							19	6	19	10	54	6	8
63130275							23	13	25	15	76	8	9
63140007	25	16	13	10	64	7	13	6	16	9	44	5	5
63140044							19	11	24	9	63	7	7
63140056							8	-2	13	6	25	5	5
63140101							18	6	18	8	50	6	7
63140108							19	11	19	9	58	6	7
63140121							15	9	13	7	44	5	5
63140147	25	10	1	2	38	5							5
63140169	25	0	21	6	52	6	8	13	12	18	51	6	6
63140204							10	8	25	7	50	6	7
63140221	17	16	23	9	65	7	18	11	6	9	44	5	5
63140287							18	10	18	9	55	6	7
63140362	23	10	2	9	44	5							5
63150040							24	20	19	12	75	8	9
63150041							21	14	25	18	78	8	9
63150046							21			3-	21	5	5
63150047							16	4-	10	9	35	5	5
63150051	10	0	12	8	30	5							5
63150052	20	10	10	17	57	6	21	1-	19	9	49	5	5
63150058							16	9	13	10	48	5	5
63150061							10	5-	25	8	43	5	5
63150062							22	10	25	9	66	7	8
63150067	17	8	10	4	39	5							5
63150069	25	13	12	17	67	7	17	6	19	9	51	6	6
63150076	22	10	6	17	55	6	13	10	19	9	51	6	6
63150077							13	12	18	10	53	6	7
63150087	10	0	6	6	22	5							5
63150095	22	10	3	13	48	5							5
63150097							23	14	22	12	71	8	9
63150103							20	10	25	21	76	8	9
63150106							20	6	19	21	66	7	8
63150107	25	14	2	2	43	5							5
63150108	25	3	12	17	57	6	18	8	25	15	66	7	7
63150111	25	10	2	8	45	5							5
63150114	25	0	2	2	29	5							5
63150116							19	18	19	15	71	8	9
63150117	23	10	15	8	56	6	21			4-	21	5	5
63150121							16	8	19	7	50	6	7
63150127							25	18	23	15	81	9	9
63150131							24	23	23	16	86	9	10
63150134	15	4	9	3	31	5							5
63150136							16	13	25	8	62	7	7
63150139							25	22	25	12	84	9	9
63150145	25	5	9	17	56	6	18	8	19	12	57	6	6
63150148							23	12	20	7	62	7	8
63150154							19	2-		19	38	5	5
63150156	25	16	17	14	72	8	20	8	19	9	56	6	7
63150157	25	10	10	17	62	7	15	2-		7	22	5	5
63150158							15	12	19	16	62	7	8
63150162													5
63150163							19	13	25	9	66	7	8
63150165	10	8	12	17	47	5							5
63150170							10	5	24	9	48	5	5
63150172	10	10	6	17	43	5							5
63150174							6	6	19	15	46	5	5
63150176							13	6	7	9	35	5	5
63150179							15	12	21	17	65	7	8
63150180	15	16	5	16	52	6	14	3-		7	21	5	5
63150181							24	12	19	18	73	8	8
63150183							20	14	25	15	74	8	9
63150185							23	13	12	21	69	7	8
63150187	10	12	0	16	38	5							5
63150188													5
63150190	17	10	15	13	55	6	16	2-		6	22	5	5
63150194							23	21	25	18	87	9	10
63150197							18	15	16	11	60	7	8
63150198	10	8	0	17	35	5							5
63150199							22	6	13	9	50	6	7
63150200							23	13	20	15	71	8	9
63150215							21	6	20	12	59	6	7
63150217	18	4	2	16	40	5							5
63150219							22	11	25	15	73	8	9
63150220							19	10	19	10	58	6	7
63150228							16	10	16	8	50	6	7
63150231	23	10	21	14	68	7	15	2-		8	23	5	5
63150232							21	12	25	8	66	7	8
63150233	10	10	12	6	38	5							5
63150239							24	13	20	15	72	8	9
63150241							20	17	25	16	78	8	9
63150244							20	24	25	21	90	10	10
63150247							19	14	19	8	60	7	8
63150248							14	9	25	8	56	6	8
63150249							21	18	23	18	80	9	9
63150250							21	14	19	8	62	7	8
63150258	10	0	0	6	16	5							5
63150260	25	5	0	10	40	5							5
63150263	10	16	21	8	55	6	10	0-		6	16	5	5
63150264	17	10	2	12	41	5							5
63150266	10	0	10	6	26	5							5
63150268							11	6	6	11	34	5	5
63150272							20	12	25	18	75	8	9
63150273							22	6	20	8	56	6	8
63150274							14	7	24	17	62	7	8
63150275	17	0	8	2	27	5							5
63150276	25	10	0	3	38	5							5
63150283							17	7	21	6	51	6	8
63150284							14	6	19	6	45	5	5
63150286	10	0	0	7	17	5							5
63150295	0	10	0	6	16	5							5
63150302							17	10	25	13	65	7	8
63150304							16	4-	13	7	36	5	5
63150307							6	8	14	6	34	5	5
63150309	15	8	10	10	43	5							5
63150314							23	6	19	9	57	6	7
63150317							24	17	22	8	71	8	9
63150335	10	0	0	0	10	5							5
63150346							22	20	25	18	85	9	9
63150355													5
63150367							22	21	24	20	87	9	9
63150369							13	16	19	10	58	6	8
63150371	15	10	21	14	60	7	24	12	25	23	84	9	8
63150372							20	17	23	8	68	7	7
63150374							23	11	19	14	67	7	8
63150375							19	14	25	18	76	8	8
63150434	0	10	2	9	21	5							5
