
	1naloga	2naloga	3naloga	4naloga  vsota1kol
4044503	25	20	15	11	71
63050471	17	5	0	0	22
63060366	25	0	0	2	27
63100017	20	3	3	25	51
63110008	15	5	10	22	52
63110236					0
63130033	25	10	20	25	80
63130106	0	5	5	0	10
63130141					0
63130174					0
63130192					0
63130275	25	22	10	25	82
63130369	0	0	0	22	22
63140005	7	3	0	0	10
63140007	17	7	3	14	41
63140028					0
63140042	20	3	10	25	58
63140044	25	5	10	9	49
63140056	25	7	20	25	77
63140090	10	0	3	16	29
63140101	15	5	10	25	55
63140104	10	0	3	4	17
63140108	17	0	15	25	57
63140121	24	10	10	25	69
63140147	10	0	10	11	31
63140169	25	0	5	11	41
63140204	25	5	3	25	58
63140221	5	3	0	23	31
63140287	24	3	10	23	60
63140339					0
63140353					0
63140362	15	5	10	20	50
63150039	5	5	3	9	22
63150040	20	7	10	25	62
63150041	25	7	15	25	72
63150043	0	5	0	0	5
63150046	25	5	10	25	65
63150047	25	5	10	22	62
63150048	10	4	0	4	18
63150051	5	5	0	11	21
63150052	20	5	3	22	50
63150057	10	10	3	5	28
63150058	10	5	3	22	40
63150059	5	5	3	0	13
63150061	25	5	20	25	75


63150062	25	5	20	25	75
63150065	25	5	10	23	63
63150067	20	3	5	2	30
63150068	20	5	10	6	41
63150069	17	7	5	11	40
63150076	20	7	3	0	30
63150077	25	5	10	23	63
63150078					0
63150087	10	5	3	0	18
63150090	20	5	3	25	53
63150091	0	5	3	11	19
63150095	0	5	3	9	17
63150097	10	20	15	25	70
63150101	20	5	0	2	27
63150103	22	13	3	25	63
63150106	18	17	10	25	70
63150107	0	0	3	11	14
63150108	25	5	10	14	54
63150109	25	5	3	11	44
63150111	25	5	10	9	49
63150114	10	4	3	8	25
63150116	15	15	3	25	58
63150117	15	7	3	10	35
63150118					0
63150121	20	5	3	25	53
63150122	25	5	3	25	58
63150124	25	7	0	0	32
63150127	15	17	20	25	77
63150128	5	5	10	2	22
63150131	25	20	10	25	80
63150133	0	3	3	0	6
63150134	10	5	3	25	43
63150136	15	0	10	25	50
63150138					0
63150139	25	20	10	25	80
63150141					0
63150145	20	10	8	9	47
63150146	25	0	15	16	56
63150148	17	10	3	25	55
63150154	25	5	10	22	62
63150156	13	5	10	25	53
63150157	25	0	5	21	51
63150158	25	5	15	25	70
63150160	20	5	5	25	55
63150162	10	5	10	11	36
63150163	25	10	13	25	73


63150165	5	10	5	11	31
63150167	10	0	5	8	23
63150170	23	4	3	25	55
63150172	17	5	15	11	48
63150174	12	5	10	11	38
63150176	25	5	5	25	60
63150179	25	10	5	23	63
63150180	17	3	5	15	40
63150181	15	5	10	23	53
63150183					0
63150185	25	5	3	22	55
63150186	25	7	10	22	64
63150187	10	3	5	11	29
63150188	10	0	0	6	16
63150189	10	4	5	23	42
63150190	15	5	3	5	28
63150194	25	25	25	20	95
63150195	25	10	5	5	45
63150196	10	5	10	20	45
63150197	25	13	10	25	73
63150198	0	5	5	11	21
63150199	10	10	5	22	47
63150200	25	5	15	25	70
63150210					0
63150213	25	5	25	15	70
63150215	15	10	5	22	52
63150217	10	4	5	16	35
63150219	20	20	10	25	75
63150220	17	10	5	20	52
63150223					0
63150225					0
63150226					0
63150227	10	4	5	0	19
63150228	0	12	10	25	47
63150231	7	4	0	17	28
63150232	25	5	5	17	52
63150233	10	0	10	4	24
63150239	25	10	15	25	75
63150241	25	20	5	22	72
63150244	25	23	10	16	74
63150247	24	7	0	25	56
63150248	25	5	10	25	65
63150249	15	5	0	25	45
63150250	25	10	15	23	73
63150258	15	0	5	25	45
63150259	0	10	0	17	27


63150260	25	5	5	11	46
63150263	18	3	5	25	51
63150264	15	5	5	6	31
63150266	10	7	0	0	17
63150267	10	5	5	10	30
63150268	25	5	10	25	65
63150271	10	5	3	13	31
63150272	23	20	10	25	78
63150273	25	5	5	25	60
63150274	25	10	10	25	70
63150275	17	5	5	0	27
63150276	10	5	0	4	19
63150283	17	10	10	25	62
63150284	25	10	15	25	75
63150286	15	5	5	0	25
63150288	0	5	0	7	12
63150289	10	3	5	0	18
63150295	10	5	0	0	15
63150302	17	13	5	25	60
63150304	15	5	10	23	53
63150306	25	10	20	25	80
63150307	24	5	5	25	59
63150309	15	4	5	25	49
63150314	20	5	10	17	52
63150315					0
63150317	25	20	10	25	80
63150320	10	0	5	0	15
63150321	0	0	5	0	5
63150322	10	5	10	23	48
63150328	0	0	3	2	5
63150335	7	5	10	11	33
63150336	25	7	10	20	62
63150343					0
63150345	0	0	0	0	0
63150346	25	7	10	25	67
63150348					0
63150351					0
63150355	0	0	0	0	0
63150361	0	0	0	0	0
63150364	25	5	0	0	30
63150365	7	7	0	5	19
63150367	22	2	10	9	43
63150369	25	15	10	20	70
63150371	10	5	10	25	50
63150372	25	5	5	7	42
63150373	13	5	0	17	35


63150374	17	5	20	25	67
63150375	25	5	5	25	60
63150434	7	5	3	0	15
63150435					0
63150437	0	5	0	0	5

