Vpisna številka	1	2	3	4	SKUPAJ
4041887	22	25	25	23	95
63040259	23	25	25	25	98
63060415	15	13	15	0	43
63090133					0
63090213	17	15	0	20	52
63100017	15	5	2	5	27
63100136	15	13	10	0	38
63110008	23	13	0	0	36
63110236					0
63120040	5	0	5	0	10
63120042	23	18	20	0	61
63120099					0
63120299					0
63130016	10	6	10	15	41
63130022	15	3	4	0	22
63130099	25	5	7	0	37
63130103	18	13	18	5	54
63130106	14	10	5	0	29
63130141					0
63130192					0
63130213	12	13	10	0	35
63130231	18	13	15	0	46
63130250	12	12	7	0	31
63130260	17	3	10	10	40
63130369	20	25	20	10	75
63140028					0
63140042	17	13	2	0	32
63140044					0
63140047	18	15	17	25	75
63140056	13	8	12	0	33
63140059	12	15	5	5	37
63140072	17	8	2	20	47
63140074	20	25	15	7	67
63140080	10	25	8	15	58
63140082	12	25	14	15	66
63140090	13	15	10	0	38
63140101	15	13	10	0	38
63140104	22	8	5	0	35
63140108	12	0	7	10	29
63140121	18	13	12	25	68
63140131	16	3	4	10	33
63140147	20	13	10	3	46
63140169	5	5	0	0	10
63140171	12	12	10	12	46
63140177	18	10	10	5	43
63140179	20	15	5	20	60
63140194	13	13	15	0	41
63140204	15	15	2	0	32
63140221	0	13	5	5	23
63140222					0
63140253	25	12	10	5	52
63140287	9	13	10	5	37
63140292					0
63140294	12	12	12	5	41
63140324	17	25	25	20	87
63140339	22	25	25	15	87
63140353					0
63140362	12	6	5	0	23
63150039	17	10	3	2	32
63150040	25	25	20	25	95
63150041	20	25	25	20	90
63150043	6	13	2	5	26
63150046	13	25	15	5	58
63150047	18	10	10	0	38
63150048	8	5	0	0	13
63150051	20	13	2	0	35
63150052	20	3	10	10	43
63150057	3	25	0	5	33
63150058	15	25	12	5	57
63150059	17	13	3	0	33
63150061	17	5	18	5	45
63150062	22	20	3	0	45
63150065	18	13	23	0	54
63150067	20	10	18	0	48
63150068	15	13	5	0	33
63150069	15	12	17	12	56
63150076	15	22	12	5	54
63150077	25	25	18	25	93
63150078	17	10	17	10	54
63150087	1	8	5	0	14
63150090	23	25	22	15	85
63150091	12	20	7	10	49
63150095	12	6	5	0	23
63150097	15	25	23	20	83
63150101	10	15	22	17	64
63150103	25	25	20	17	87
63150106	16	25	20	5	66
63150107	12	13	5	0	30
63150108	15	9	12	15	51
63150109	23	25	15	0	63
63150111	18	18	18	10	64
63150114	12	12	12	2	38
63150116	15	25	0	20	60
63150117	12	15	10	25	62
63150118					0
63150121	8	6	5	2	21
63150122	25	25	18	25	93
63150124	10	10	12	0	32
63150127	22	15	22	10	69
63150128	10	8	2	0	20
63150131	22	25	25	20	92
63150133	12	0	2	17	31
63150134	16	10	25	18	69
63150136	18	25	20	18	81
63150138	5	10	0	0	15
63150139					0
63150141					0
63150145	15	20	15	0	50
63150146	22	25	22	25	94
63150148	18	25	18	0	61
63150154	18	15	22	0	55
63150156	25	25	20	20	90
63150157	6	3	2	5	16
63150158	23	12	12	20	67
63150160	20	5	20	10	55
63150162	12	0	5	0	17
63150163	22	25	22	22	91
63150165	19	3	5	20	47
63150167	5	5	0	0	10
63150170	15	25	20	0	60
63150172	10	12	7	0	29
63150174	20	25	5	20	70
63150176	14	10	10	20	54
63150179	22	25	25	25	97
63150180	20	13	15	5	53
63150181	18	15	10	5	48
63150183	23	25	22	18	88
63150185	25	25	23	22	95
63150186	22	5	15	20	62
63150187	21	23	10	0	54
63150188					0
63150189	23	23	10	20	76
63150190	12	13	10	20	55
63150194	24	25	23	25	97
63150195	25	25	12	5	67
63150196	15	15	5	5	40
63150197	22	10	25	25	82
63150198	0	13	7	10	30
63150199	22	15	15	15	67
63150200	22	25	17	20	84
63150210					0
63150213	18	8	5	15	46
63150215	22	25	25	15	87
63150217	12	13	5	5	35
63150219	20	25	22	12	79
63150220	9	12	7	0	28
63150223					0
63150225					0
63150226					0
63150227	0	8	2	5	15
63150228	18	25	15	5	63
63150231	0	0	3	0	3
63150232	15	25	17	15	72
63150233	14	5	2	0	21
63150239	23	25	25	10	83
63150241	22	25	25	25	97
63150244					0
63150247	22	25	25	15	87
63150248	23	11	25	22	81
63150249	23	18	15	25	81
63150250	22	25	25	0	72
63150258	15	3	2	0	20
63150259	19	18	5	0	42
63150260	22	25	25	10	82
63150263	12	6	10	0	28
63150264	8	6	0	0	14
63150266	5	18	15	0	38
63150267	20	25	20	5	70
63150268	25	25	15	10	75
63150271	22	16	25	20	83
63150272	17	25	17	25	84
63150273	22	20	17	15	74
63150274	18	18	10	15	61
63150275	3	5	0	0	8
63150276	18	25	20	0	63
63150283	22	13	2	15	52
63150284	22	13	23	20	78
63150286	3	5	7	0	15
63150288	25	12	7	10	54
63150289	2	0	0	0	2
63150295	12	3	5	10	30
63150302	25	25	22	25	97
63150304	15	18	5	10	48
63150306	20	25	25	20	90
63150307	12	25	10	15	62
63150309	17	5	10	0	32
