id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit
665257,2,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",""Other pet(s)"",""Indoor Fireplace"",Heating}",1.0,Real Bed,1,1,moderate,$15.00,0.9909,$10.00,2012-09-04,2,0.9606,N/A,t,100%,within a few hours,2012-06-10,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",f,t,35.59078366342912,https://www.airbnb.com/rooms/665257,-82.59146636997585,120,7,0.836,0.0,0.0,47,$105.00,House,10,10,9,10,9,96,10,1.06,Entire home/apt,$100.00,0.9805,,0.9217,0.0
2746729,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Dog(s),""Hot Tub"",Heating,""Family/Kid Friendly""}",1.0,Real Bed,1,2,strict,$40.00,0.8188,$0.00,2014-04-28,2,0.9897,84%,t,100%,within an hour,2012-12-01,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",f,f,35.5849679090387,https://www.airbnb.com/rooms/2746729,-82.63219899642932,1125,2,0.0,0.7945,0.8975,65,$125.00,Tent,9,10,10,10,9,96,9,2.69,Entire home/apt,,0.8258,,0.0,0.7088
6919450,1,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,flexible,$25.00,0.3716,$0.00,,1,0.9595,N/A,f,N/A,N/A,2015-06-19,1,"['phone', 'facebook']",f,f,35.62659989827466,https://www.airbnb.com/rooms/6919450,-82.63761794784351,1125,1,0.4404,0.0,0.0,0,$45.00,House,,,,,,,,,Private room,,0.0,,0.3716,0.0
12286328,6,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2.5,Real Bed,1,6,moderate,,0.4404,$24.00,,1,0.0,68%,f,100%,within a few hours,2011-06-26,6,"['email', 'phone', 'facebook', 'reviews']",f,t,35.57915861434203,https://www.airbnb.com/rooms/12286328,-82.59639206632468,7,1,0.0,0.0,0.0,0,$24.00,Dorm,,,,,,,,,Shared room,,0.0,,0.4404,0.0
156926,6,"{Internet,""Wireless Internet"",""Free Parking on Premises"",""Smoking Allowed"",Heating,""Family/Kid Friendly"",""Suitable for Events""}",2.5,Real Bed,1,6,moderate,,0.9638,$24.00,2011-09-01,1,0.0,68%,f,100%,within a few hours,2011-06-26,6,"['email', 'phone', 'facebook', 'reviews']",f,t,35.577755335851116,https://www.airbnb.com/rooms/156926,-82.5949955466383,7,1,0.0,0.0,0.0,114,$24.00,House,9,10,9,9,9,93,10,2.02,Shared room,,0.9638,,0.0,0.0
3767793,10,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Hot Tub"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",""24-Hour Check-in"",Hangers}",2.5,Real Bed,4,5,strict,$150.00,0.9851,$12.00,2014-08-04,4,0.9844,73%,t,100%,within a few hours,2013-10-12,3,"['email', 'phone', 'facebook', 'reviews', 'kba']",f,t,35.635953066770654,https://www.airbnb.com/rooms/3767793,-82.649397506254,180,2,0.0,0.7003,0.0,24,$105.00,House,8,9,8,9,8,78,8,1.15,Entire home/apt,$250.00,0.9774,,0.8378,0.4588
5927700,2,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials}",1.0,Real Bed,1,1,flexible,,0.9838,$15.00,2015-04-19,2,0.9747,100%,t,100%,within an hour,2015-02-12,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,35.58987845895937,https://www.airbnb.com/rooms/5927700,-82.58580023698586,1125,1,0.4404,0.6808,0.9337,98,$65.00,House,10,10,10,10,9,93,9,7.95,Private room,$100.00,0.9744,,0.8652,-0.296
6698737,2,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",1.0,Real Bed,1,1,moderate,$5.00,0.9932,$0.00,2015-06-07,1,0.967,96%,t,100%,within an hour,2015-03-19,1,"['email', 'phone', 'reviews', 'kba']",t,t,35.575505673568806,https://www.airbnb.com/rooms/6698737,-82.59314187894729,1125,1,0.7177,0.92,0.9438,50,$75.00,House,10,10,10,10,10,98,10,4.67,Private room,,0.9705,,0.9457,0.4404
7966916,3,"{""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Fire Extinguisher"",Essentials}",1.0,Real Bed,1,2,moderate,$15.00,0.979,$20.00,2015-10-05,2,0.9788,100%,t,100%,within an hour,2014-04-24,1,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,t,35.57169346033714,https://www.airbnb.com/rooms/7966916,-82.58846327828371,7,2,0.2023,0.9186,0.1263,30,$75.00,House,10,10,10,10,10,99,10,4.48,Private room,,0.9524,,0.2023,-0.6597
2254521,2,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,strict,$10.00,0.9881,$15.00,2014-02-16,1,0.0,100%,t,100%,within a few hours,2011-04-30,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",f,t,35.56892841641057,https://www.airbnb.com/rooms/2254521,-82.56834178569086,1125,1,0.0,0.7906,0.0,16,$65.00,Bed & Breakfast,10,10,9,10,10,94,9,0.60,Private room,,0.9933,0,0.95,-0.2263
