id,date,comments
22208895,2014-11-01,0.9637
22619785,2014-11-10,0.9595
23234873,2014-11-25,0.0
23338508,2014-11-29,0.987
24989361,2015-01-04,0.9914
25574851,2015-01-19,0.9927
25733494,2015-01-24,0.9972
25780649,2015-01-25,0.9477
26464428,2015-02-13,-0.4359
26546211,2015-02-15,0.9889
27078287,2015-02-24,0.9552
27697581,2015-03-09,0.9852
28070916,2015-03-17,0.9523
28690096,2015-03-28,0.9834
30179851,2015-04-18,0.9844
30371259,2015-04-20,0.9242
30685951,2015-04-26,0.9701
31140388,2015-05-02,0.9469
31406809,2015-05-04,0.9907
32001921,2015-05-12,0.8977
32618189,2015-05-19,0.9821
34977694,2015-06-14,0.8244
37366378,2015-07-06,0.978
37823737,2015-07-10,0.9612
37937699,2015-07-11,0.9738
38087955,2015-07-12,0.976
38929153,2015-07-19,0.9892
40038959,2015-07-27,-0.3593
40980472,2015-08-03,0.9874
42888560,2015-08-16,0.9075
44030490,2015-08-23,0.9737
45049495,2015-08-30,0.9495
46055994,2015-09-07,0.9428
47695367,2015-09-21,0.9777
48119398,2015-09-23,0.969
48433349,2015-09-26,0.9864
49464507,2015-10-04,0.636
51579282,2015-10-21,0.9924
51871341,2015-10-24,0.9744
52002985,2015-10-25,0.9011
53237389,2015-11-06,0.9396
5695155,2013-07-12,0.9725
8994836,2013-12-01,0.9905
13155133,2014-05-20,0.9197
26124124,2015-02-03,0.0
26768127,2015-02-18,0.9743
28405338,2015-03-23,0.942
29630018,2015-04-10,0.9765
30041037,2015-04-16,0.9912
33839852,2015-06-01,0.9761
35796788,2015-06-22,0.9854
40240561,2015-07-29,0.8126
42090415,2015-08-10,0.8916
10343504,2014-02-14,0.9177
10374195,2014-02-16,0.8795
10453854,2014-02-19,0.974
10552500,2014-02-24,0.899
10648647,2014-03-01,0.9896
10820176,2014-03-09,0.9906
10903111,2014-03-12,0.949
11048333,2014-03-18,0.973
11129714,2014-03-22,0.9837
11155695,2014-03-23,0.928
11219529,2014-03-25,0.9869
11352995,2014-03-31,0.9621
12160323,2014-04-24,0.4585
12330976,2014-04-29,0.9936
12596914,2014-05-05,0.9819
12648188,2014-05-06,0.8748
12824730,2014-05-12,0.9386
12899597,2014-05-13,0.9153
12965449,2014-05-15,0.886
13023960,2014-05-17,0.9916
13138269,2014-05-20,0.916
13349402,2014-05-26,0.945
13459114,2014-05-27,0.8304
13528049,2014-05-29,0.9668
13611230,2014-06-01,0.7801
13823872,2014-06-05,0.9686
13882476,2014-06-07,0.9709
14079916,2014-06-11,0.3708
14288607,2014-06-16,0.9284
14372957,2014-06-17,0.885
14581879,2014-06-22,0.7039
14985528,2014-06-30,0.8316
15071901,2014-07-01,0.9277
15376567,2014-07-07,0.9748
15853812,2014-07-16,0.9918
16150304,2014-07-22,0.9701
16562255,2014-07-29,0.9495
17052854,2014-08-06,0.8925
17137229,2014-08-07,0.8422
17394669,2014-08-11,0.9792
18201470,2014-08-23,0.9731
18342562,2014-08-25,0.9
18800764,2014-09-01,0.9927
19147345,2014-09-07,0.9771
19937861,2014-09-21,0.9737
20420237,2014-09-29,0.8998
21119533,2014-10-12,0.9495
21330729,2014-10-14,0.893
21510890,2014-10-19,0.9313
21787661,2014-10-24,0.9422
21930378,2014-10-26,0.9537
22053500,2014-10-28,0.816
22287923,2014-11-03,0.9822
22494470,2014-11-08,0.9422
22840609,2014-11-16,0.9702
23071335,2014-11-22,0.9606
25329108,2015-01-12,0.9797
25610285,2015-01-20,0.8481
25738582,2015-01-25,0.8687
25976462,2015-01-31,0.9652
26142298,2015-02-04,0.9879
26593563,2015-02-16,0.714
27103245,2015-02-25,0.8817
27546212,2015-03-07,0.9695
27574145,2015-03-08,0.9872
27791307,2015-03-12,0.8354
28115960,2015-03-18,0.9041
28172646,2015-03-19,0.9485
28326143,2015-03-22,0.9265
28581436,2015-03-26,0.886
28646704,2015-03-28,0.9825
28724888,2015-03-29,0.9647
28917732,2015-03-31,0.9835
29174564,2015-04-05,0.9744
29514094,2015-04-08,0.9377
29639692,2015-04-10,0.8089
29729261,2015-04-12,0.8439
30153613,2015-04-18,0.955
30280151,2015-04-20,0.9988
31646384,2015-05-08,0.7778
31890371,2015-05-11,0.963
32043292,2015-05-12,0.9607
32243343,2015-05-16,0.9612
32716807,2015-05-20,0.9522
32889548,2015-05-23,0.8582
33111450,2015-05-25,0.8885
33536632,2015-05-29,0.9746
33811920,2015-06-01,0.9619
34302327,2015-06-07,0.9124
35375461,2015-06-18,0.8885
35529395,2015-06-19,0.9409
36158216,2015-06-25,0.0863
36511100,2015-06-29,0.9617
36847384,2015-07-01,0.7749
37299963,2015-07-06,0.9358
37904536,2015-07-11,0.9201
37976184,2015-07-12,0.9706
38614409,2015-07-17,0.9787
39347139,2015-07-22,0.9855
39863939,2015-07-26,0.8821
40253952,2015-07-29,-0.9222
41666763,2015-08-08,0.9263
41910687,2015-08-09,0.6588
42080727,2015-08-10,0.9623
42954501,2015-08-16,0.9411
44053233,2015-08-23,0.9089
45034554,2015-08-30,0.9935
46138125,2015-09-08,0.9761
46746844,2015-09-13,0.8834
47653727,2015-09-21,0.9299
48051281,2015-09-22,0.9604
48498004,2015-09-27,0.9571
50062646,2015-10-09,0.9201
50608168,2015-10-12,0.9784
51091402,2015-10-17,0.9413
51406281,2015-10-19,0.9709
51587680,2015-10-21,0.9817
52036587,2015-10-26,0.9709
20920841,2014-10-07,0.9866
21281345,2014-10-14,0.9537
21928167,2014-10-26,0.8932
22306567,2014-11-03,0.9889
26581142,2015-02-15,0.7003
26656443,2015-02-16,0.8221
28071783,2015-03-17,0.9888
28496366,2015-03-24,0.8975
29858848,2015-04-13,0.993
30849377,2015-04-27,0.9637
31406749,2015-05-04,0.8689
32435700,2015-05-17,0.9023
32987544,2015-05-24,0.958
33179279,2015-05-25,0.9737
36628817,2015-06-29,0.9399
37407590,2015-07-06,0.9048
46254028,2015-09-08,0.9344
52595853,2015-10-31,0.939
6380185,2013-08-10,0.9816
7566502,2013-09-24,0.9643
8535944,2013-11-04,0.669
10803121,2014-03-08,0.8388
11676678,2014-04-11,0.7896
11928672,2014-04-19,0.7943
13836065,2014-06-05,0.9397
14480442,2014-06-20,0.9611
15178795,2014-07-04,0.9564
15942399,2014-07-18,0.9939
16317704,2014-07-25,0.9244
16723429,2014-08-01,0.7717
17704217,2014-08-16,0.9901
19575291,2014-09-14,0.796
19798527,2014-09-18,0.9665
20591865,2014-10-01,0.8316
22116245,2014-10-30,0.9473
27763847,2015-03-11,0.9071
31674250,2015-05-08,0.9224
33537560,2015-05-29,0.9709
35351207,2015-06-17,0.1901
35433166,2015-06-18,0.9621
36117689,2015-06-25,0.9889
36814615,2015-07-01,0.9515
39803006,2015-07-26,0.9442
40618266,2015-08-01,0.8625
47011553,2015-09-14,0.9728
