id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
4045398,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",Essentials}",1.0,Airbed,1,1,0.5,15.0,"Twin-sized airbed (for 1-person booking) or queen-sized airbed (for 2-person booking) in sunny, shared living room or office. Close to public transit; 10-minute bus to lakefront. Restaurants, bars, cafes nearby. Backyard with lovely, private garden. My home is beautifully decorated, calm and spacious, and in a very safe neighborhood with free parking in front of house.  Also, it has a large, fenced-in, landscaped backyard -- very uncommon for city living!  I am a professional tour guide, and I offer free tour passes to all my guests (as time allows). I PROVIDE: Towels Bed linens Key to apartment (if needed) Free tour on one of my walking tour routes ((website hidden)) Access to all parts of apartment except my computer.  Includes access to paid laundry in basement.  Towels and bed linens provided, along with morning coffee.  :) I interact with my guests as much as they'd like me to.  I'm a tour guide by trade, and I'm happy to show people around and/or give them recommendations of what",25.0,2014-09-14,1,0.9217,0.136986301369863,1,0.0014084507042253522,0.5,0.9477260846837428,0.03,4.8,0,1,41.97647609400002,https://www.airbnb.com/rooms/4045398,-87.68537499474732,1125,1,Airbed + free walking tour!,0.9296,0.9294,0.007,65.0,Apartment,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,Shared room,-1,0.944,,0.8402,-0.743,https://a2.muscache.com/ac/pictures/50857264/99345068_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/50857264/99345068_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9887,7.067301215553547,"{'2014-09-14': 7.258423913823338, '2014-10-14': 7.206117227413461, '2015-05-19': 6.219790041397808, '2015-05-31': 7.108619102377406, '2015-08-04': 7.213617083185465}",0.6,7.307551777850426
5814832,2,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",1.0,Real Bed,1,1,0.5,45.0,"Private entrance studio.  Cozy 1 bedroom with a queen size bed, full bathroom and kitchen along with a back porch.  Located on a quiet block in Chicago's Ravenswood neighborhood - within a few blocks of a lovely park, coffee shops, eateries & the L. Welcome to the neighborhood!  We think our Ravenswood neighborhood is one of the best in the city - safe, a great park nearby by and tons of restaurants and fun things to do.  Our private studio is on the first floor of our Chicago 2-flat where my husband Johnse and I live.  We reside on the top floor unit.  The first floor unit has been divided in half - one half is my office (I am a communication consultant) and the other half, is a private studio with a private entrance!  There is a locked door that separates the two spaces so you'll have complete privacy and a key to the back door to let yourself come and go as you please. The three room studio is perfect for a couple or a single individual. The Winchester Studio's doorway opens on to a",0.0,2015-04-28,1,0.981,0,1,0.001,0.75,0.8997995991983968,0.01,6.0,0,1,41.97142486694145,https://www.airbnb.com/rooms/5814832,-87.67634945730694,1125,2,Winchester Private Studio Apartment,0.9565,0.9398,0.016,102.0,House,1.0,1.0,1.0,1.0,1.0,0.98,1.0,3.02,Entire home/apt,-1,0.9773,,0.0,-0.4588,https://a2.muscache.com/ac/pictures/73404918/955a8178_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/73404918/955a8178_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9773,8.040431837656968,"{'2015-04-28': 8.11355543147216, '2015-05-19': 7.984070742075163, '2015-06-14': 7.885226489080026, '2015-07-14': 8.113042620821085, '2015-08-17': 8.081889373768146}",0.1,8.07676775446626
6585861,8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",3.5,Real Bed,3,5,1.0,100.0,"Our clean and comfortable 4 level home in Lincoln Square is on a tree lined street populated with young families. Walk to restaurants, shopping, parks, CTA Brown Line and Metro North. Enjoy the master suite, finished basement and back patio w/ grill. Our 110 year old Victorian home is filled with charm and character. The master suite has a large soaking tub and separate shower. All bedrooms are located on the second floor with an additional office for a quiet work space. The basement, which can be utilized as an additional sleeping space, is great for children to play and includes satellite television and an Xbox Kinect. Relax on the large front porch or back deck. We are a 10 minute drive to Wrigley Field or Foster Beach (Lake Michigan) and 8 miles from Michigan Avenue. As our guest, you have access to our entire home. As hosts, we will be available 24 hours as needed. Lincoln Square is a neighborhood with deep German historical roots, including traditional bars, restaurants and butch",0.0,2015-06-23,1,0.0,0.2,1,0.001,0.5,0.9414519906323185,0.01,3.6,0,1,41.970051787035345,https://www.airbnb.com/rooms/6585861,-87.68436098598136,1125,2,"Clean, Safe & Family Friendly",0.2023,0.875,0.005,350.0,House,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.46,Entire home/apt,-1,0.9022,,0.8481,0.0516,https://a2.muscache.com/ac/pictures/86409637/7b5a9ba6_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/86409637/7b5a9ba6_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9652,4.332311299975002,"{'2015-06-23': 4.48661602481343, '2015-06-29': 4.459693465631877, '2015-07-07': 4.506615640205443, '2015-08-03': 4.373156668262593, '2015-09-14': 3.8354747006081276}",-1.3,3.846079883079171
5906280,5,{},1.0,Real Bed,1,1,0.5,-1,"Beautiful apartment equip with full kitchen, dining, living, porch and sleeping area. Short walk to the Chicago Brown and Lincoln Square. Enjoy easy access to near by river trails and safe street parking. Perfect for anyone looking to relax and enjoy Chicago's beautiful North Side. 1 Bedroom      -Full Sized Bed      -Clean Sheets & Towels      -Large Closet *Queen&Twin Size Air Mattresses also available for additional guests Shared Bathroom      -Clean Towels      -Basic Amenities Living Area      -Large Couch       -Additional Seating      -Uverse TV Dining Room      -Seats 5 Outdoor Deck      -Seats 2 Outdoor Porch Area       -Seats 4+ Kitchen      -Range/Oven      -Fridge/Freezer      -Dishwasher      -Food storage available Extras      -Free Wifi      -Coin Laundry      -AC      -Relaxed Environment Safe family oriented neighborhood that tends to be quiet. However, just a short walk to the charming center of Lincoln Square. 5 Blocks to Chicago Brown Line      (~30mins to The Loop)",0.0,2015-04-19,1,0.8553,0.14084507042253522,1,0.00125,0.5,0.8732572877059569,0.01,5.0,0,1,41.968873804030395,https://www.airbnb.com/rooms/5906280,-87.69791666442458,1125,30,Spacious Apartment- Private Room,0.7717,0.0,0.009,90.0,Apartment,1.0,0.9,0.9,0.9,0.9,0.91,0.9,1.61,Private room,-1,0.0,,0.979,-0.4767,https://a1.muscache.com/ac/pictures/73573008/a92a2ffe_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,,0.9926,4.351932442068421,"{'2015-04-19': 4.624790442619126, '2015-06-21': 4.462485871553184, '2015-07-05': 4.6620974174849925, '2015-09-01': 3.5684646027314306, '2015-09-15': 4.531715309448608}",0.4,4.6152958596950056
507517,4,"{""Wireless Internet"",Heating,""Family/Kid Friendly"",Washer,Dryer}",1.0,Real Bed,1,1,0.5,50.0,"Clean and comfortable one-bedroom garden apartment with kitchenette in a brick two-flat building. Sleeps 2-4 comfortably (queen bed and futon). Pleasant and lively neighborhood and a short walk to the train.  Garden apartment with private entry, one bedroom, bathroom, and kitchenette (microwave, coffee maker, toaster, fridge, but no stove). Very fun and walkable neighborhood. Old Town School of Folk Music, Lincoln Square shopping/restaurants, grocery store, train, nearby bike sharing stations, parks, public pool, and more.  Wireless connection is OK, but it can be inconsistent.  This apartment is very quiet at night and guests generally have reported great sleeping. There is no air conditioning, but it generally stays comfortable; we do have fans available.  Of interest to families with youngsters, there is a little play area and toys under the stairs (Kids love it), a fun tree swing out front in the parkway, tree house, a little free library, and lots of other neighbor kids to run aro",10.0,2012-07-08,2,0.9153,0.1,1,0.001,0.75,0.9453551912568307,0.01,5.0,0,1,41.967136853835534,https://www.airbnb.com/rooms/507517,-87.69610721690674,30,2,Private Lincoln Square Garden Apt,0.8625,0.1531,0.118,95.0,Apartment,1.0,1.0,1.0,1.0,1.0,0.97,1.0,2.99,Entire home/apt,-1,0.9938,,0.9325,0.2617,https://a2.muscache.com/ac/pictures/80467222/5262930c_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/80467222/5262930c_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9941,8.155463621468819,"{'2012-07-08': 8.24773341370169, '2013-06-29': 8.1324151185407, '2014-08-02': 8.012000767534634, '2015-04-19': 8.143580595012867, '2015-09-29': 8.244816106370079}",0.2,8.269071748620219
4786926,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,0.0,75.0,"Comfortable one bedroom, second floor walk-up in a lovely courtyard building, located just blocks from the heart of Lincoln Square on Chicago's north side.  Close and easy access to the El and major bus lines. A vintage second floor walk-up overlooking a well-kept courtyard.   Close and easy access to CTA train and bus lines.   Comfortable towels, sheets, and pillows. High-Definition antenna for the television, including DVR and Netflix. Wi-Fi available as well as access to desktop Mac.   Use of kitchen is allowed.   There is a pull-out couch as well as an airbed, if you'd like to squeeze in a few more people.   You will have uninterrupted use of my space. I will not be present during your stay.   I have lived in this neighborhood, all but 1 of my 18 years in Chicago and I love it!  There is so much to do, yet it's fairly quiet and the parking is ample.    We're a neighborhood of great restaurants, cool bars and eclectic shops.    We also have independent coffee houses (The Perfect Cup",25.0,2015-03-09,2,0.9939,0.14285714285714285,1,0.001,0.75,0.8897464167585447,0.01,5.0,0,1,41.96370169770951,https://www.airbnb.com/rooms/4786926,-87.68001568115116,10,2,Charming Lincoln Square Apartment,0.971,0.9314,0.018,99.0,Apartment,1.0,1.0,1.0,1.0,1.0,0.99,1.0,2.58,Entire home/apt,-1,0.8979,,0.8442,-0.1531,https://a2.muscache.com/ac/pictures/105962481/0b5f5bfd_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/105962481/0b5f5bfd_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9858,8.350288514836251,"{'2015-03-09': 8.433192903359268, '2015-04-28': 8.242715797149772, '2015-05-25': 8.34396385007183, '2015-06-29': 8.411206146694333, '2015-09-22': 8.330694874475208}",-0.1,8.269071748620219
4502808,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",2.0,Real Bed,1,1,0.0,-1,"Our apartment is on a quiet street, but we're very close to everything you'd want/need and just a couple blocks from transportation downtown. Clean, friendly, and just blocks away from the University of Chicago (and Obama's home). Come enjoy! We live on a very quiet street, but very close to all the exciting locations in Hyde Park as well as public transportation to downtown Chicago. The apartment is clean, has full amenities, a beautiful view, and the friendliest of roommates. Please don't hesitate to contact me with questions! Private room w/ bed, bathroom w/ sink/shower/toilet, kitchen with everything you'd need, and a living room with a beautiful view and a 50"" (also a beautiful view). Feel free to hang out with us or keep to yourself. Whatever you like! Hyde Park is a quiet, but exciting neighborhood. Home to Barack Obama as well as the University of Chicago, it's a very safe neighborhood with lots to do and easy access downtown. Public transportation is just a few blocks away and",20.0,2015-06-06,2,0.9134,0.13157894736842105,1,0.001,1.0,0.8938428874734607,0.01,6.0,0,0,41.801028183193544,https://www.airbnb.com/rooms/4502808,-87.59506725174185,1125,2,Private full-sized bed w/ AC+heat!,0.9441,0.0,0.007,100.0,Apartment,1.0,1.0,0.9,1.0,1.0,0.91,0.9,1.75,Private room,-1,0.9803,,0.8671,0.6996,https://a1.muscache.com/ac/pictures/90153671/ac495f88_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/90153671/ac495f88_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9971,7.260807309474816,"{'2015-06-06': 6.977653414175194, '2015-06-07': 8.828771661901197, '2015-07-08': 7.913981561710815, '2015-07-13': 8.814733470327958, '2015-08-30': 2.4840859827796438}",-11.8,2.4999519240014627
7173291,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,0.0,14.0,"Want to hang out in Hyde Park or explore what Chicago has to offer - stay with us! Available is a private room with access to the kitchen & living room. Were walking distance to the lake and Washington Park & easy access to the Metra and CTA! The room available can accommodate 2 people on a full sized bed with ample closet space. There is one bathroom that is SHARED - but always clean.  Towels, shampoo / conditioner, shower gel, lotion are provided. Main area includes living room and the kitchen, both a very spacious. Living room has a TV with cable available and a large comfy couch. The kitchen has all the appliances needed to make a great meal. There is a bar with stools and dining table to enjoy breakfast, lunch and/ or dinner. You are more than welcome to use the living space and kitchen. Please see the pictures.  This is a residential area with a lot of premium condo and houses for professionals and professors at University of Chicago. Located just right on the exit of the high sp",0.0,2015-07-10,1,0.9937,0.1,1,0.001,1.0,0.8569384835479257,0.01,5.8,1,1,41.80228118553223,https://www.airbnb.com/rooms/7173291,-87.58513056938759,1125,1,Private & Cozy Bedroom in Hyde Park,0.9501,0.0,0.02,82.0,Apartment,1.0,1.0,1.0,1.0,1.0,0.99,1.0,6.98,Private room,100.0,0.991,,0.5837,0.9456,https://a2.muscache.com/ac/pictures/98449311/71643bac_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/98449311/71643bac_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.979,9.877432834753177,"{'2015-07-10': 9.882951959298454, '2015-07-29': 9.820645465192573, '2015-08-12': 9.852375624227978, '2015-09-03': 9.89843243082785, '2015-09-28': 9.93275869378433}",0.1,9.999807696005847
2864731,3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Breakfast,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,2,2,1.0,-1,"Located in Hyde Park on Lakeshore Drive. Close to Museums ,University of Chicago,McCormick Place, 20 min on express bus to downtown. 2 bedrooms, one DOUBLE bed and one with a SINGLE bed. ! 1 small bathroom. accommodates three comfortably. It overlooks the parks and Lake. It can sleep THREE people. One twin bed and a double bed. No private parking available Street parking and a public city lot near by. I will meet you there. Show you around and leave. 24/7 phone calls are ok on my cell. Beach across the street as well as Museum of  Science  and Industry. Close to University of Chicago Hospital and School.  3.4 miles from McCormick Place and Soldier Field. Buses to all areas within 1 block Express busses to downtown and Union Train station. Zip Car close by and Enterprise Car Rental  Metra train 2 blocks away to downtown South shore line to Indiana 24 hour security and video surveillance in all common areas of building 2 NIGHT MINIMUM. May make exceptions. Ask. MUST BE VERIFIED through A",0.0,2014-09-28,1,0.0,0.12048192771084336,1,0.001,1.0,0.9120492524186455,0.01,3.6,0,1,41.79535699379824,https://www.airbnb.com/rooms/2864731,-87.58160268860415,14,1,"Lakefront view, Hyde Park ,Chicago",-0.2023,0.34,0.019,225.0,Condominium,1.0,1.0,1.0,1.0,1.0,0.99,0.9,1.54,Entire home/apt,-1,0.0,,0.4753,-0.2263,https://a1.muscache.com/ac/pictures/49887317/40c09419_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/49887317/40c09419_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.3802,0.4079438976173555,"{'2014-09-28': 0.5538975685841757, '2014-10-27': 0.6675492291291668, '2015-05-08': 0.6852411965913273, '2015-06-16': -0.37137309928759493, '2015-09-22': 0.5365581584446254}",0.3,0.576911982461877
6599300,5,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",2.0,Real Bed,2,2,0.5,50.0,"This updated 2 bed/2 bath condo is located in the heart of Hyde Park. Unit includes open floor plan, beautiful kitchen, washer/dryer, & back deck. Lake Michigan within a mile. Restaurants, bars, CTA, & Metra within blocks. Enjoy Chicago in comfort! This is a beautifully updated 2 bed/2 bath located in the wonderful, quiet neighborhood of Hyde Park. You can walk to the Lake, the University of Chicago, and all local restaurants. Want to go downtown? Walk 2 blocks to the CTA bus or Metra and you are there within 20 minutes. Tired after a busy day, come back home to rest your feet in style and comfort. This space is especially perfect for groups or families, as you will have space to spread out, a kitchen to cook in (a grocery store is in the next block over), and can walk to UChicago or transportation to take you to other parts of the city. Lots of fun restaurants, bars, and coffee shops are within walking distance. You will have access to the full unit. This includes 2 bedrooms, 2 full b",0.0,2015-06-15,1,0.9097,0.14925373134328357,1,0.001,0.75,0.9352750809061489,0.01,3.8,0,1,41.797965284448445,https://www.airbnb.com/rooms/6599300,-87.58754763422414,1125,1,Perfectly Located Hyde Park Condo,0.9413,0.3182,0.006,300.0,Condominium,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,Entire home/apt,-1,0.8955,,0.8398,0.2732,https://a2.muscache.com/ac/pictures/96173250/bcaa04be_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/96173250/bcaa04be_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9627,7.007887899655777,"{'2015-06-15': 7.039682160017905, '2015-06-28': 7.021605584567434, '2015-07-07': 6.920069075654145, '2015-07-13': 6.919684467665834, '2015-09-22': 7.1066039499834845}",0.3,7.115247783696468
