id,date,comments
3842244,2013-03-19,0.9626
4255063,2013-04-22,0.9892
4347678,2013-04-29,0.9506
4450727,2013-05-06,0.9928
4596397,2013-05-14,0.9836
4677781,2013-05-20,0.9926
4905129,2013-06-01,0.9059
5050733,2013-06-10,0.9203
5240901,2013-06-20,0.9923
5309962,2013-06-24,0.9928
5600996,2013-07-08,0.969
5823518,2013-07-18,0.981
5937970,2013-07-23,0.9074
6236853,2013-08-05,0.9436
6811402,2013-08-26,0.9946
7479700,2013-09-22,0.9217
7839710,2013-10-05,0.9889
7869289,2013-10-07,0.9732
8077006,2013-10-15,0.9698
8378168,2013-10-28,0.8853
8517563,2013-11-04,0.9852
11171091,2014-03-24,0.976
11984331,2014-04-21,0.938
12544918,2014-05-05,0.9837
13349692,2014-05-26,0.8834
13649159,2014-06-02,0.9851
15877170,2014-07-17,0.8625
16076610,2014-07-22,0.9318
16448826,2014-07-28,0.9837
16785743,2014-08-02,0.7717
16914426,2014-08-04,0.9186
17493890,2014-08-12,0.0
18701651,2014-08-31,0.9237
19910044,2014-09-20,0.9287
20613517,2014-10-02,0.9169
23146581,2014-11-24,0.9867
26428394,2015-02-12,0.957
29129394,2015-04-04,0.5859
29356814,2015-04-06,0.8265
29862711,2015-04-13,0.9595
30037219,2015-04-16,0.9699
31583407,2015-05-07,0.9808
32845902,2015-05-22,0.802
33216157,2015-05-26,0.6588
35454371,2015-06-19,0.7768
36512728,2015-06-29,0.9708
38254927,2015-07-14,0.9781
38995382,2015-07-20,0.9577
39901448,2015-07-27,0.9773
41063538,2015-08-04,0.8481
41922278,2015-08-10,0.8271
43149558,2015-08-17,0.8968
46116417,2015-09-08,0.937
18179136,2014-08-23,0.9904
33262051,2015-05-26,0.9847
32855042,2015-05-22,-0.9882
33868621,2015-06-01,0.9839
35050471,2015-06-14,0.8658
35146999,2015-06-15,0.1531
36636070,2015-06-29,0.8271
37387866,2015-07-06,0.9539
38553572,2015-07-16,0.9562
39559215,2015-07-24,0.9575
40177362,2015-07-28,0.9673
41028430,2015-08-03,0.9377
44266545,2015-08-24,0.9536
45335478,2015-09-01,0.8882
47900405,2015-09-21,0.9723
40700558,2015-08-01,0.9856
41141341,2015-08-04,0.8684
42182741,2015-08-11,0.923
44992662,2015-08-30,0.908
46199656,2015-09-08,0.9814
47715977,2015-09-21,0.5267
754608,2011-11-29,0.9746
951440,2012-02-27,0.9907
2471620,2012-10-01,0.8625
2538213,2012-10-08,0.9953
2579228,2012-10-11,0.9527
2692121,2012-10-22,0.0
2749071,2012-10-29,0.9615
2852610,2012-11-10,0.8684
3000729,2012-12-01,0.9787
3897608,2013-03-25,0.9469
4239798,2013-04-21,0.9851
4301793,2013-04-26,0.9053
4360089,2013-04-30,0.9067
4415872,2013-05-04,0.9109
4517284,2013-05-10,0.5106
4581232,2013-05-13,0.9878
4742596,2013-05-23,0.9294
4811582,2013-05-27,0.6588
4965402,2013-06-04,0.9885
5019639,2013-06-08,0.9226
5038330,2013-06-09,0.9495
5542279,2013-07-05,0.9824
5884316,2013-07-21,0.9517
5923068,2013-07-22,0.9728
6272054,2013-08-06,0.9752
6487076,2013-08-14,0.4664
6666806,2013-08-20,0.9911
7620870,2013-09-27,0.9841
7695134,2013-09-30,0.9681
7800865,2013-10-03,0.9441
7841688,2013-10-05,0.9162
7950328,2013-10-09,0.936
8077815,2013-10-15,0.99
8324282,2013-10-26,0.9075
8640181,2013-11-10,0.9815
8906804,2013-11-25,-0.5111
9074127,2013-12-04,0.9755
12657144,2014-05-07,0.0
13182141,2014-05-21,0.9968
13477100,2014-05-28,0.9168
13954036,2014-06-09,0.9267
14687031,2014-06-24,0.875
14911763,2014-06-29,-0.3591
15690173,2014-07-14,0.9617
16109130,2014-07-22,0.9595
16413635,2014-07-27,0.975
16777310,2014-08-02,0.836
17025094,2014-08-05,0.9061
19076687,2014-09-06,0.9597
20646797,2014-10-03,0.9271
20758886,2014-10-05,0.9644
21000541,2014-10-09,0.9806
21889819,2014-10-26,0.9619
22096420,2014-10-30,0.7778
22230692,2014-11-02,0.9346
22378664,2014-11-04,0.807
22598447,2014-11-10,0.8421
22977541,2014-11-19,0.6597
23458613,2014-12-01,0.7351
24102586,2014-12-20,0.9052
27506248,2015-03-06,0.3718
27937977,2015-03-15,0.9759
28434177,2015-03-23,0.9958
28550775,2015-03-25,0.9562
30678706,2015-04-26,0.9705
32134858,2015-05-14,0.9794
33014802,2015-05-24,0.9915
34261826,2015-06-06,0.5729
34437640,2015-06-08,0.7976
35281243,2015-06-16,0.6364
35563583,2015-06-20,0.9381
36256175,2015-06-27,0.8225
37720324,2015-07-09,0.9827
38812117,2015-07-19,0.9059
39241503,2015-07-21,0.9076
40896127,2015-08-03,0.9743
41301856,2015-08-05,0.7783
42237501,2015-08-11,0.9851
42500831,2015-08-13,-0.2732
42685756,2015-08-15,0.0
44806663,2015-08-29,0.7717
46879597,2015-09-14,-0.9256
47353480,2015-09-18,0.7003
47674347,2015-09-21,-0.7739
13120101,2014-05-19,0.9166
16048068,2014-07-20,0.9776
16192572,2014-07-22,0.7709
16440108,2014-07-27,0.9349
16522105,2014-07-28,0.9349
16638527,2014-07-30,0.8689
18046563,2014-08-20,0.0
18681458,2014-08-30,0.9714
18767841,2014-08-31,0.1779
19174074,2014-09-07,0.8832
19352350,2014-09-10,-0.0018
19612475,2014-09-15,0.9442
22697483,2014-11-12,0.9497
22729004,2014-11-12,0.0
28596373,2015-03-27,0.9582
31620900,2015-05-07,0.9467
31860670,2015-05-10,0.9239
32099271,2015-05-13,0.0
33651730,2015-05-31,-0.4404
34841456,2015-06-13,0.0
35918906,2015-06-23,0.4841
43350988,2015-08-19,0.9128
43892474,2015-08-22,0.0
44692340,2015-08-28,0.0
31275320,2015-05-03,0.9616
31988181,2015-05-12,0.9393
32208553,2015-05-15,0.8934
32221129,2015-05-15,0.5095
32403384,2015-05-17,0.9708
32781692,2015-05-21,0.6927
33715910,2015-05-31,0.8807
33961212,2015-06-02,0.7901
34032608,2015-06-03,0.3588
34473632,2015-06-08,0.8301
34823789,2015-06-12,0.9088
35224472,2015-06-16,0.9878
35438083,2015-06-18,0.9561
36805387,2015-07-01,0.9944
37463499,2015-07-07,0.9287
38360817,2015-07-14,0.8458
39194742,2015-07-21,0.2828
39283476,2015-07-22,0.6764
39574635,2015-07-24,0.9484
40348400,2015-07-30,0.9921
45129467,2015-08-31,0.7934
45192311,2015-08-31,0.0
