id,date,comments
71626277,2016-04-26,0.9839
72473936,2016-05-02,0.9823
72821943,2016-05-04,0.9769
73944974,2016-05-11,0.8996
74355082,2016-05-15,0.9449
46028276,2015-09-07,0.9807
47846296,2015-09-21,0.9758
58693359,2016-01-03,0.9491
59742809,2016-01-14,0.9656
60441252,2016-01-23,0.8658
64583458,2016-03-05,0.9411
66742877,2016-03-24,0.9366
43591900,2015-08-20,0.9717
71120316,2016-04-23,0.9201
32275202,2015-05-16,0.8856
34761169,2015-06-11,0.0
35605002,2015-06-20,0.9509
37367323,2015-07-06,0.9854
38024127,2015-07-12,0.9624
38595293,2015-07-17,0.969
40023566,2015-07-27,0.9816
41690215,2015-08-08,0.9703
42728853,2015-08-15,0.9837
43580740,2015-08-20,0.9773
44334632,2015-08-25,0.986
46052426,2015-09-07,0.8353
61299393,2016-02-02,0.8746
70850773,2016-04-21,0.9161
73024151,2016-05-06,0.9587
73410692,2016-05-08,0.9719
73931911,2016-05-11,0.8683
39711380,2015-07-25,0.9585
41705338,2015-08-08,0.8805
42225834,2015-08-11,0.8268
42919140,2015-08-16,0.4404
39242286,2015-07-21,0.8481
54069297,2015-11-15,0.9313
58462429,2016-01-02,0.6588
22117182,2014-10-30,0.9952
25755694,2015-01-25,0.9968
27362006,2015-03-02,0.9718
27555332,2015-03-07,0.9201
28128594,2015-03-18,0.7645
28364202,2015-03-22,0.9458
30430844,2015-04-21,0.985
30486992,2015-04-22,0.9544
32393719,2015-05-17,0.9802
33183735,2015-05-25,0.9671
33410068,2015-05-27,0.9099
33734112,2015-05-31,0.9656
44288093,2015-08-25,0.9647
46202257,2015-09-08,0.9776
48429742,2015-09-26,0.9281
49571886,2015-10-04,0.9553
54212388,2015-11-16,0.8917
54799930,2015-11-23,0.9816
57380562,2015-12-25,0.9872
59977465,2016-01-17,0.8065
60298514,2016-01-21,0.7249
61337809,2016-02-02,0.7644
16839440,2014-08-03,0.955
20883120,2014-10-06,0.9718
35187423,2015-06-15,0.9675
35761548,2015-06-21,0.0
15887376,2014-07-17,0.9965
16740049,2014-08-01,0.9871
17850950,2014-08-18,0.6486
20863034,2014-10-06,-0.2953
28152081,2015-03-18,0.8897
28429017,2015-03-23,0.9817
31015795,2015-04-30,0.9804
31738568,2015-05-09,0.9784
32763053,2015-05-21,0.9216
36597004,2015-06-29,0.9938
39517059,2015-07-24,0.9787
47034272,2015-09-15,0.9945
48037817,2015-09-22,0.9517
48584216,2015-09-27,0.9796
49056820,2015-09-30,0.9674
51798136,2015-10-24,0.9493
52131539,2015-10-26,0.9564
53029978,2015-11-03,0.6997
53792988,2015-11-12,0.9397
54195039,2015-11-16,0.969
54961902,2015-11-25,0.8268
57568737,2015-12-27,0.9161
58369408,2016-01-02,0.9582
59575595,2016-01-12,0.9668
60083709,2016-01-18,0.7535
60667534,2016-01-25,0.9727
62374690,2016-02-14,0.9684
64911485,2016-03-09,0.9312
65790878,2016-03-17,0.9587
60095030,2016-01-18,0.9821
60438573,2016-01-23,0.9606
63941886,2016-02-28,0.9717
67196993,2016-03-27,0.9558
69266305,2016-04-10,0.9842
70241966,2016-04-17,0.949
71265053,2016-04-24,0.8545
29717828,2015-04-11,0.0
32305801,2015-05-16,0.9299
32615021,2015-05-19,0.9777
33052409,2015-05-24,0.8718
33838532,2015-06-01,0.9914
34108538,2015-06-04,0.8885
34593703,2015-06-09,0.8402
35390946,2015-06-18,0.9066
36466834,2015-06-28,0.9196
36910765,2015-07-02,0.765
37271571,2015-07-05,0.4404
38614578,2015-07-17,0.967
39589357,2015-07-24,0.9747
39886670,2015-07-26,0.9666
41890697,2015-08-09,0.8883
44709040,2015-08-28,0.9838
46604146,2015-09-12,0.9455
58369567,2016-01-02,0.9432
61112371,2016-01-31,0.9661
65998086,2016-03-18,0.8299
71558648,2016-04-26,0.9839
74662800,2016-05-16,0.9932
24479848,2014-12-29,0.9723
45837212,2015-09-06,0.9814
48564519,2015-09-27,0.8176
59289604,2016-01-09,0.9151
59873909,2016-01-16,0.9616
60300406,2016-01-21,0.9849
60719767,2016-01-26,0.9804
65117292,2016-03-10,0.9937
65831880,2016-03-17,0.9893
65994891,2016-03-18,0.9039
66085394,2016-03-19,0.9818
66460117,2016-03-22,0.8619
66745524,2016-03-24,0.9886
67909578,2016-04-01,0.9686
68740420,2016-04-06,0.9917
69124822,2016-04-09,0.9056
69477030,2016-04-11,0.9773
69985866,2016-04-15,0.9823
70245930,2016-04-17,0.9705
70834715,2016-04-21,0.9676
71149101,2016-04-24,0.9524
71590541,2016-04-26,0.9859
71788031,2016-04-28,0.9918
72604486,2016-05-03,0.9538
73092629,2016-05-06,0.8923
73565030,2016-05-08,0.9062
74008380,2016-05-12,0.9437
35533548,2015-06-19,0.8748
35626765,2015-06-20,0.997
36333116,2015-06-27,0.9927
36612115,2015-06-29,0.9779
37221170,2015-07-05,0.989
37520362,2015-07-07,0.9772
37607223,2015-07-08,0.7982
37888293,2015-07-11,0.9953
38176577,2015-07-13,0.9762
38540692,2015-07-16,0.9688
38884968,2015-07-19,0.9776
39045284,2015-07-20,0.9938
39539246,2015-07-24,0.8507
39796714,2015-07-26,0.9463
40240587,2015-07-29,0.9017
40344370,2015-07-30,0.6249
40765819,2015-08-02,0.9545
41399835,2015-08-07,0.937
41841622,2015-08-09,0.8716
42696055,2015-08-15,0.7964
43098589,2015-08-17,0.9933
43384710,2015-08-19,0.9945
43960171,2015-08-23,0.969
44541275,2015-08-27,0.986
45088658,2015-08-31,0.8992
45426319,2015-09-02,0.9627
45786294,2015-09-06,0.9134
46170352,2015-09-08,0.983
46599095,2015-09-12,0.9736
47079958,2015-09-15,0.8801
47285799,2015-09-17,0.9386
47653633,2015-09-21,0.9852
48203791,2015-09-24,0.98
49336506,2015-10-03,0.974
49610950,2015-10-05,0.8979
49906541,2015-10-07,0.985
50177704,2015-10-10,0.9297
50569788,2015-10-12,0.9584
50838464,2015-10-15,0.9476
51066460,2015-10-17,0.9259
51453954,2015-10-20,0.9921
52245264,2015-10-27,0.9764
52967846,2015-11-03,0.9423
53538975,2015-11-09,0.9558
53736483,2015-11-11,0.9725
53957077,2015-11-15,0.8865
54392153,2015-11-19,0.9854
54553804,2015-11-21,0.9545
55697250,2015-12-04,0.9105
55818834,2015-12-06,0.9551
56218119,2015-12-10,0.0
56514827,2015-12-14,0.9918
56744536,2015-12-17,0.9429
57008287,2015-12-21,0.9694
57410626,2015-12-25,0.9098
57837124,2015-12-29,0.9654
58346601,2016-01-02,0.9728
59364351,2016-01-10,0.9186
59612596,2016-01-12,0.9956
59739889,2016-01-14,0.9359
60014348,2016-01-18,0.9476
60279823,2016-01-21,0.954
60587141,2016-01-25,0.9786
61037774,2016-01-31,0.9041
61463069,2016-02-04,0.9506
62832016,2016-02-17,0.9751
63789192,2016-02-27,0.9785
64304180,2016-03-02,0.9628
65145440,2016-03-11,0.9889
65963773,2016-03-18,0.9718
66998158,2016-03-26,0.9577
67971218,2016-04-01,0.9824
71992311,2016-04-30,0.9319
72565396,2016-05-03,0.9665
72688771,2016-05-04,0.9892
73094315,2016-05-06,0.8162
73454368,2016-05-08,0.9359
73872268,2016-05-11,0.9776
74051850,2016-05-12,0.9808
64107467,2016-02-29,0.9152
18156289,2014-08-22,0.9908
18761685,2014-08-31,0.8805
19575078,2014-09-14,0.9874
20933587,2014-10-07,0.9934
21692017,2014-10-21,0.9898
21846373,2014-10-25,0.9912
23974099,2014-12-15,0.9542
24017618,2014-12-16,0.9346
24091810,2014-12-19,0.984
24671840,2015-01-01,0.9728
24884480,2015-01-03,0.9927
