id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
8909380,2,{},1.0,Real Bed,1,1,flexible,,Very private and quite . Hiking horse riding and lots more close by Whole house As much or as little as they want I'm in the country what's not to love about that The train station is only one mile away,$0.00,2015-12-04,1,0.0,N/A,f,100%,within an hour,2015-09-22,1,"['email', 'phone', 'reviews']",f,f,34.485430564181286,https://www.airbnb.com/rooms/8909380,-118.12537950350718,1125,1,Nice quiet private ranch house,-0.5216,0.0,27,$50.00,House,10,10,10,10,9,94,9,1.78,Private room,,0.0,,0.0,0.0,https://a0.muscache.com/im/pictures/38165109-1f28-429f-b9fd-99d0932c154e.jpg?aki_policy=large,,-0.5158,0,{},0,0
14078522,2,"{""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Heating,Washer,Dryer,Essentials,Shampoo,Hangers}",1.0,Real Bed,1,1,flexible,,"My place is close to Six Flags Magic Mountain 32 miles away, Disneyland 51 miles away, City of Santa Monica 50 miles away, UCLA 44 miles away, Hollywood Bowl 42 miles away, Burbank Bob Hope Airport 38 miles away, Los Angeles International Airport 54 miles away, Beverly Hills 34 miles, Downtown Los Angeles 51 miles away, Universal Studios 41 miles away, Staples Center 52 miles away, Malibu 64 miles away, Wrightwood Ski Resort 49 miles, Dodger Stadium 49 miles,  Los Angeles Memorial Coliseum home of the LA Rams 55 miles, Santa Anita Race Track 58 miles, Pasadena Rose Bowl Stadium 41 miles.  . You’ll love my place because of Miles and miles of trails and hiking right out the front door.  3,200 Foot Elevation offers Fresh clean air.  Close to Angeles Crest Forest State Parks. Cute small town with small grocery store, post office, beautiful public park just 4 miles away. Small Ranch setting with horses, sheep, cows, pretty views, quiet at night with loads of starry skies. My place is good f",$10.00,2016-09-02,1,0.0,N/A,t,100%,within an hour,2016-07-19,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",f,t,34.5101296624754,https://www.airbnb.com/rooms/14078522,-118.21240692108222,1125,1,Room w/private bath on Small Ranch,0.0,0.0,9,$55.00,House,10,10,10,10,10,100,10,1.48,Private room,,0.0,,0.9753,0.0,https://a0.muscache.com/im/pictures/df7f56e6-71c0-4402-96de-27604ee4d460.jpg?aki_policy=large,,0.9753,0,{},0,0
13006928,6,"{TV,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",Hangers}",1.0,Real Bed,1,3,flexible,$35.00,"Our place is close to great views, equestrian activities, Pacific Crest Trail, Vasquez Rocks, the Angeles National Forest, the Big 8 Sports Complex, Jethawk Stadium, the Aqua Dulce Winery, and the Reyes Winery. You’ll love our place because of the old-fashioned courtesy, the swimming pool, spa, rural atmosphere, the serenity, and the food. Our place is good for travelers who need horse facilities, couples, solo adventurers, business travelers, families (with kids), and furry friends (pets).",$0.00,2016-06-27,1,0.0,N/A,f,90%,within an hour,2016-05-12,1,"['email', 'phone', 'reviews']",t,t,34.51548577694994,https://www.airbnb.com/rooms/13006928,-118.23074234186498,2,1,Miller Ranch Bunkhouse,0.0,0.0,17,$150.00,Other,10,10,10,10,10,100,10,2.05,Entire home/apt,,0.0,,0.9565,0.0,https://a0.muscache.com/im/pictures/2b5214b8-2e0a-4fcb-8004-0f4b95bdcaa4.jpg?aki_policy=large,,0.9565,0,{},0,0
12190450,2,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Lock on bedroom door"",""Laptop friendly workspace""}",1.0,Real Bed,1,1,strict,$10.00,"The room comes fully furnished with a full size bed, desk, lamp, tv, and dresser. Living room and kitchen is fully furnished as well. Free parking and free wifi.",$0.00,2016-05-23,1,0.0,N/A,t,N/A,N/A,2016-04-02,1,"['email', 'phone', 'linkedin', 'reviews', 'kba']",f,t,34.034893057657484,https://www.airbnb.com/rooms/12190450,-118.29153782107905,1125,1,Near downtown LA,0.0,0.0,3,$39.00,Apartment,7,9,5,9,7,60,7,0.32,Private room,$250.00,0.0,,0.8387,0.0,https://a0.muscache.com/im/pictures/e69be0f8-019f-41c2-9477-8267c8d3bbde.jpg?aki_policy=large,,0.8387,0,{},0,0
9174553,4,"{TV,Internet,""Wireless Internet"",""Free parking on premises"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo}",2.0,Real Bed,1,2,moderate,$25.00,"Our house is conveniently located in the heart of Los Angeles, just few blocks from USC, public transportation, downtown LA, Convention Center and a 20 minute drive to Santa Monica. Room has its own private key. A great place for students or anybody who would like to visit LA at an affordable price without sacrificing comfort. Our residence features a large common area with HDTV, kitchen with 2 refrigerators, gas and electric ovens, microwave and anything you need to prepare your meals. This room is our largest of the house and is located downstairs right next to the entrance door. It is filled with goodies such as an HD projector, Blu-ray Player with 5.1 surround sound speakers, a retractable 75 inch screen, a full size bed w/memory foam mattress, desk, chair, heater, ceiling fan, mirrored closet, and a large collection of DVDs and industry books at your disposal. A comfy couch can be used to accommodate one more person and an extra bed can be added for an additional guest if needed a",$15.00,2015-11-09,1,0.0,N/A,t,100%,within an hour,2014-11-08,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",f,t,34.03552482105039,https://www.airbnb.com/rooms/9174553,-118.2977658813877,1125,3,Large Private Cinema Style Room,0.9371,0.7901,13,$59.00,House,9,10,8,10,8,88,9,0.81,Private room,$150.00,0.6798,,-0.2263,-0.2263,https://a0.muscache.com/im/pictures/5299fcc1-fa56-4391-997e-66bb92e13b3e.jpg?aki_policy=large,,0.7087,0,{},0,0
14859779,2,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace""}",1.5,Real Bed,2,1,flexible,,"My place is close to Caveman Kitchen and Papa John's Pizza. You’ll love my place because of the location, the people, and the ambiance. My place is good for couples, solo adventurers, business travellers, and families (with kids).",$0.00,,1,0.0,N/A,t,N/A,N/A,2016-09-01,1,"['email', 'phone', 'google', 'kba']",f,t,34.035358621797094,https://www.airbnb.com/rooms/14859779,-118.29913674867342,1125,1,Spacious House in Los Angeles,0.0,0.0,0,$350.00,House,,,,,,,,,Entire home/apt,,0.0,,0.8402,0.0,https://a0.muscache.com/im/pictures/b2142aa3-f9db-4c32-8eaa-3bf0c6b548c1.jpg?aki_policy=large,,0.8402,0,{},0,0
1557529,1,"{Internet,""Wireless Internet"",""Pets live on this property"",Washer,Dryer}",0.0,Real Bed,1,1,strict,$20.00,"Small Private room in Central Los Angeles.  1 mile from USC. The room has twin-size bed. Free Wi-Fi. Guests have access to the kitchen and coin-laundry.  The bathrooms are shared and get cleaned daily. Great Central location in Los Angeles. Close to USC, Downtown L.A., and Hollywood.  Close to public transportation and easy freeway access.  Free street parking The room you get may not be the exact same room you see in the picture of this listing, but it will be very similar, with the same size bed and similar features.",$0.00,2014-05-25,1,0.0,N/A,t,94%,within a few hours,2012-05-08,23,"['email', 'phone', 'reviews', 'kba']",f,t,34.032654761419536,https://www.airbnb.com/rooms/1557529,-118.29771124598855,1125,1,Tiny Room in Central LA near USC,0.8885,0.0,19,$50.00,House,9,9,9,9,8,89,9,0.56,Private room,$100.00,0.0,,0.0,0.0,https://a0.muscache.com/im/pictures/98320199/bfbdb847_original.jpg?aki_policy=large,,0.8225,0,{},0,0
11203634,4,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Breakfast,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",1.0,Real Bed,1,1,moderate,$39.00,"This beautiful and absolutely clean 1 bedroom apartment located close to downtown and 1 block away from USC. The neighborhood is quiet and safe. Many restaurants are close by. The Metro Expo Line train is easily accessible . Parking available, gated with a remote. Full access to kitchen. Free breakfast. You can use microwave, refrigerator, stove. TV with  Netflix, YouTube. Free WI-FI. Towels and Soap, Shampoo/Conditioner, bathroom tissues are provided for free.",$0.00,2016-02-21,1,0.8858,N/A,t,100%,within an hour,2015-08-14,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,34.02618058001038,https://www.airbnb.com/rooms/11203634,-118.29282159915648,1125,1,The right solution for short stays,0.0,0.5106,58,$89.00,Apartment,9,9,9,9,9,84,9,4.62,Entire home/apt,$99.00,0.0,,0.8516,0.0,https://a0.muscache.com/im/pictures/e293a92d-886b-45e6-8afd-38f9ebc0c420.jpg?aki_policy=large,,0.9595,0,{},0,0
654641,2,"{TV,Internet,""Wireless Internet"",Kitchen,Washer,Dryer}",,Real Bed,1,1,strict,$20.00,"Private Room in Central Los Angeles. The room has a bed, desk and chair. Free Wi-Fi. Guests have access to the kitchen and coin-laundry.  The bathrooms are shared and get cleaned daily. Great Central location in Los Angeles. Close to USC, Downtown L.A., and Hollywood.  Close to public transportation and easy freeway access.  Free street parking The rooms can be rented short-term or long-term. The room you get may not be the same as the one in the picture of this listing, but it will be very similar.",$20.00,2012-09-05,1,0.0,N/A,t,94%,within a few hours,2012-05-08,23,"['email', 'phone', 'reviews', 'kba']",f,t,34.0288991695155,https://www.airbnb.com/rooms/654641,-118.29997554108095,1125,1,Central LA Cozy Private Room,0.8885,0.0,21,$56.00,House,8,9,9,9,8,89,9,0.38,Private room,,0.0,,0.0,0.0,https://a0.muscache.com/im/pictures/108111917/046dd104_original.jpg?aki_policy=large,,0.8225,0,{},0,0
14281484,2,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),""Hot tub"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,1,moderate,$20.00,"Private guest house that overlooks pool. Centrally located in LA -- close to USC, Downtown LA, Koreatown, and Culver City.  Hop on the 10 or take the nearby Metro Line to Hollywood, Universal Studios, Santa Monica and more!  You’ll love our home because of the relaxing oasis-like yard and pool, the comfy bed, easy parking and central location.  It's perfect for individuals, couples, friends, and business travelers.",$0.00,2016-09-16,1,0.964,N/A,t,60%,within a day,2012-01-17,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",f,t,34.030401092126766,https://www.airbnb.com/rooms/14281484,-118.3071964525277,14,1,Guest House at West Adams Craftsman Home w/ Pool,0.0,0.0,12,$120.00,Guesthouse,10,10,10,10,9,100,10,2.13,Entire home/apt,$100.00,0.0,,0.9563,0.0,https://a0.muscache.com/im/pictures/8857b2a1-8a6e-4e8c-94df-b38ce7065c63.jpg?aki_policy=large,,0.9563,0,{},0,0
