id,date,comments
50209733,2015-10-10,0.8169
50521911,2015-10-12,0.9831
53635576,2015-11-10,0.9677
54673483,2015-11-22,0.9816
57881891,2015-12-30,0.9829
61995292,2016-02-10,0.9601
62996529,2016-02-19,0.9128
66096171,2016-03-19,0.7579
66280064,2016-03-20,0.9357
67390873,2016-03-29,0.9583
68403402,2016-04-04,0.908
69879171,2016-04-14,0.8622
70249822,2016-04-17,0.0
70451949,2016-04-17,0.9557
70814197,2016-04-21,0.95
72553011,2016-05-03,0.4562
73086825,2016-05-06,0.8433
75656514,2016-05-22,0.9754
78468209,2016-06-06,0.9744
79414180,2016-06-12,0.9061
82581941,2016-06-28,0.9245
85404233,2016-07-11,0.8382
86007446,2016-07-14,0.7134
86780522,2016-07-17,0.9456
87353426,2016-07-19,0.9081
90921125,2016-08-02,0.9369
92275059,2016-08-08,0.9719
94941066,2016-08-17,0.5106
99748838,2016-09-05,0.6249
101719305,2016-09-14,0.9975
103052316,2016-09-20,0.8534
103882281,2016-09-24,0.8016
106837830,2016-10-08,0.5827
108089300,2016-10-14,0.4003
109295811,2016-10-20,0.7841
113796462,2016-11-13,0.872
114898526,2016-11-20,0.9651
115709006,2016-11-26,0.9552
121751945,2016-12-18,0.9615
123320213,2016-12-28,0.9768
11027755,2014-03-17,0.8351
11272707,2014-03-27,0.9938
11409022,2014-04-01,0.9157
12305288,2014-04-28,0.9653
12553450,2014-05-05,0.9819
13042042,2014-05-18,0.9777
13271721,2014-05-24,0.9909
13547391,2014-05-30,0.9874
13676923,2014-06-02,0.9641
14861184,2014-06-28,0.9573
15043595,2014-07-01,0.9856
15469144,2014-07-09,0.9041
15769694,2014-07-15,0.9186
16205491,2014-07-23,0.9943
16780517,2014-08-02,0.967
17200497,2014-08-09,0.9787
18153267,2014-08-22,0.9336
18661011,2014-08-30,0.9836
19409483,2014-09-12,0.9803
19729964,2014-09-17,0.9522
19891484,2014-09-20,0.8934
20278705,2014-09-27,0.855
20971555,2014-10-08,0.9722
21159677,2014-10-12,0.9738
21392278,2014-10-16,0.9829
21873225,2014-10-26,0.8514
22052716,2014-10-28,0.965
22125644,2014-10-30,0.9421
22367914,2014-11-04,0.9853
22542162,2014-11-09,-0.975
22801444,2014-11-15,0.9678
22899385,2014-11-17,0.9402
23527680,2014-12-03,0.967
24641886,2015-01-01,0.68
25386496,2015-01-14,0.932
25537489,2015-01-19,0.9775
25642092,2015-01-21,0.957
25838500,2015-01-27,0.953
25932696,2015-01-30,0.9871
26033329,2015-02-01,0.9708
26098883,2015-02-03,0.8979
26402381,2015-02-11,0.9672
26502815,2015-02-14,0.9829
26600631,2015-02-16,0.9362
27086423,2015-02-25,0.9403
27219483,2015-02-28,0.9638
27336620,2015-03-02,0.9738
27480876,2015-03-05,0.9387
27644460,2015-03-09,0.9912
27768516,2015-03-11,0.9892
28007224,2015-03-16,0.9867
28480103,2015-03-24,0.9098
28724890,2015-03-29,0.9767
29608339,2015-04-10,0.966
29971628,2015-04-15,0.6249
30316583,2015-04-20,0.7495
30548656,2015-04-24,0.9696
31138066,2015-05-02,0.9652
31423925,2015-05-05,-0.9337
31578418,2015-05-07,0.8968
32328896,2015-05-17,0.9656
32582449,2015-05-19,0.9725
32883645,2015-05-23,0.9444
33229604,2015-05-26,0.0
33918065,2015-06-02,0.9293
34136316,2015-06-05,0.9849
34766416,2015-06-12,0.9369
35060352,2015-06-15,0.9199
35908977,2015-06-23,0.8469
36294608,2015-06-27,0.9669
36550488,2015-06-29,0.9704
36804255,2015-07-01,0.9825
36956920,2015-07-03,0.9904
37554089,2015-07-08,0.9844
37752719,2015-07-10,0.972
37954332,2015-07-12,0.9652
38587564,2015-07-17,0.9887
38830577,2015-07-19,0.9879
39210995,2015-07-21,0.9926
39596306,2015-07-25,0.7906
39721813,2015-07-25,0.0
40133539,2015-07-28,0.9551
40418673,2015-07-31,0.986
40931531,2015-08-03,0.8224
42140553,2015-08-11,0.8775
42391004,2015-08-13,0.9824
43367515,2015-08-19,0.9712
43909675,2015-08-23,0.8399
44763389,2015-08-29,0.9881
45458627,2015-09-03,0.992
46275813,2015-09-09,-0.2714
47246359,2015-09-17,0.9284
48267859,2015-09-25,0.9583
48572168,2015-09-27,0.9402
48912761,2015-09-29,0.7424
50161527,2015-10-10,0.9809
51606473,2015-10-22,0.9756
51883775,2015-10-25,0.9674
53591955,2015-11-10,0.9411
54231156,2015-11-17,0.9466
54841428,2015-11-25,0.5655
59561190,2016-01-12,0.9697
59802697,2016-01-15,0.9603
60062430,2016-01-18,0.8947
60610405,2016-01-25,0.9499
61073240,2016-01-31,0.7906
61463621,2016-02-04,0.9411
61595121,2016-02-06,0.9268
62721960,2016-02-16,0.9798
63082688,2016-02-20,0.9561
63472061,2016-02-23,0.9693
63749610,2016-02-26,0.9753
64059250,2016-02-29,0.9756
64452091,2016-03-04,0.9954
65072160,2016-03-10,0.9355
65812144,2016-03-17,0.9857
66035235,2016-03-19,0.9386
66615768,2016-03-23,0.8481
67433119,2016-03-29,0.9628
68712872,2016-04-06,-0.5994
69687356,2016-04-12,0.9719
71588620,2016-04-26,0.9781
72055479,2016-04-30,0.9337
73137416,2016-05-07,0.8213
77125637,2016-05-30,0.9746
78852470,2016-06-09,0.968
79718800,2016-06-13,0.965
79993734,2016-06-15,0.9678
83173469,2016-07-01,0.8619
84172687,2016-07-05,0.9839
84872768,2016-07-09,0.9761
86043011,2016-07-14,0.9229
87123343,2016-07-18,0.9766
87772551,2016-07-21,0.9698
88873665,2016-07-25,0.8338
89305071,2016-07-27,0.8442
89944414,2016-07-30,0.9477
91251686,2016-08-04,0.9493
92201822,2016-08-07,0.9431
93402099,2016-08-12,0.953
95899136,2016-08-21,0.7906
101104194,2016-09-11,0.9822
102357449,2016-09-17,0.9182
102989731,2016-09-20,0.0
103667905,2016-09-23,0.9588
107009109,2016-10-09,0.9655
107706150,2016-10-11,0.8807
108002487,2016-10-13,0.0
108294165,2016-10-15,0.765
109987716,2016-10-23,0.9612
110649644,2016-10-27,0.5719
112354387,2016-11-05,0.8172
112911003,2016-11-08,0.9398
114338375,2016-11-17,0.9793
114921356,2016-11-20,0.8849
115738914,2016-11-26,0.6249
120470005,2016-12-10,0.7645
121388300,2016-12-16,0.8938
121910615,2016-12-19,0.8748
122314547,2016-12-22,0.926
122937084,2016-12-26,0.9744
123314075,2016-12-28,0.9615
123989966,2016-12-31,0.9245
127478846,2017-01-18,0.888
128797533,2017-01-27,0.9449
129432325,2017-01-30,0.7964
130576685,2017-02-06,0.0
130963908,2017-02-09,0.9169
131608607,2017-02-12,0.9017
8237165,2013-10-21,0.9881
9478869,2013-12-30,0.9195
9563701,2014-01-02,0.9244
10776736,2014-03-07,0.9589
12068914,2014-04-22,0.9656
12261774,2014-04-27,0.9301
26810262,2015-02-19,0.9782
27237289,2015-02-28,0.9823
30947922,2015-04-29,0.9595
31411853,2015-05-04,0.9246
31995129,2015-05-12,0.9701
33177349,2015-05-25,0.7964
34486039,2015-06-08,0.9805
46695967,2015-09-13,0.9907
49035588,2015-09-30,0.9725
50215193,2015-10-10,0.9788
52933051,2015-11-02,0.9768
61154083,2016-02-01,0.937
82797266,2016-06-29,0.9924
