id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
16579302,4,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",1.0,Real Bed,2,2,moderate,$75.00,"Live like Locals! Two doors down from St. Charles and in the center of the Historic Garden District this charming 2 bed apartment is the ideal place for y'all to stay. The location is a dream. Steps from the St. Charles streetcar line, Lafayette Cemetery No. 1 and Famous Commander's Palace. Perfect for Mardi Gras, Jazzfest, and exploring the city's historic architecture. Private, comfortable and centrally located. •2 Bedroom Suite- Shotgun Style  •Clawfoot Tub •Full Kitchen (Stove/Oven/Fridge) •Charming plant-filled Courtyard  •Laundry shared with the building •No tv but fast wifi for all of your devices! •Private entry •Mini split air conditioners •Located on the first floor but there is a step up to the back bedroom and bathroom •Features Keyless Entry •Locked Gate to the property for extra peace of mind •Features direct access to courtyard Suite's private, full bathroom includes clawfoot tub/shower, toilet, sink, full size toiletries (shampoo, conditioner, body wash) full set of lin",$0.00,2017-01-30,1,0.9617,N/A,t,100%,within an hour,2015-12-12,2,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,29.929248515865144,https://www.airbnb.com/rooms/16579302,-90.08656576449084,1125,1,Charming Garden District Private Apartment,0.9222,0.9635,6,$139.00,House,10,10,10,10,10,100,10,5.29,Entire home/apt,$200.00,0.8356,,0.9348,0.9217,https://a0.muscache.com/im/pictures/4b12c120-df17-45e6-981b-b5b8fc767d3c.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/4b12c120-df17-45e6-981b-b5b8fc767d3c.jpg?aki_policy=small,0.9445,0,{},0,0
9385410,14,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad}",2.5,Real Bed,5,9,strict,$200.00,"Our beautifully decorated 2600 sf home was completely renovated 2 years ago and it is professionally maintained and cleaned.  Experience St. Charles Ave. in the Garden District, just 1.5 miles from the French Quarter!  Street car line pass right in front!    Famous safe neighborhood walking/ sightseeing.   Completely updated with complete kitchen.  Plenty of off street parking in the back yard.  Rest yourself on the front porch and watch the people and trolley's go buy.  Always fascinating. The home was just completely updated two years ago with all new furniture, kitchen with new appliances, and wood floors.  Sitting on the front porch watching the street cars and people go by is a favorite past time for locals living on the Avenue. all of the property except the garage I can help with any questions you may have, just call or text me.  Except for checking in you will not see me or my superintendent George.  We like to give our guest privacy during their stay. The Garden District is wo",$0.00,2015-12-01,1,0.0,N/A,t,100%,within an hour,2015-11-05,2,"['email', 'phone', 'reviews', 'jumio']",t,t,29.931859491383094,https://www.airbnb.com/rooms/9385410,-90.08351340693639,1125,2,Directly on the streetcar line!,0.8885,0.9398,38,$750.00,House,10,10,10,10,10,100,10,2.48,Entire home/apt,$500.00,0.4588,,0.893,0.0,https://a0.muscache.com/im/pictures/10eecc8d-a078-418e-8ddd-2fddbfb5d10d.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/10eecc8d-a078-418e-8ddd-2fddbfb5d10d.jpg?aki_policy=small,0.9577,0,{},0,0
2139985,2,"{""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Carbon monoxide detector"",""Hair dryer""}",1.0,Real Bed,1,1,strict,$70.00,"This one bed bohemian apartment has everything you need for an amazing trip to the Big Easy. Literally steps from Magazine street so the best restaurants, shops and bars are all in walking distance. It has that older Nola charm. Porch has a great view. Location, location! Older building with Nola charm, for an authentic New Orleans experience. Wifi Kitchen Streetcar is a few blocks away on ST Charles open 24hrs This is a home for people who appreciate Nola charm and want an authentic New Orleans experience. It's an older building, it's not a sterile hotel room.",$0.00,2014-01-04,1,0.9638,N/A,f,75%,within a day,2011-11-02,1,"['email', 'phone', 'facebook', 'reviews']",f,t,29.928447925366804,https://www.airbnb.com/rooms/2139985,-90.08197477826911,1125,2,Ideal location with gorgeous porch,0.0,0.6908,34,$99.00,Apartment,8,9,8,10,10,90,9,0.88,Entire home/apt,$100.00,0.4574,,0.9582,-0.2263,https://a0.muscache.com/im/pictures/29101691/bc913abe_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/29101691/bc913abe_original.jpg?aki_policy=small,0.9771,0,{},0,0
13826494,2,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,1,flexible,$45.00,"The apartment place is close to  The Rum House, The Bulldog, Uptown, Walgreens, Amici, Salu, Dat Dog, Slim Goodies Diner, Creole Creamery. You’ll love this apartment because of the ambiance, the neighborhood, and the light.   This place is good for couples and solo adventurers.",$100.00,,1,0.0,N/A,f,N/A,N/A,2016-05-11,1,"['email', 'phone']",f,t,29.924630534232943,https://www.airbnb.com/rooms/13826494,-90.08663576750746,1125,1,Garden District Apartment,0.0,0.0,0,$71.00,Apartment,,,,,,,,,Entire home/apt,,0.0,,0.8402,0.0,https://a0.muscache.com/im/pictures/c65a2b5f-f0f1-4ae3-af07-62b7e6d964b7.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/c65a2b5f-f0f1-4ae3-af07-62b7e6d964b7.jpg?aki_policy=small,0.8402,0,{},0,0
11664321,3,"{""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",Essentials,""24-hour check-in""}",1.5,Real Bed,1,1,flexible,,"Historic West Indies Cottage located in the Irish Channel, at the edge of the Garden District. Easy access to the streetcar line and one block off of Magazine Street. Over 30 restaurants, cafes, bars within a 6 block radius. One bedroom with a Queen and a large sleeping couch. Wifi and Cable TV. Small Courtyard and Off-street parking. Furnished kitchen Access the whole house The most active and desirable part of Uptown New Orleans. One block walk to drugstore, grocery store and numerous sidewalk cafes, bars and restaurants Cab stand one block away and streetcar line is 5-6 blocks walk.",$0.00,,1,-0.3818,N/A,t,N/A,N/A,2012-07-17,1,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline']",f,t,29.923505485300463,https://www.airbnb.com/rooms/11664321,-90.0877034078427,1125,1,Irish Channel West Indies Cottage,0.3933,0.0,0,$175.00,House,,,,,,,,,Entire home/apt,,0.0,,-0.4404,-0.5859,https://a0.muscache.com/im/pictures/103f9e24-93ef-4f4d-83f2-cf76e15343fc.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/103f9e24-93ef-4f4d-83f2-cf76e15343fc.jpg?aki_policy=small,-0.6179,0,{},0,0
914407,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,1,moderate,$10.00,"Step back into the 19th century in our Red Room, decorated with antiques and featuring a full-size four-poster bed, desk, and private bath with clawfoot tub and shower, along with modern amenities like cable TV, internet access, and a mini fridge. Located in the heart of the Garden District, the Parks-Bowman Mansion is a classic example of the good life in New Orleans.  Shaded by palm trees and a live oak, the deep porches on all three levels tempt you to rest and relax.  The soaring center hall leads visitors to a carved cypress staircase ascending to the very top of the house, lit by stained-glass windows and massive chandeliers.  There’s a music room, a formal dining room, a “ladies parlor,” and a fully appointed kitchen where you can enjoy a complimentary cup of coffee in the morning.  Outside, a lovely garden surrounds a back porch for lounging and a full size lap-pool. There are three rooms available.  This listing is for the Red Room.  Please look for our other listings: the Lib",$0.00,2013-03-07,1,0.7003,N/A,f,100%,within an hour,2013-01-21,3,"['email', 'phone', 'facebook', 'reviews']",t,t,29.929124755354692,https://www.airbnb.com/rooms/914407,-90.08346978657194,30,1,Parks-Bowman Mansion: The Red Room,0.5093,0.0,248,$110.00,House,10,10,9,10,10,96,10,5.10,Private room,,0.9524,,0.3612,0.296,https://a0.muscache.com/im/pictures/05bc202a-907c-4528-a1ee-f9dbdfbf5ae3.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/05bc202a-907c-4528-a1ee-f9dbdfbf5ae3.jpg?aki_policy=small,0.9665,0,{},0,0
17417235,6,"{""Family/kid friendly""}",1.5,Real Bed,2,2,flexible,$80.00,"Comfortable 2 bedroom, 1.5 bath house walking distance from parade routes and St. Charles and magazine! Walk to St. Charles and catch the street car to the French Quarter!",$0.00,,1,0.0,N/A,f,100%,within a few hours,2013-12-19,1,"['email', 'phone']",t,f,29.927379998835626,https://www.airbnb.com/rooms/17417235,-90.08599538215715,1125,1,Great Garden District home! :),0.0,0.0,0,$448.00,House,,,,,,,,,Entire home/apt,,0.0,,0.5972,0.0,https://a0.muscache.com/im/pictures/b4f3f924-b516-4ef4-a467-3d9f65076c4e.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/b4f3f924-b516-4ef4-a467-3d9f65076c4e.jpg?aki_policy=small,0.5972,0,{},0,0
14804135,6,"{""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Private entrance""}",1.0,Real Bed,2,2,strict,$75.00,"Near St. Charles Ave Streetcars, Mardi Gras & St. Pat's Parades, Commander's Palace, Lafayette Cemetery No. 1, Elms Mansion, Pontchartrain Hotel, Buckner Mansion (American Horror Story Coven House) and a quick ride to the French Quarter. Historic home with high ceilings, fantastic location, patrolled by Garden District Security, no street flooding and located on some of the highest ground in the city. Good for couples, solo adventurers, business travelers, and families. Traditional New Orleans Shotgun home with historic features intact. You get the entire side of half the shotgun double to yourself. I know lots of great places to go, fantastic places to eat and fun things to do. The Garden District is one of the most beautiful neighborhoods in the world.  Property is located in the Garden District Security District with frequent patrols. One block from St. Charles Streetcar.  Uber, Lyft and taxi are all convenient and affordable to all parts of the city.",$25.00,2016-09-06,4,0.9771,N/A,t,100%,within an hour,2014-08-29,1,"['email', 'phone', 'google', 'reviews', 'kba']",t,t,29.931797438508333,https://www.airbnb.com/rooms/14804135,-90.0840387511038,1125,2,Garden District Home One Block to St. Charles Ave,0.7645,0.0,2,$135.00,House,10,10,8,10,8,100,10,0.33,Entire home/apt,$250.00,0.2023,,0.4019,-0.4404,https://a0.muscache.com/im/pictures/cb0b750f-aa1d-4017-ab59-f57d716a3160.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/cb0b750f-aa1d-4017-ab59-f57d716a3160.jpg?aki_policy=small,0.9595,0,{},0,0
2137891,3,"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace""}",1.0,Real Bed,1,1,strict,$50.00,"This is a great apartment in the Garden District, just off St. Charles Ave where the streetcar runs and where the major parades are. During Mardi Gras, you can walk down half block, look at the parades, walk home to use the bathroom or take a rest, then continue watching the parades. Outside of MG this is a great, safe area of the Garden District. Great for walking tours or visiting restaurants and coffee shops on Magazine Street, seeing one of the oldest New Orleans cemeteries, etc. This is a wonderful apartment on the second floor of an old-fashioned apartment building built in the 1920s with hardwood floors, high ceilings, ceiling fans, full bathroom, bedroom, living room, study, kitchen, screened balcony. The bedroom has a king-size bed. There's lots of light. You can hear the streetcar from here but the sound is not overwhelming as on St. Charles Ave. There is Wi-Fi in the apartment (there is no TV). The entrance is from a gated courtyard, so this is an extra-safe place in one of ",$99.00,2014-01-21,2,0.0,N/A,t,100%,within a few hours,2013-12-30,1,"['email', 'phone', 'reviews', 'jumio']",f,t,29.930587626578742,https://www.airbnb.com/rooms/2137891,-90.08245226383943,7,2,"Sunny, Beautiful Apartment - Garden District",0.8871,0.8591,12,$249.00,Apartment,10,10,10,10,10,98,9,0.32,Entire home/apt,$250.00,0.3919,,0.9231,0.8173,https://a0.muscache.com/im/pictures/63631056/2bf06c10_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/63631056/2bf06c10_original.jpg?aki_policy=small,0.7351,0,{},0,0
14278844,3,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Keypad}",1.0,Real Bed,1,2,strict,$50.00,"Historic charmer, located in the safe and historic Garden District. Walking distance to the many great restaurants and shops on Magazine Street, the Mardi Gras parade route, and the St. Charles streetcar. The front room is designed as a small relaxing space with a futon that turns into a twin-sized bed.  There's also a second bedroom with queen-sized bed, and a complete kitchen with access to a refrigerator, microwave, oven, toaster oven, and serving ware to prepare meals.  Coffee, a selection of teas, sweeteners and creamers is provided. The house also comes with free access to a washer/dryer, unlimited on-demand hot water, tea, and coffee. It also comes with wireless internet access if you need it, and a collection of local tour pamphlets, maps, and neighborhood places. We're also always happy to give recommendations if asked! Guests can access the space anytime after 3pm - our door has a keyless entry system, and we will provide an entry code for you before you arrive. I live in the",$30.00,2016-09-11,2,0.0,N/A,t,100%,within an hour,2013-11-07,1,"['email', 'phone', 'google', 'reviews', 'kba']",f,t,29.926006315697073,https://www.airbnb.com/rooms/14278844,-90.087382334832,7,1,Historical Garden District Shotgun Home,0.7845,0.0,26,$75.00,Apartment,9,10,10,10,10,95,9,4.46,Entire home/apt,,0.8955,,0.872,0.7501,https://a0.muscache.com/im/pictures/abcd8f77-5157-443c-b0b4-e4e38315b94d.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/abcd8f77-5157-443c-b0b4-e4e38315b94d.jpg?aki_policy=small,0.967,0,{},0,0
