id,date,comments
108299756,2016-10-15,0.9978
109918971,2016-10-23,0.9771
111829903,2016-11-02,0.9741
112572474,2016-11-06,0.9042
113760358,2016-11-13,0.7708
116035176,2016-11-27,0.7959
124309434,2017-01-01,0.9197
132890882,2017-02-19,0.9401
67080325,2016-03-26,0.9659
69512642,2016-04-11,0.9115
70766971,2016-04-20,0.9529
71494874,2016-04-25,0.8997
74084231,2016-05-13,0.8306
74647507,2016-05-16,0.8934
75532854,2016-05-22,0.8183
77102534,2016-05-30,0.9732
79614444,2016-06-13,0.8966
85152760,2016-07-10,0.8807
87081632,2016-07-18,0.97
89208631,2016-07-27,0.9486
93237923,2016-08-12,0.6369
94389730,2016-08-15,0.8818
95590654,2016-08-20,0.5244
97019598,2016-08-25,0.9529
97880133,2016-08-28,0.9417
99105237,2016-09-03,0.9642
99716677,2016-09-05,0.9617
100302756,2016-09-08,0.8583
100965503,2016-09-11,0.815
102272061,2016-09-17,0.7644
102893728,2016-09-19,0.69
111232069,2016-10-30,0.6731
63789588,2016-02-27,0.7713
64217324,2016-03-01,0.9923
72500082,2016-05-02,0.7645
127046632,2017-01-15,0.8588
134315066,2017-02-26,0.9661
8627557,2013-11-09,0.9651
8668716,2013-11-11,0.0
8791020,2013-11-18,0.9284
9056318,2013-12-03,0.9789
9445134,2013-12-29,0.985
9598955,2014-01-03,0.6361
9830391,2014-01-13,0.9693
9947229,2014-01-20,0.8607
10373535,2014-02-16,0.9796
10687723,2014-03-03,0.9817
11004165,2014-03-17,-0.2069
11705137,2014-04-12,0.0
11741583,2014-04-14,0.9934
12652487,2014-05-07,0.5994
13662312,2014-06-02,0.9816
13937671,2014-06-08,0.9538
14571899,2014-06-22,0.9875
14765052,2014-06-25,-0.2217
15440850,2014-07-09,0.9545
16219036,2014-07-23,0.9606
16573245,2014-07-29,0.3996
16792283,2014-08-02,0.8988
16920673,2014-08-04,0.9682
17882807,2014-08-18,0.8857
18117951,2014-08-22,0.9771
18377915,2014-08-25,0.9793
19995474,2014-09-21,0.9229
20128363,2014-09-23,0.886
20171833,2014-09-24,0.8874
20377012,2014-09-28,-0.9844
20786234,2014-10-05,0.9882
21889711,2014-10-26,0.9571
22054502,2014-10-28,0.9917
22501246,2014-11-08,0.937
