id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
9147025,2,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",1.0,Real Bed,0,1,moderate,$35.00,"City Island is a small community at the edge of New York City just beyond Pelham Bay Park in the Bronx and surrounded by the waters of the Long Island Sound and Eastchester Bay. Enjoy the water views and seafood restaurants or nearby Orchard Beach. This cozy little cottage is an open floor plan with a queen size murphy bed. There is brand new bathroom, eat in kitchen, large fenced in yard, perfect for BBQ's or sitting under the full grown apple tree. The living room has lots of windows and a partial view of the sound and Manhattan. There are two bikes available for use. The location is walking distance to many of the islands best eateries,  bars, Nautical Museum, and historic City Island Cemetery . Beautiful Pelham Park is close by, where you can enjoy the boardwalk at Orchard Beach or hike and bike the many trails.  Fishing charters also available. Enjoyable get away any time of the year. You will forget you are even in the Bronx, and be transported to New England. City Island is a hi",$0.00,2015-12-26,1,0.0,N/A,f,100%,within a few hours,2011-02-21,1,"['email', 'phone', 'facebook', 'reviews']",f,f,40.8448695719099,https://www.airbnb.com/rooms/9147025,-73.78954050381778,28,2,Cozy City Island Cottage,0.8176,-0.1098,36,$125.00,House,10,10,10,10,10,97,10,2.49,Entire home/apt,$500.00,0.9517,,0.4939,0.0258,https://a0.muscache.com/im/pictures/abbac002-c8a5-44da-9405-4897e73667c6.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/abbac002-c8a5-44da-9405-4897e73667c6.jpg?aki_policy=small,0.9648,0,{},0,0
3943387,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Free parking on premises"",""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",1.0,Real Bed,1,1,moderate,$10.00,"Private area on 3rd floor of quaint City Island home on a quiet street, one block from Long Island Sound.  It comfortably sleeps two with queen size bed and sitting area.   LCD TV with Cable and Wifi.  Private Bathroom.  30 min from Manhattan; 1/2 block walk to bus. City Island is a small community at the edge of New York City located just beyond Pelham Bay Bark in the Bronx and surrounded by the waters of Long Island Sound and Eastchester Bay.  City Island has maintained a unique small town atmosphere, frequently compared to that of a small New England fishing village. City Island Nautical Musuem is within walking distance.  Local Churches and Synogogue welcome visitors.  Easy access to Orchard Beach and Pelham Bay Park, (largest public park in New York City).  Minature Golf and Riding Stables close by. Friendly hosts with medium size dog will settle you into your room and aquaint you with household amenities.  They will happily share transportation information and tourist tips. Acces",$10.00,2014-11-10,1,0.0,N/A,t,100%,within an hour,2014-08-23,1,"['email', 'phone', 'reviews', 'kba']",f,t,40.839396193871046,https://www.airbnb.com/rooms/3943387,-73.78143724844766,1125,1,Cozy City Island Room/Private Bath,0.0,0.0,21,$65.00,House,10,10,10,10,10,93,10,0.75,Private room,,0.0,,-0.4588,-0.4404,https://a0.muscache.com/im/pictures/89f5624b-02ca-4124-be93-688bd83642e2.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/89f5624b-02ca-4124-be93-688bd83642e2.jpg?aki_policy=small,0.8979,0,{},0,0
15220538,2,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,1,flexible,,"Enjoy lovely and special City Island from your library bedroom in this spacious home.  The house was built at the turn of the century, and is teeming with history - both in its Victorian architecture (stained-glass window, hand-carved wooden stair rail & mouldings galore) and its vintage & antique furniture and ephemera.  You'll feel like you're a world away from NYC, but can still see the skyline. Experience City Island in this beautiful three-story Victorian home, built around 1904.  The house is situated on a large corner lot with a fenced in yard, has a wrap-around porch and a large back patio perfect for enjoying a cocktail or a glass of wine.  On the ground floor is our common space - the kitchen, living, and dining rooms.  You'll stay in the library on the second floor, adjoining to the art/costume studio (which you are welcome to use).  Right next to your room is your private bathroom.  Upstairs is the yoga and meditation room. At the end of the block is a private beach perfect",$0.00,2016-10-06,1,0.9381,N/A,f,100%,within a few hours,2012-03-02,1,"['email', 'phone', 'reviews']",f,t,40.8558982857858,https://www.airbnb.com/rooms/15220538,-73.78949621071705,1125,2,Airy and Peaceful Room and Bath in Victorian Home,0.9657,0.7906,5,$110.00,House,10,10,10,10,10,96,10,1.01,Private room,,0.9479,,0.7269,0.3612,https://a0.muscache.com/im/pictures/a78d2f49-0102-4b92-9a47-bf7e2207ea23.jpg?aki_policy=large,,0.984,0,{},0,0
6627449,3,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",1.0,Real Bed,1,1,flexible,$75.00,"This ground floor apartment is light and airy with a fully equipped kitchen. Located in the heart of City Island w/ shops, restaurants and transportation nearby. If needed there is extra sleeping space on the modular sofa. We are close to fishing, boating, biking, horseback riding or hiking.  We are near Orchard Beach and Pelham Bay Park.  This is a very convenient area. The entire apartment is available as I am only there part of the time.  There is a patio in back off the living room.  You are welcome to help yourself to coffee or tea. My daughter and her family live on the Island and will be there to greet you and help you out with any information you might like. City Island is a unique and a hidden gem of New York City.  Many New  Yorkers do  not even know it exists.  It is known for its seafood and sailing, with many seafood restaurants in various price ranges.  We are close to grocery stores, library, City Island Diner, antique stores and art galleries. It is a very safe and walk",$0.00,2015-07-04,1,0.0,N/A,t,100%,within an hour,2014-04-04,1,"['email', 'phone', 'reviews', 'kba']",f,t,40.84977456920603,https://www.airbnb.com/rooms/6627449,-73.78660938743727,21,3,Large 1 BDRM in Great location,0.3167,0.0,12,$125.00,Apartment,10,10,10,10,10,93,10,0.59,Entire home/apt,,0.0,,0.0,-0.2263,https://a0.muscache.com/im/pictures/83539171/13fe7e85_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/83539171/13fe7e85_original.jpg?aki_policy=small,0.9371,0,{},0,0
7949480,2,"{""Cable TV"",""Wireless Internet"",""Air conditioning"",""Free parking on premises"",Breakfast,""Pets live on this property"",Cat(s),""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,1,moderate,,"Come relax in our quiet guest room w/adjacent private bath. Enjoy a Continental Breakfast served by Didier at your table downstairs.  Unwind on unique City Island. Walk to restaurants, shops, the park or the beach. Park one car on our private driveway.  If you are looking to explore Manhattan you can take the 29  bus to the nearest subway number 6.  Or you can take the BXM8 express bus at the Pelham Bay Subway station which goes directly into Manhattan. There are also green taxis at the subway. On parle français et anglais! Moved from San Diego as I am originally from NYC and Didier grew up in Biarritz, France.  We love it here and hope you will too!  Our three friendly cats do not go into the room.  The bathroom is yours during your entire stay (we have our own en suite).  We will provide a Continental breakfast with fresh bread butter & jams, fresh squeezed orange juice or fresh fruit,  tea or coffee served by my French husband who is a talented cook!  You might even get a special tr",$15.00,2016-01-18,1,0.9421,N/A,t,100%,within an hour,2010-05-06,1,"['email', 'phone', 'reviews', 'jumio']",f,t,40.85205377887418,https://www.airbnb.com/rooms/7949480,-73.78867963460137,7,1,City Island Sanctuary relaxing BR & Bath w Parking,0.9402,0.6239,23,$99.00,House,10,10,10,10,10,100,10,1.68,Private room,$100.00,0.9778,,0.7506,-0.1154,https://a0.muscache.com/im/pictures/001d1cb0-6ef2-4074-bd39-e486ee58d00f.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/001d1cb0-6ef2-4074-bd39-e486ee58d00f.jpg?aki_policy=small,0.9826,0,{},0,0
16042478,4,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",1.0,Real Bed,1,1,flexible,,"My place is close to Sea Shore. You’ll love my place because of the coziness, the location, the views, and the people. My place is good for couples, solo adventurers, business travelers, and families (with kids). (URL HIDDEN) public transport from Grand Central, NYC or from JFK, Laguadia is about 30 minutes away. (URL HIDDEN) Fine sea food restaurant, bars and night clubs all within walking distance, Sailing, fishing, canoeing, marinas and just 30 minutes away from central NYC or major airports like JFK or LaGuardia airports.  Enjoy NYC",$0.00,,1,0.9144,N/A,f,N/A,N/A,2013-09-29,1,"['phone', 'facebook']",t,t,40.85349118988138,https://www.airbnb.com/rooms/16042478,-73.78860659381962,29,7,WATERFRONT STUDIO APARTMENT,0.0,0.7579,0,$200.00,Apartment,,,,,,,,,Private room,,0.0,,0.8885,0.0,https://a0.muscache.com/im/pictures/bb5bc3c4-3eb2-4b90-a2c8-28401c6eabcc.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/bb5bc3c4-3eb2-4b90-a2c8-28401c6eabcc.jpg?aki_policy=small,0.9638,0,{},0,0
5557381,4,"{Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Gym,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,1,moderate,$17.00,"Located in an old sea-shanty town, our home has a countryside feel, only an hour away from Manhattan's excitement! With a bed big enough for two it's ideal for business-(wo)men or out-of-towners who don't want the hustle/bustle to follow them home. You won't find a place so close to the city (NYC of course) with such a big back yard! There's lots to do. We are only a train ride away from Manhattan in all it's glory - we live a bus ride or a 10 min car ride from the Pelham Bay station on the 6 line, to Grand Central it's less than an hour and a half by public transport, less than an hour if you drive to the train - and there's plenty to do on City Island as well (or 'the island' as we locals call it). There are oodles of seafood restaurants withing walking distance (including a wonderful diner just a block away that has the best breakfast), swimming in Eastchester Bay during the summer, bike trails, Pelham Bay Park and Orchard beach! If you're looking for some combination of the NYC lif",$15.00,2015-05-25,2,0.9859,N/A,t,100%,within an hour,2015-03-05,1,"['email', 'phone', 'reviews', 'jumio']",t,t,40.850023814160465,https://www.airbnb.com/rooms/5557381,-73.78932759494228,1125,3,Quaint City Island Home,0.5848,0.296,80,$69.00,House,10,10,10,10,10,97,10,3.70,Private room,,0.9499,,0.7697,0.4678,https://a0.muscache.com/im/pictures/85805287/7c6b38ae_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/85805287/7c6b38ae_original.jpg?aki_policy=small,0.9676,0,{},0,0
1886820,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer}",3.0,Real Bed,3,3,strict,$100.00,"Quiet island  boating town on Long Island Sound. 10 miles from Manhattan. Public trans. Walk to shops, restaurants, bars,parks. Near Botanical gardens, Bronx Zoo and Fordham University. Water view. off street parking. 3BR, 3 Full Baths. Washer/dryer. full kitchen.Fully furnished comfortable home with deck/backyard. local caretaker.  Master bed with queen bed, full bath and office.  Mid bedroom has queen bed.  Small bed has single. TV room/den queen sleeper sofa. Galley kitchen off dining room.  Piano.  Winter water view.  Large back deck with seating.  Small front porch. Great for family of 4.  Will fit 7.  Additional$25.00 per person per night over 4 people. 2 story 1800 sq ft house all to yourselves. Local caretaker available during stay. We will be available by phone Small New England type town in the middle of the big city.  Small Island in the Long Island Sound.  Local marinas, seafood restaurants, yacht clubs, supermarket, library, shops. Parking available in driveway.  Bus stop ",$25.00,,4,0.0,N/A,f,N/A,N/A,2013-11-04,1,"['email', 'phone']",f,t,40.84114416028828,https://www.airbnb.com/rooms/1886820,-73.78305228672215,90,7,Quaint City Island Community. ,0.0,0.0,0,$300.00,House,,,,,,,,,Entire home/apt,$800.00,0.765,,0.5106,-0.296,https://a0.muscache.com/im/pictures/26266928/14c688d9_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/26266928/14c688d9_original.jpg?aki_policy=small,0.8271,0,{},0,0
2831277,2,"{Internet,""Wireless Internet"",Kitchen,""Smoking allowed"",""Pets allowed"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,3,strict,$50.00,Stay on a cozy sailbaot docked City Island! It is for adventure lovers who don't mind giving up comfort. Don't expect an apartment or a houseboat - this is the Ranger 28 - a real sailboat!  Sit comfortable in the cabin that has a couch on each side. Sleep in the front of the boat in the cozy v-berth. Chill in the back of the boat in the cockpit. The boat is docked in a small marina in the beginning of the City Island. I'll provide you keys from the marina. I will explain you all you need to know for living on the boat. I can also show you around the neighborhood and introduce you to some incredible characters that you find only on City Island :). With a little bit of luck you can meet people who spent their life on boats. They are unforgettable characters. There is also Orchard Beach and the Pelham Bay Park about 10 mins waling from my boat - those are some of the most beautiful places in NYC. It is 10 minutes by the Bx29 bus from the Pelham Bay Park station (the last stop of the 6 tra,$10.00,2015-05-20,1,0.9669,N/A,t,100%,within an hour,2014-04-19,1,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",f,t,40.85527435521511,https://www.airbnb.com/rooms/2831277,-73.7911010857536,1125,14,Experience NYC differently!,0.7863,0.5963,6,$30.00,Boat,10,9,9,10,9,100,10,0.28,Entire home/apt,$200.00,0.5562,,0.7548,-0.6808,https://a0.muscache.com/im/pictures/82545760/5031c43b_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/82545760/5031c43b_original.jpg?aki_policy=small,0.9411,0,{},0,0
11675715,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",1.0,Real Bed,1,2,flexible,$30.00,"City Island is an active, year-round nautical community at the edge of NYC just beyond Pelham Bay Park in the Bronx and surrounded by the waters of the L.I. Sound and Eastchester Bay.Walk to restaurants, shops, galleries, yacht clubs and marinas. This very cozy apartment with features a queen size bed and a new queen size sofa bed. It's ceilings are a 8' feet tall. There is a full  bathroom, kitchen and eating area. The location is walking distance to many of the islands best eateries, bars, Nautical Museum, and historic City Island Cemetery . Beautiful Pelham Park is close by, where you can enjoy the boardwalk at Orchard Beach or hike and bike the many trails. Fishing charters also available. Enjoyable get away any time of the year. You will forget you are even in the Bronx, and be transported to New England. City Island is a slice of heaven. The entire apartment is available. You are welcome to help yourself to coffee and tea. I live in the vicinity and know the area well, if you hav",$10.00,2016-03-21,2,0.8555,N/A,t,100%,within an hour,2016-01-30,1,"['email', 'phone', 'reviews', 'kba']",t,t,40.851391475520586,https://www.airbnb.com/rooms/11675715,-73.78413886754988,1125,1,Cozy 1 BR Basement Apartment,0.5574,0.4019,63,$85.00,House,10,10,10,10,10,98,10,5.45,Entire home/apt,,0.9485,,0.4019,0.4678,https://a0.muscache.com/im/pictures/55160e33-921f-432f-a425-e9110ff4359c.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/55160e33-921f-432f-a425-e9110ff4359c.jpg?aki_policy=small,0.9779,0,{},0,0
