id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
6628575,2,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,moderate,$5.00,"Welcome to my adorable apartment! Offering a delightful, sunny, newly redecorated bedroom with private entrance. Access to a full kitchen and living room with big bay windows, wifi, entertainment center, and 2 bicycles available to borrow! Offering a charming private room with its own entrance on a beautiful tree lined street in sunny West Oakland. Situated within easy reach of the whole bay: Berkeley, downtown San Francisco, and downtown Oakland! THE BEDROOM: In your room is an incredibly cozy, full sized bed, a bookcase, desk, chair, and 32"" flat screen TV (with blu-ray/DVD player, and Netflix), and a radiator in case it gets cold outside. :) In your spacious closet you'll find your own refrigerator, a small set of drawers, shelves, plenty of hangers, and an extra blanket and pillows. THE KITCHEN: The kitchen is fully stocked with plates, utensils, and all manner of cookware and offers a full gas range and oven as well as a plethora of small kitchen appliances (microwave, electric ke",$0.00,2015-07-06,1,0.9992,90%,t,90%,within a day,2014-08-09,1,"['email', 'phone', 'facebook', 'reviews', 'jumio']",f,t,37.805924171988956,https://www.airbnb.com/rooms/6628575,-122.28888240840386,10,2,Charming Bedroom w/Private Entrance,0.0,0.3518,31,$65.00,Apartment,10,10,10,10,8,92,10,3.06,Private room,$300.00,0.9796,,0.9449,0.8789,https://a1.muscache.com/im/pictures/89246451/2262049c_original.jpg?aki_policy=large,https://a1.muscache.com/im/pictures/89246451/2262049c_original.jpg?aki_policy=small,0.9873,0,{},0,0
6093412,2,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Shampoo}",1.0,Real Bed,1,1,moderate,,"Close to BART and nice and quiet with a decent street view and sunlight exposure Nice quiet part of Oakland Washer, dryer, dishwasher, bathroom, Internet, all available. Initially show guests around and remain on call if they need anything. Quiet neighborhood Bart station is close by",$0.00,,1,0.0,N/A,f,N/A,N/A,2015-04-20,1,"['email', 'phone', 'jumio']",f,f,37.805462299217425,https://www.airbnb.com/rooms/6093412,-122.28541683096581,1125,1,Cozy room close to Bart Station,0.0,0.0,0,$80.00,House,,,,,,,,,Private room,$100.00,0.4215,,0.4215,0.0,https://a0.muscache.com/im/pictures/75923578/f427f628_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/75923578/f427f628_original.jpg?aki_policy=small,0.6808,0,{},0,0
1914602,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,Essentials,Shampoo}",1.0,Real Bed,1,1,0.5,20.0,"We offer a guest bedroom with a king size bed and private bathroom in a newly renovated, modern apartment, located in Adams Point area of Oakland, right next to fabulous Lake Merritt.  The building is clean and quiet. Many great restaurants are within walking distance and the Whole Foods Supermarket is just around corner. Closest Bart Station is within 10 minutes of walking. The apartment offers spacious living area, fully equipped kitchen and dining area. Private guest bathroom has a full size bath. The apartment is equipped with a flat screen TV, washer & dryer, stereo system, Hi Speed Internet, cable TV, Netflix streaming. The apartment's balcony overlooks downtown Oakland and offers views of gorgeous sunsets. Guests may enjoy access to the rooftop and its specially designated sunbathing area. Living Room Dining Room Kitchen Balcony Not a lot or as much as they are comfortable with. The lake, the park, the restaurants, Whole Foods supermarket - the beauty of it all. Yes - closest Ba",0.0,2014-01-22,1,0.7269,0.010869565217391304,1,0.011111111111111112,0.75,0.0005443658138268917,0.01,3.6,0,1,37.81059424577209,https://www.airbnb.com/rooms/1914602,-122.25858919888209,1125,1,Private Room / Adams Point,0.5859,0.0,0.01,70.0,Apartment,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.36,Private room,100.0,0.9325,,0.5267,0.128,https://a0.muscache.com/im/pictures/26569113/18b75443_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/26569113/18b75443_original.jpg?aki_policy=small,0.9803,14.1853031322,"{'2014-01-22': 14.156203132233555, '2014-06-20': 14.095603132233556, '2014-07-13': 14.025703132233556, '2016-02-25': 14.312053132233554, '2016-04-25': 14.336953132233557}",0.75825,14.3369531322
12809757,1,"{TV,Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,1,flexible,$30.00,"Be part of our community! This shared spacious and sunny room is part of a 3 story mansion in Oakland's Adams Point neighborhood, just 1.5 blocks from Lake Merritt. We are a co-living home, with 9 permanent residents. Food is included in price. Our home is a vibrant co-living community of doers, makers, dancers, music-makers, believers, creators, communicators, lovers-of-live and we are eager to welcome new people into our home and community. The Euclid Manor is a beautiful 3 story mansion built in the early 1900's, with guest rooms on the ground floor and residents living above. We have a sunny back deck with BBQ, large kitchen with brand new amenities - espresso maker, bread makers, vitamix, etc), lots of fridges and space for cooking, large dining room, gorgeous sunny front salon with bay windows and a grand piano (!), and lots of nooks and crannies with cozy rooms and libraries and curiosities to discover. This room is a hostel-style room, with two twins and a double, separated by ",$10.00,,1,0.9432,100%,f,100%,within an hour,2016-02-02,5,"['email', 'phone', 'reviews']",t,t,37.81265162285878,https://www.airbnb.com/rooms/12809757,-122.25114093948957,1125,2,"Bunk in shared room, co-living home",0.7219,0.9837,0,$60.00,House,,,,,,,,,Shared room,,0.9829,,0.5562,0.2732,https://a2.muscache.com/im/pictures/74992eaf-42f1-49c1-80c6-5581d6e005be.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/74992eaf-42f1-49c1-80c6-5581d6e005be.jpg?aki_policy=small,0.9823,0,{},0,0
1759482,2,"{TV,""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),""Buzzer/Wireless Intercom"",Heating,Washer,Dryer}",1.0,Real Bed,1,1,moderate,$60.00,"I'm ecstatic to welcome you to the Adams Point/Lake Merritt area of Oakland, CA and your beautiful private guest room!  The space:  -extremely convenient location near Lake Merritt in Oakland  -restaurants, walking track around lake, Whole Foods, shopping, SF Fitness gym all within walking distance  -sunny, cozy bedroom with picture postcard views of Lake  Merritt & downtown Oakland  -shared bathroom with filtered shower head  -towels and shower toiletries provided  -on-site coin-op laundry  -street parking  -use of self-serve kitchen  -check in: 7pm // check out: 10am-ish weekdays, 12pm-ish weekends  In addition to the amazing neighborhood, the room itself is large and has ample closet space. The queen size bed is extremely comfortable and will allow you to fall asleep within seconds. The bathroom is shared. I supply fresh towels, and there are guest toiletries for your use in the shower. The shower also has a shower filter. My space is absolutely ideal for those who are visiting Oakl",$0.00,2013-11-11,1,0.8783,100%,f,90%,within an hour,2011-05-08,1,"['email', 'phone', 'reviews']",f,t,37.81380600422945,https://www.airbnb.com/rooms/1759482,-122.251969795461,60,3,Adams Point/Lake Merritt Beauty!,0.0,0.0,25,$90.00,Apartment,9,9,9,10,9,88,9,0.83,Entire home/apt,$200.00,0.9844,,0.0,0.0,https://a0.muscache.com/im/pictures/25653093/3f536768_original.jpg?aki_policy=large,,0.9844,0,{},0,0
1515858,6,"{""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo}",2.5,Real Bed,3,3,flexible,$120.00,"Gorgeous, 1910 Architect designed, 3 Bedroom, 2 !/2 Bath, house - wrap around deck with Redwood trees in the large landscaped yard.  Adams Point, one of Oakland's coolest neighborhoods.  One block from Lake Merritt and a lake walk to the farmers market and great restaurants and bars. When my son was nine his friends used to say ""He lived in a mansion,"" because our home is grand in the old style but because of how we like to live it is casual and comfortable.  It is a house perfect for a quiet dinner for two on the deck or a large party of family reunion.  The detail of this architect designed home (A.W.Smith 1910) is stunning, from the deep overhanging eaves richly ornamented with California rafters and brackets, outside, to the huge gorgeous oak front door, the wide entry hall, vaulted ceilings, hardwood floors and eclectic artwork from out travels inside.  We love our home - - we are always grateful that we live there, and we think that you will be grateful that you chose it for your",$0.00,2014-07-14,1,0.99,67%,t,100%,within a few hours,2013-08-10,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",f,t,37.81168080427506,https://www.airbnb.com/rooms/1515858,-122.25406608758033,1125,1,"3  Bed Craftsman Home, Lake Merritt",0.0,0.6808,18,$300.00,House,10,10,10,10,10,96,10,0.82,Entire home/apt,$250.00,0.9949,,0.7574,0.0,https://a2.muscache.com/im/pictures/48361956/4be6f532_original.jpg?aki_policy=large,,0.9951,0,{},0,0
7734264,6,"{TV,Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer""}",1.0,Real Bed,2,3,moderate,,"Desirable Lake Merritt area!  Parking spot, full bath, full-kitchen & living space. Lakeshore farmer's market, major bus stops, grocery stores, gym, recreational lake, massage, theater & dozens of good, local restaurants- all minutes walking. Close to public transit. Carport included. Carport available",$0.00,2015-08-10,1,0.0,N/A,t,N/A,N/A,2015-08-05,2,"['email', 'phone', 'reviews', 'jumio']",f,t,37.81007305274561,https://www.airbnb.com/rooms/7734264,-122.25009503896865,3,2,2 Bedroom Apartment-Lake Merritt,0.0,0.0,2,$55.00,Apartment,10,10,10,10,10,100,10,0.22,Entire home/apt,,0.0,,0.5983,0.0,https://a0.muscache.com/im/pictures/98320684/c3a94f2c_original.jpg?aki_policy=large,,0.5983,0,{},0,0
10528297,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",Pool,Kitchen,""Free Parking on Premises"",""Elevator in Building"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",2.5,Real Bed,2,2,flexible,,"This elegant 2 Bdrm/2 Bath Uptown/Downtown located near 580/880 fwy, 10 Minutes to downtown SF, 8 minute walk to BART, 5 minute walk to carpool, is in a secure building with parking.  Family Friendly conveniently located a few blocks from whole foods",$0.00,,1,0.0,83%,f,100%,within an hour,2016-01-12,1,"['email', 'phone']",f,t,37.81314647885692,https://www.airbnb.com/rooms/10528297,-122.25749697663383,1125,1,Spacious  Adams Point 2 Bdrm/2Bath,0.0,0.0,0,$250.00,Condominium,,,,,,,,,Entire home/apt,,0.0,,0.7783,0.0,https://a2.muscache.com/im/pictures/84840368-e291-4df2-be0c-223720b3aaa6.jpg?aki_policy=large,,0.7783,0,{},0,0
10839688,1,"{TV,Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",Heating,""Smoke Detector"",Essentials,""24-Hour Check-in"",""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,flexible,$15.00,"3 Minutes walk to Lake Merritt and walking distance to restaurants, gym,shopping and transportation.",$0.00,,1,0.6597,N/A,f,N/A,N/A,2015-05-14,1,"['email', 'phone', 'reviews']",f,t,37.81436646604338,https://www.airbnb.com/rooms/10839688,-122.25193860680086,1125,1,"Living  room, Lake Merritt Oakland",0.0,0.0,0,$40.00,Apartment,,,,,,,,,Shared room,,0.0,,0.0,0.0,https://a2.muscache.com/im/pictures/5aa272ce-cba4-4606-ad24-e3e1a8153cab.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/5aa272ce-cba4-4606-ad24-e3e1a8153cab.jpg?aki_policy=small,0.0,0,{},0,0
1699190,4,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Hangers,""Hair Dryer"",Iron}",1.0,Real Bed,1,1,strict,$65.00,"Our place is a large,  stylish sunlit apartment in a charming 20's building furnished in a contemporary minimal style. It is on the 1st floor of the building, with nice light in the living room and throughout and has a lovely view of Grand Lake Theater. A stroll down the beautiful Cleveland Cascade stairs (an old waterfall) and around Lake Merritt with a cup of coffee in the morning is a great way to start your day (we have a coffee maker). We also have a record player with a decent selection of old records to set the tone for your stay. Hardwood floors run throughout the apartment which give it an old cottage like feel. We have a large living room, kitchen, dining room, bedroom, sunny breakfast nook, and design studio all with big windows that allow the light to fill the house during the day.  It is in a superb location with a large queen size bed, big dining table, comfortable couch and large TV with cable and HBO. We will provide you with the WiFi password to use internet. We also p",$25.00,2013-10-22,2,0.9552,100%,t,70%,within a day,2012-08-05,1,"['email', 'phone', 'facebook', 'reviews', 'kba']",f,t,37.81225602611784,https://www.airbnb.com/rooms/1699190,-122.25084490426505,35,2,Stylish Apt by vibrant Lake Merritt,0.0,0.0,16,$175.00,Apartment,10,10,10,10,9,99,9,0.52,Entire home/apt,,0.9882,,0.0,0.0,https://a0.muscache.com/im/pictures/24690115/97ced67c_original.jpg?aki_policy=large,,0.9882,0,{},0,0
