id,date,comments
21442590,2014-10-17,0.9243
25508793,2015-01-18,0.8957
26498994,2015-02-14,0.8316
30889092,2015-04-28,0.9808
31403494,2015-05-04,0.0
32400156,2015-05-17,0.9571
6516262,2013-08-15,0.9831
7488820,2013-09-22,0.9285
7645019,2013-09-28,0.9876
7925635,2013-10-08,0.9929
8007694,2013-10-12,0.8625
8211969,2013-10-21,0.9543
8299519,2013-10-24,0.0
8604937,2013-11-07,0.5562
8640459,2013-11-10,0.7901
10004241,2014-01-25,0.8977
10491527,2014-02-22,0.9281
10734866,2014-03-04,0.9522
10766901,2014-03-06,0.8479
10778751,2014-03-07,0.9184
11146352,2014-03-23,0.9796
11254940,2014-03-26,0.9718
13401963,2014-05-27,0.8878
13885307,2014-06-07,0.8832
14187849,2014-06-14,0.802
14574322,2014-06-22,0.807
16189634,2014-07-22,0.8972
16371828,2014-07-26,0.8872
16604616,2014-07-30,0.9548
17088145,2014-08-07,0.9615
17210565,2014-08-09,0.6705
17442714,2014-08-12,0.95
17692386,2014-08-16,0.9612
17739334,2014-08-17,0.8954
18117857,2014-08-22,0.9147
18378900,2014-08-25,0.8847
18961845,2014-09-03,0.9829
20007650,2014-09-22,0.9638
20492567,2014-09-30,0.9785
20819023,2014-10-06,0.2714
21280914,2014-10-14,0.908
21436146,2014-10-17,0.965
21779259,2014-10-24,0.9153
22070139,2014-10-29,0.908
22200472,2014-11-01,-0.9806
22521909,2014-11-09,0.8652
22689746,2014-11-11,0.9118
23005794,2014-11-20,0.8718
23185490,2014-11-24,0.9913
23488332,2014-12-02,0.8779
23578591,2014-12-05,0.8522
23834654,2014-12-12,0.7269
24009492,2014-12-16,0.9788
28534730,2015-03-25,0.9586
28634353,2015-03-27,0.6588
28754718,2015-03-29,0.9653
29039032,2015-04-03,0.9686
29409415,2015-04-07,0.872
29642286,2015-04-10,0.9228
29904961,2015-04-14,-0.126
30166975,2015-04-18,0.9117
30393201,2015-04-21,0.8687
30500502,2015-04-23,0.8479
30872206,2015-04-28,0.5563
31949754,2015-05-12,0.9868
32098220,2015-05-13,0.9217
32221729,2015-05-15,0.8451
33089597,2015-05-25,0.6997
33726837,2015-05-31,0.8655
33955210,2015-06-02,0.6549
34142668,2015-06-05,0.8784
37039179,2015-07-04,0.9382
37436853,2015-07-06,0.9854
37631292,2015-07-08,0.8932
38140860,2015-07-13,0.0
38986414,2015-07-20,0.9818
40207601,2015-07-29,0.6369
41077611,2015-08-04,0.9786
41294280,2015-08-05,0.9665
41529520,2015-08-07,0.8481
42670161,2015-08-15,0.9783
43465011,2015-08-19,0.9513
43618633,2015-08-21,0.8823
44131838,2015-08-24,0.6666
44599793,2015-08-27,0.8074
