id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
6106997,2,"{Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",2.5,Real Bed,1,2,0.5,10.0,"-Comfy king bed, split-able into two separate twin mattresses -Key code door lock -Near everything *Additional rooms available: See profile page PLEASE READ FULL DESCRIPTION AND HOUSE RULES BEFORE BOOKING **PLEASE REFER TO CONFIRMATION EMAIL FOR ACCESS INFORMATION AFTER BOOKING NOTE: Additional cost per additional guests. COMFY BED - GREAT LOCATION A lovely room in a 7-room two-story Craftsman home/guesthouse. **Additional rooms available** viewable through our profile page. - King bed split-able into two separate twin mattresses - On the main floor right next to the kitchen &  bathroom  - Code-lock on door - I-pod charger/speaker/clock **Additional fee applies for a second guest. - Check in/Check out:  Check in starts at 2:00 pm. Please let us know if you need to arrange an early or late check in. If you do come early, your room may not yet be turned over but you can drop off your stuff and hang out until it is ready or go cruise the town.  Check out is 10:00am. You don't need to rush",25.0,2015-05-17,1,0.9986,0.1,1,0.001,1.0,0.9068901303538175,0.13,3.8,1,1,45.5344912173247,https://www.airbnb.com/rooms/6106997,-122.64688297158196,28,1,"LOCATION NE! ""Mt Hood"" : King bed",0.9669,0.0,0.074,75.0,House,1.0,1.0,1.0,1.0,0.9,0.95,0.9,5.35,Private room,95.0,0.8636,,0.4648,0.9553,https://a2.muscache.com/im/pictures/70965500-cf19-486d-8fa2-74fcba0ff3d0.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/70965500-cf19-486d-8fa2-74fcba0ff3d0.jpg?aki_policy=small,0.8217,10.612086637964556,"{'2015-05-17': 11.624719069507524, '2015-09-03': 10.936016590015651, '2016-01-09': 11.238740512760684, '2016-03-17': 9.810449491891472, '2016-06-29': 9.367537590171715}",-1.1,9.443919782234323
1349072,5,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector""}",1.0,Real Bed,2,3,0.0,50.0,"Charming 1920's Arbor Lodge bungalow with gorgeous hardwoods, wood stove and plenty of original charm. The entire home is yours to enjoy, with tranquil backyard, two bedrooms (with comfortable double mattresses) and a bonus room (with a twin bed). Charming 1920's Arbor Lodge bungalow with gorgeous hardwoods, built-ins and plenty of original charm. The entire home is yours to enjoy, with tranquil backyard, two bedrooms (with comfortable double mattresses), a bonus room (with a twin bed), fully-equipped kitchen, living room with wood stove, dining room, and updated bathroom.  Enjoy your morning coffee in the private backyard and end your evenings with a glass of wine by the fire pit. Or if you'd prefer to experience Portland's popular dining scene, the location offers convenient access to everything you need. The home is just a couple blocks from the MAX yellow line, New Seasons grocery store, coffee shops and bars. Downtown Portland and the popular Mississippi, Williams and Alberta neig",0.0,2013-08-10,1,0.9282,0,1,0,0.0,0.9299719887955182,0.01,3.6,0,1,45.573011255773345,https://www.airbnb.com/rooms/1349072,-122.67944775296476,1125,2,Charming Arbor Lodge Bungalow,0.5106,0.0,0.007,120.0,House,0.9,1.0,0.9,1.0,0.9,0.86,0.9,0.20,Entire home/apt,200.0,0.9848,,0.9719,0.91,https://a2.muscache.com/im/pictures/20330779/f48df424_original.jpg?aki_policy=large,,0.9941,4.058957353480362,"{'2013-08-10': 3.2740803226462627, '2013-08-13': 4.155698010552488, '2013-08-20': 5.269525020163064, '2013-08-26': 4.758442302536273, '2016-03-25': 3.525177483915078}",-0.6,3.333148158435649
6052917,2,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",1.0,Futon,1,1,1.0,15.0,"This warm nest has a cozy bed and 2 large windows. Our character-filled 1909 home has a gourmet kitchen, plush living room, green yard, chill porch, and free bikes that will set you up to explore our vibrant neighborhoods. Our 1909 Portland Foursquare home is cozy and inviting while putting you in the center of vibrant and livable neighborhoods. The kitchen features granite counter tops, gas range, stainless steel appliances and laundry room with washer/dryer. The comfy, light-filled living room has leather furniture, a tv with wifi, dvd and a blueray player. The dining room has a beautiful wooden table that seats 8 and a bar. The upstairs bathroom has a tub/shower combo. Our front porch has comfy furniture for chilling out and watching the world go by. May through October, our green back yard has a cafe table for meals and relaxing under the apple tree. We are four blocks from the fantastic shops, restaurants and galleries of the Alberta Arts District, two blocks from Safeway, and gre",0.0,2015-04-21,1,0.926,0.10416666666666667,1,0.001,1.0,0.9442896935933147,0.03,4.8,0,1,45.56419296559852,https://www.airbnb.com/rooms/6052917,-122.66031644776625,30,2,"Comfy, Light-filled Room With Charm",0.7746,0.0772,0.026,57.0,House,1.0,1.0,1.0,1.0,0.9,0.94,1.0,1.77,Private room,-1,0.9678,,0.8225,-0.8176,https://a0.muscache.com/im/pictures/75392576/c79ea4dc_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/75392576/c79ea4dc_original.jpg?aki_policy=small,0.9761,7.0270810888284,"{'2015-04-21': 5.917869207410677, '2015-06-26': 7.220130192911482, '2015-08-16': 7.359233576056877, '2015-09-22': 7.01347500708847, '2016-01-13': 7.846539836820153}",0.7,7.7773457030165
4283250,2,"{""Cable TV"",""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,1,0.5,15.0,"Cozy Comfort Close-in Exclusive! Private space, room & bath; separate entry; no shared space! Short walk to Alberta Arts District, restaurants, food carts, parks, banks, grocers, bus stop; short drive to airport & downtown •A private small room (about 9’ x 9’) and bath with separate entry, suitable for 1 or 2 people with light luggage for a short stay; •Separate entry into rear of home in inner Northeast Portland; •Just off of a main street, one lot away from a busy corner with a hand car wash business and outdoor food vendors; •Includes a full/double bed, with a comfy mattress, lots of pillows, a small refrigerator, microwave, coffee maker (and coffee), Wi-Fi, and satellite TV with DVD player (Redbox, a block away!); two folding chairs and small table in closet (indoor seating limited to folding chairs); •Bathroom (tub/shower) stocked with soap, shampoo, hair dryer and towels; •City bus stop less than a block away; •[For additional options/availability, see our Sundown listing, under ",5.0,2015-01-10,1,0.9927,0.1,1,0.001,1.0,0.8969072164948454,0.02,3.6,0,1,45.56435369108067,https://www.airbnb.com/rooms/4283250,-122.66144258891516,28,1,A Cozy Patch of Blue,0.6996,0.9667,0.078,60.0,House,0.9,1.0,1.0,1.0,0.9,0.95,1.0,4.32,Entire home/apt,-1,0.4692,,0.3786,0.3134,https://a2.muscache.com/im/pictures/82608344/2f7d4c55_original.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/82608344/2f7d4c55_original.jpg?aki_policy=small,-0.6784,3.6487201061052223,"{'2015-01-10': 3.820152889558824, '2015-06-08': 3.829041284647985, '2015-09-07': 3.779391265204621, '2016-02-15': 3.8628449622214562, '2016-06-18': 2.920008453138619}",-0.7,2.7776234653630345
658883,2,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2.5,Real Bed,1,1,0.5,30.0,"Handmade and inspired designer home walkable to Mississippi, Williams, and Alberta st. Gourmet kitchen, hundreds of house plants. Featured in design magazines, Art books and the hit show Portlandia. Welcome to Portland and our wonderful home. We are Emily, an art director/designer/artist/musician; Adam, a musician/screenprinter; Cowbear the cat, and Donut the little dog. Featured in the recent season of Portlandia, Kun:el Magazine, Popeye Magazine, and Linere Magazine.  Our home has wonderful amenities:  Huge remodeled kitchen with concrete counter tops, 5 burner gas stove. yes, we love to cook! And have many wonderful Le Creuset cookware, nice Shun knives, dishwasher, and raw walnut counter top. Our wonderfully big open living room is decked out with kilim rugs, sofa and chairs, and driftwood chandelier, and many plants, Emily's art as well as art from local artists, and artifacts from our travels.  The backyard is a work in progress, but has fruit trees, and nice spots to lay about i",0.0,2012-09-03,2,0.9985,0.1149425287356322,1,0.0010416666666666667,0.5,0.9455337690631809,0.03,4.8,0,1,45.549644547880696,https://www.airbnb.com/rooms/658883,-122.66309775631056,90,2,Food Lovers Dream in Designer House,0.0,0.8979,0.1,88.0,House,1.0,1.0,1.0,1.0,0.9,0.97,0.9,2.14,Private room,200.0,0.9847,,0.4939,0.8189,https://a0.muscache.com/im/pictures/38378059/f6646029_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/38378059/f6646029_original.jpg?aki_policy=small,0.9766,9.232149030609412,"{'2012-09-03': 9.148342575530599, '2013-07-27': 8.619816382541316, '2014-06-17': 9.46243623699384, '2015-06-30': 9.533654502645756, '2016-06-20': 9.396495455926122}",0.1,9.443919782234323
5499989,5,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""Hair Dryer""}",1.0,Real Bed,3,3,0.5,40.0,"My bright 3 BR cozy house has a hot tub and fireplace and a well equipped kitchen. Its great for families and its in a wonderful location. Have a great trip! Enjoy NE Portland! Walking distance to countless great bars and restaurants. A cozy home with a hot tub and a fireplace. Access is allowed to the whole house except for the basement. I'm letting a friend store things in my basement so I want her to have a safe place.  If you think you will need access to the washer and dryer let me know and arrangements can be made. Always available by text or email! Easy parking right in front of the house. Portland is easy to get around by car, bike, cab, Uber and public transportation. If you are staying for a week or more in the summer I will want to come by and water the garden. We can plan a time together that is most convenient for both of us.",0.0,2015-04-13,1,0.8908,0.1,1,0.001,1.0,0.9297752808988764,0.01,3.6,0,1,45.55712150393354,https://www.airbnb.com/rooms/5499989,-122.65199681800367,1125,2,Alberta Arts Bungalow with hot tub!,0.0,0.0772,0.037,185.0,House,1.0,1.0,1.0,1.0,1.0,0.97,1.0,2.47,Entire home/apt,-1,0.8221,,0.9531,0.7003,https://a0.muscache.com/im/pictures/72664290/013f1374_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/72664290/013f1374_original.jpg?aki_policy=small,0.9902,4.0572848863952,"{'2015-04-13': 4.566149258873883, '2015-08-02': 4.51879077878945, '2015-10-12': 2.5509635945853897, '2016-04-17': 4.060720989015857, '2016-06-27': 4.451175487575455}",0.4,4.4441975445808595
3316144,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,1,0.0,55.0,"Gorgeous, recently renovated apartment in historic 1902 Portland bungalow. The unit is 820 square feet, beautifully furnished, & full of light. It's also in a fantastic walkable location with many nearby bars, restaurants, and parks. This gorgeous, recently renovated unit is tucked in the basement of our historic 1902 Portland bungalow. While it is technically in a basement, the space feels more like an above-ground apartment with many windows and lots of natural light. The furnishings are light and bright as well with several beautiful antiques and artisan pieces. We put as much thought into decorating and furnishing this unit as we did our own house! We've also carefully stocked the kitchen with pots, pans, and utensils so that you can cook for yourself and dine comfortably in the unit, just like you would at home. There's also a dishwasher and a compact oven/stove. The bedroom is a junior bedroom with a plush bed and large closet (perfect for long-term guests!) and it is open to the",10.0,2014-07-09,2,0.9967,0.1,1,0.001,0.75,0.927536231884058,0.01,3.6,0,1,45.55255008935265,https://www.airbnb.com/rooms/3316144,-122.65660415356984,270,3,Gorgeous Light-Filled Apartment,0.9084,0.6249,0.074,95.0,Apartment,1.0,1.0,0.9,1.0,1.0,0.96,0.9,3.05,Entire home/apt,150.0,0.9746,,0.9062,0.2263,https://a0.muscache.com/im/pictures/42070543/d85e6f52_original.jpg?aki_policy=large,,0.9884,9.617015880228877,"{'2014-07-09': 10.444347294715506, '2015-01-01': 8.661113029952418, '2015-06-09': 9.040573430300526, '2015-10-05': 10.152659795872832, '2016-06-21': 9.79848370512655}",0.2,9.999444475306928
1917542,3,"{TV,""Cable TV"",Internet,""Wireless Internet"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,1,2,0.5,-1,"Enjoy a very comfortable queen-sized bed in a quiet, private two room suite.  Walk to restaurants, groceries, music, Moda Center, public transportation, and Legacy Hospital.  Near Pearl district, Downtown, Alberta, Mississippi Ave and Williams St. May 24-27 are now open.  The price is $60 for these nights because I have construction happening on site above the suite (2 floors above).  So if you don't mind a little noise during the daytime hours (8-5pm), then this is a great deal!! With two separate rooms and a private street level entrance, this suite is a great way to relax and rest after a long day exploring all the Portland has to offer.  The suite has its own private bathroom with a shower and tub and a kitchen closet that has dishes, silverware, basic kitchen utensils, a small refrigerator and freezer, microwave, coffee maker, and hot water heater.  Note it is not a full kitchen, but it is useful for preparing simple breakfasts, lunches, or heating up things in the microwave.  The",10.0,2013-12-10,2,0.971,0.10526315789473684,1,0.001,1.0,0.9439461883408071,0.01,4.8,0,1,45.54353900373017,https://www.airbnb.com/rooms/1917542,-122.66360467337967,45,2,The Sun House Private Suite,0.3164,0.34,0.142,79.0,House,1.0,1.0,1.0,1.0,1.0,0.98,1.0,4.54,Entire home/apt,200.0,0.8881,550,0.7778,-0.4199,https://a2.muscache.com/im/pictures/27183412/dd11459f_original.jpg?aki_policy=large,,0.931,7.143407282373203,"{'2013-12-10': 7.386671248427089, '2014-06-13': 7.39115375801945, '2015-03-18': 7.218759120939921, '2016-01-03': 6.601769588612356, '2016-06-30': 7.101146607349419}",-0.0,7.221821009943894
573191,1,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector""}",1.0,Airbed,1,1,1.0,-1,"I only host on Friday and Saturday nights. I only host on Friday and Saturday nights. I live in NE Portland by the Rose Quarter. There are bars, bicycles, parks, public transportation options, movie theaters, restaurants, and shopping spots near me. My favorite restaurant in Portland is 8 blocks away and is called Blossoming Lotus! I live with my cat who I brought back from Alaska. She is all white and her name is Mimi. Because of her being a cat with white hair, there are sometimes Mimi hairs floating around/ stuck on furniture (though I will try and clean it up as best I can and of course sweep). She is not a lap cat, and only likes to be pet minimally. She has been known to bite and scratch, but she is usually good about giving a warning.  I am willing to host someone for a couple of days, typically only on the weekends. If I am out of town, you would have my entire apartment to use, as long as you don't mind taking care of Mimi too. She is easy to care for- food, full water dish, l",0.0,2013-05-08,1,0.5859,0.10416666666666667,0,0.001,0.5,0.9648629655657063,0.01,4.1,0,1,45.53530465150506,https://www.airbnb.com/rooms/573191,-122.65706540841673,2,1,A great walkscore apartment in PDX,0.3457,0.3818,0.117,20.0,Apartment,0.9,1.0,0.8,1.0,0.9,0.89,0.9,3.04,Shared room,-1,0.7585,700,0.0,0.7783,https://a2.muscache.com/im/pictures/7088800/5c977c6c_original.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/7088800/5c977c6c_original.jpg?aki_policy=small,0.7585,1.4069145586356357,"{'2013-05-08': 1.8753844965459736, '2014-01-27': 1.8294611219186432, '2015-01-02': 1.7432722708966781, '2015-10-03': 1.1851390270913615, '2016-06-25': 0.3625760293835084}",-0.9,0.5555246930726148
3646070,2,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Hot Tub"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,0.5,25.0,"A bright studio in the heart of Portland's historic Irvington neighborhood. Comes with a full kitchen, a private bathroom, a queen bed and access to a hot tub in the back yard! A home for the night (or the week). Arts-and-crafts architecture, handmade redwood tables, and a minimal but comfortable style give this bright studio a true Portland feeling. We always keep the kitchen and the bathroom stocked with the essentials. There is a table with high chairs in the kitchen, perfect for eating a home cooked meal. The queen bed lies under a south facing window, letting in lots of light throughout the day. The apartment is on the first floor of a large 1910 home, which was converted to an eight-plex in the 1940s to adapt to the demands of WWII. I have lived in Irvington for 14 years and Portland for 25, and this house is one of the most unique that I’ve seen. A fleet of vintage Schwinn 3 speeds (complete with helmets and locks) is available for $10/day rental: ask me for in-depth info on whe",25.0,2014-07-26,2,0.9827,0.1,1,0.0010416666666666667,1.0,0.9138673557278209,0.04,3.8,1,1,45.54195359574689,https://www.airbnb.com/rooms/3646070,-122.64829166229597,1125,1,❤ of Irvington Studio w/Hot Tub!,0.3182,0.4019,0.096,89.0,House,1.0,1.0,1.0,1.0,1.0,0.93,0.9,4.06,Entire home/apt,200.0,0.9524,,0.4926,-0.4404,https://a0.muscache.com/im/pictures/52726977/b29c74d8_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/52726977/b29c74d8_original.jpg?aki_policy=small,0.9541,1.3793195872451613,"{'2014-07-26': 1.8860437507515213, '2015-01-11': 0.6558430893847558, '2015-07-06': 1.4703007657126816, '2016-01-25': 1.1641189454044667, '2016-06-26': 1.6936216923278624}",0.3,1.6665740792178245
