id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
641013,2,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1.0,Real Bed,1,1,0.5,15.0,"Private bedroom with en suite bathroom. Close to the Gaslamp, convention center and Balboa Park. Simple house, lots of artwork, great area for exploring San Diego! Private master bedroom with bathroom in Golden Hill Victorian located on edge of downtown San Diego.  Walk to downtown nightlife and restaurants. Close to Balboa Park (Museums), the Zoo, the Gaslamp Quarter, North Park and the Big Bay and Harbor (Seaport Village). Close to the San Diego Convention Center.  On bus line and near trolley station. Wonderful neighborhood with historical homes, great restaurants and cafes. Check out the guidebook for our favorite places. Bedroom with private bathroom, kitchen, front porch. Always available to answer questions. Neighborhood: Golden Hill, edge of downtown and close to Balboa Park. Bus routes and trolley nearby.",0.0,2013-07-31,1,0.8479,0.1075268817204301,1,0.001,0.75,0.9431818181818182,0.03,4.8,0,1,32.716680817361315,https://www.airbnb.com/rooms/641013,-117.14704320922453,60,2,Bedroom with en-suite bathroom,0.0,0.0,0.079,80.0,House,1.0,1.0,0.9,1.0,0.9,0.94,1.0,2.21,Private room,-1,0.8957,,0.6588,0.0,https://a1.muscache.com/im/pictures/21352717/07a6d014_original.jpg?aki_policy=large,https://a1.muscache.com/im/pictures/21352717/07a6d014_original.jpg?aki_policy=small,0.945,6.524659312967161,"{'2013-07-31': 6.987242890749985, '2014-04-02': 6.717458354579772, '2015-05-09': 6.624294392611686, '2015-08-23': 5.603001414154239, '2016-06-30': 6.70240885968615}",0.4,6.8084425531914885
3545424,4,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,0.0,65.0,"Welcome friends! Come enjoy our humble abode short distance to Balboa Park, Downtown/Gaslamp, & right on the bus line! Be at the beach in 10 mins--Minutes to grocery store, coffee, farmers market, yoga, & great  restaurants. We love the cool sea inspired wall colors and enjoy our collection of unique antiques and the open floor plan which makes our home feel spacious and cozy all at the same time! We have a private deck with papasan and chairs to chill out after a day of sightseeing. 1st level, parking spot right by your doorstep, private deck. We both have such a great passion for San Diego so if you have questions on what to do, must sees, and where to eat, we'd love to help! The eclectic neighborhood offers great culture, good eats, city views, bay views, and peaceful parks to enjoy with friends. Almost everything you need is walking distance, grocery, wine, coffee shops, best pizza, grill up your own burgers and enjoy specialty drinks at the famous Turf Club. Get healthy at Mosaic ",25.0,2015-10-09,2,0.9299,0.1,0,0.001,1.0,0.9056603773584906,0.01,2.9,0,1,32.71774652523954,https://www.airbnb.com/rooms/3545424,-117.13668623877048,1125,2,Convenient Location! Cozy Place!,0.9928,-0.1027,0.041,99.0,Condominium,1.0,1.0,1.0,1.0,0.9,0.95,0.9,4.51,Entire home/apt,500.0,0.9215,,0.9323,-0.4215,https://a2.muscache.com/im/pictures/77eb196a-ff55-412d-baa2-d441748fdacd.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/77eb196a-ff55-412d-baa2-d441748fdacd.jpg?aki_policy=small,0.9968,6.712148630182899,"{'2015-10-09': 6.61222804718186, '2016-02-01': 6.8473379892031385, '2016-04-13': 6.8061149971818615, '2016-05-22': 6.745583687607391, '2016-06-29': 6.561968502501009}",-0.4,6.595678723404255
5845497,2,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",2.0,Real Bed,1,1,0.0,-1,My friend Jeremy and I have a private room with a super comfy queen size bed. It's in an 1800 sq ft house as close to downtown as you can get!  Plenty of off street parking and right near a bus stop. Minutes from downtown and all major attractions. Our house is very close to downtown convention center and al major attractions.  It is very centralized and easy to get to. Guests will have access to the entire home and back yard. I'm not home very often so guests can come and go as they please. Golden Hill is one of San Diego's oldest neighborhoods.  It's a quiet residential place but is also close to everything.  The best of both worlds! There is a bus stop just feet away from our house. We recommend Relay Rides for car rentals. Lyft is a short $6 ride from the San Diego Airport to or from the house.,10.0,2015-04-26,1,0.9323,0.1,1,0.001,1.0,0.9044890162368673,0.02,3.8,1,1,32.715646576478875,https://www.airbnb.com/rooms/5845497,-117.14511633506045,1125,2,Private Room in an Amazing House!,0.7959,0.3612,0.05,55.0,House,0.9,0.9,0.9,0.9,0.9,0.89,0.9,3.42,Private room,-1,0.7152,,0.8398,-0.296,https://a1.muscache.com/im/pictures/76451382/b3aa17b9_original.jpg?aki_policy=large,https://a1.muscache.com/im/pictures/76451382/b3aa17b9_original.jpg?aki_policy=small,0.9461,6.455945868831879,"{'2015-04-26': 5.513197849648238, '2015-07-21': 6.9487154092227, '2015-10-15': 7.166755781988668, '2016-02-13': 6.7082922815631285, '2016-06-16': 5.942768021988664}",-1.2,5.957387234042554
11824929,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,0.5,60.0,"Very heart of hip South Park, close walking to coffee, trendy restaurants, cool indie shops, wine bars, breweries and nightlife.  Minutes to Balboa Park, zoo, Gaslamp and Convention Center (3 miles away - perfect for the business traveler).  Fifteen minutes to beaches, Coronado, La Jolla and airport. New completely decorator furnished. Bright, sparkling clean interior and charming, completely private back patio garden. A 4 night minimum required during comic-con.  Convention center is 3.6 miles This cozy cottage is newly, decorator furnished.  The bathroom has a spa like feel, bright and fully remodeled.  The new queen bed mattress is  extremely comfortable with luxurious bed linens. The mattress and box springs are fully encased with an allergen/bedbug zippered cover. The kitchen is completely outfitted for all your needs; perfect for cooks. The back patio is completely private with a patio table and chairs and charming pergola.  A high efficiency full size washer and dryer is provide",0.0,2016-04-13,1,0.9823,0.1,1,0.001,1.0,0.9131944444444444,0.02,3.6,0,0,32.726519370331296,https://www.airbnb.com/rooms/11824929,-117.12883282017383,7,2,"Cozy, cool,  private very heart of South Park",0.8741,0.9589,0.016,89.0,House,1.0,1.0,1.0,1.0,1.0,0.99,1.0,5.58,Entire home/apt,95.0,0.9694,,0.9506,0.2732,https://a2.muscache.com/im/pictures/60656842-052d-4062-a4bc-7f49713137dd.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/60656842-052d-4062-a4bc-7f49713137dd.jpg?aki_policy=small,0.9881,9.96222898182033,"{'2016-04-13': 9.979409661170212, '2016-04-24': 9.881183693085106, '2016-05-10': 10.001608020744683, '2016-06-09': 9.980899007978728, '2016-07-03': 9.962317633510642}",0.0,9.9999
451046,9,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.5,Real Bed,2,2,0.0,62.0,"NEAR COMIC CON Located in a private and secure gated complex in beautiful and quiet Golden Hill near South Park. Ranked #2 in the nation out of twenty best towns of the future by Sunset magazine. - 1 Full bath + 1  half bath - Full-sized, fully equipped kitchen - Large flat-panel LCD high-def. TV with FREE Netflix, Crackle, and Pandora - FREE high-speed Wi-Fi - FREE private, attached TWO-CAR+ garage - FREE Initial supply of soap, shampoo, etc. - FREE drinking water - Dishwasher, disposer, large microwave/vented hood - Hardwood type & tile floors - Lots of built-in cabinetry - 921 sq. ft. !! - Abundance of natural light (see pictures) - Pets accepted (Upon approval. Fees apply) - All linens and towels included - All dishes and kitchenware - Iron & ironing board - Hair dryer - Portable baby playpen/crib - FREE bottle of the best Charles Shaw wine money can buy. Gated Community Features: - Small complex - only 4 total units - On-site coin laundry - Video intercom controlled access - Large",21.0,2012-05-29,5,0.0,0.1,1,0.0011494252873563218,1.0,0.9530075187969925,0.07,4.8,0,1,32.71558356186027,https://www.airbnb.com/rooms/451046,-117.13794600949319,365,2,"Private, quiet, near Gaslamp 2br",0.0,0.0,0.02,189.0,Apartment,0.9,0.9,0.9,0.9,0.9,0.94,0.9,0.40,Entire home/apt,-1,0.9936,,0.0,0.0,https://a2.muscache.com/im/pictures/5380521/09f05d8b_original.jpg?aki_policy=large,,0.9936,4.550381627430811,"{'2012-05-29': 4.024599651217408, '2012-12-30': 4.908101454408899, '2013-07-07': 4.63821053632379, '2014-09-07': 4.799804665047196, '2016-04-20': 4.381191829940814}",-0.4,4.468040425531915
5720705,4,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Family/Kid Friendly""}",1.0,Real Bed,1,2,0.5,20.0,"A clean and cosy 1 bedroom apartment in a 100yo victorian mansion centrally located on San Diego's historic Golden Hill. Near the Zoo, Gaslamp, South Park, Little Italy, San Diego Airport, train and freeways. Pvt deck and large kitchen, 2 bicycles. Location, location, location! Keys are picked up and dropped off using a lockbox at the gate. I am never more than 20 minutes away and available at anytime. The most centrally located neighborhood in San Diego, hands down!",25.0,2015-04-12,2,0.0,0.1,0,0.00125,1.0,0.8759305210918115,0.01,2.9,0,1,32.717605980323206,https://www.airbnb.com/rooms/5720705,-117.14072036276798,1125,1,Modern Victorian 1BD near Downtown,0.0,0.0,0.051,95.0,Apartment,1.0,1.0,0.9,1.0,1.0,0.92,0.9,3.38,Entire home/apt,150.0,0.0,,0.4019,0.0,https://a0.muscache.com/im/pictures/72816771/2219b846_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/72816771/2219b846_original.jpg?aki_policy=small,0.508,1.8513872289212925,"{'2015-04-12': 2.1195288186586554, '2015-10-04': 1.8302435103801262, '2015-12-29': 2.0801984576141703, '2016-02-25': 1.4120774793162993, '2016-06-20': 1.7880737193162983}",-0.1,1.702110638297874
6833927,2,"{TV,Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,1.0,10.0,"Great bedroom in the brightest spot in the house. Open the door to a backyard filled with succulents, bamboo trees, and Adirondack chairs. Truly a tropical oasis in the middle of the city.",0.0,2015-06-20,3,0.9861,0.12987012987012986,1,0.0011111111111111111,0.5,0.9434069043576684,0.01,5.0,0,1,32.71692920130439,https://www.airbnb.com/rooms/6833927,-117.13407165685234,1125,1,Bright and funky garden bedroom!,0.0,0.0,0.04,62.0,House,1.0,1.0,0.9,1.0,0.9,0.95,1.0,3.13,Private room,-1,0.0,,0.9001,0.0,https://a0.muscache.com/im/pictures/86421391/c4382fe2_original.jpg?aki_policy=large,https://a0.muscache.com/im/pictures/86421391/c4382fe2_original.jpg?aki_policy=small,0.9001,6.353893441919545,"{'2015-06-20': 6.688645413610727, '2015-08-01': 5.226957902972435, '2015-12-12': 6.489072941270305, '2016-03-12': 6.755772401908605, '2016-05-24': 6.609018550312857}",0.6,6.595678723404255
510428,8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",2.0,Real Bed,1,1,0.0,90.0,"This is a spacious one bedroom house with a King size bed in the bedroom, 2 sofa beds and single pull out bed in the living room.  Spacious kitchen with table for 6.  Sleeps 8 , King bed and 3 sofa beds 56""x 76""  Double/Standard. Surrounded by tropical ambiance this cozy and charming one bedroom house is the perfect place to get away.  Comfortably sleeping up to 8 people, the kitchen is spacious with a table for 6.   Located  in the heart of the old, unique and beautiful neighborhood of Golden Hill, this is a prime location for a visit to San Diego. Located on a side street there is ample, safe and free parking.  T Within just a few blocks you have the choice of a plethora of delicious local eateries. Cook your own steak at the legendary Turf Club, enjoy Humberto’s famous carne asada fries, or have a stone oven pizza while enjoying the outdoor patio of Luigis.   Just 4 minutes away you can visit the baby panda’s at the zoo or take in a museum and a walk through beautiful Balboa Park.  ",0.0,2012-06-24,1,0.9612,0.11627906976744186,1,0.001,0.75,0.9532928538066324,0.18,3.6,0,1,32.715885962151305,https://www.airbnb.com/rooms/510428,-117.14257477797432,365,1,Slp/8 Awesome House/3 min DowntownE,0.4215,0.0,0.059,154.0,House,0.9,1.0,0.9,1.0,0.9,0.94,1.0,1.20,Entire home/apt,-1,0.9895,,0.0,-0.3182,https://a2.muscache.com/im/pictures/6562934/18b58c3b_original.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/6562934/18b58c3b_original.jpg?aki_policy=small,0.9869,5.037123931235694,"{'2012-06-24': 5.005023639088357, '2013-12-17': 5.132079106109638, '2014-12-01': 5.331438814620278, '2015-10-13': 4.918464221003252, '2016-06-12': 4.776931142473274}",-0.6,4.680804255319148
6570453,6,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",2.0,Real Bed,2,5,0.5,80.0,"Our charming cottage is totally renovated with open space from kitchen to living room.  It's located on a quiet street.  Enjoy gourmet kitchen, spacious deck.  Two bedrooms and queen hid a bed. Off street parking.  15 minutes from S.D airport.  15 minutes from 2 public beaches.  2 blocks away is the Balboa Park public golf course.  It is 10 minutes from Balboa Park museums, Old Globe theater, S.D. Zoo. Our cozy 2 bedroom, 2 bath (full showers) home sleeps 6 (queen hide-a-bed in living room).   New oak floors throughout.  Semi-formal dining area.   Fun open kitchen.  Luxurious deck shaded by giant Fuyu persimmon tree. Kitchen:  Gas stove.  Dishwasher.  Keurig coffee maker.  Ninja juicer.  WiFi.  Smart TV.  Laundry:  washer, dryer.  Garage is off limits.  No fire in the fireplace at this time. I am available by phone, email, or text.  Our on-site hostess resides in the adjacent block.  She will meet guests, explain how the house works, provide a key and be accessible throughout their sta",0.0,2015-06-16,1,0.8934,0.1,1,0.001,1.0,0.8937300743889479,0.01,3.6,0,1,32.72330038011632,https://www.airbnb.com/rooms/6570453,-117.13134130976081,35,3,South Park Urban Cottage,0.4019,0.0094,0.017,225.0,House,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.31,Entire home/apt,500.0,0.5106,,0.6908,-0.4215,https://a2.muscache.com/im/pictures/82721592/aea17fb0_original.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/82721592/aea17fb0_original.jpg?aki_policy=small,0.6369,5.260564556168803,"{'2015-06-16': 4.997488338316642, '2015-07-26': 5.67716239257196, '2015-08-19': 4.307849844699615, '2015-12-14': 5.7747855298060005, '2016-06-07': 5.494362802146431}",0.6,5.531859574468085
6838491,2,"{""Wireless Internet"",Kitchen,Heating,Washer,Dryer}",1.0,Real Bed,1,1,0.5,-1,"Private room in a mid century style craftsman house in historic  Goldenhill. Minutes to downtown, Balboa Park, zoo and quick access to the freeways.",0.0,2016-01-18,1,0.0,0.10526315789473684,0,0.001,0.75,0.8609179415855355,0.01,2.9,0,0,32.71792849473176,https://www.airbnb.com/rooms/6838491,-117.1449215402424,1125,1,Get your thrill on Goldenhill!,0.0,0.0,0.045,73.0,House,1.0,1.0,1.0,1.0,1.0,0.97,1.0,7.85,Private room,-1,0.0,,0.0,0.0,https://a2.muscache.com/im/pictures/1f3feb88-ac22-46bc-bb3b-2d87269fb869.jpg?aki_policy=large,https://a2.muscache.com/im/pictures/1f3feb88-ac22-46bc-bb3b-2d87269fb869.jpg?aki_policy=small,0.0,0.8002482721181043,"{'2016-01-18': 1.1277627274996207, '2016-03-12': 1.1973128594145162, '2016-04-21': 1.0157543913294071, '2016-05-29': 0.5752859828187709, '2016-07-01': 0.0851253998400489}",-1.7,0.0
