id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
7716463,2,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,Essentials,Shampoo}",1.0,Real Bed,1,1,moderate,,"Your own room in a beautiful beachside villa w/ separate office workspace. Perfect for entrepreneurs, freelancers, students and outdoor lovers looking to get away and get focused. Stay for a few days or a month. We created this house specifically to encourage a balance between work and play for groups and individuals. Indoors and out, you will find quiet places to escape and relax.  For those looking to find a bit more adventure, we provide access to bikes, on-site yoga, surfboards and lessons.  When you are ready to get down to work, you simply walk across the courtyard, past the fire pit and set up shop in the dedicated workspace - stocked with desks, chairs, hi-speed internet and all the amenities of your office.  WE PROVIDE YOU WITH EVERYTHING YOU NEED TO EXPERIENCE A BEAUTIFULLY BALANCED BEACH LIFESTYLE:  - Comfortable bed & fresh linens in a private or shared room - Spacious co-working space with high speed Internet - Newly renovated bathrooms - Large kitchen where cooking delici",$0.00,,1,0.9872,30%,t,84%,within a day,2015-04-25,11,"['email', 'phone', 'google', 'reviews', 'kba']",f,f,36.96140293451407,https://www.airbnb.com/rooms/7716463,-121.96493164275338,1125,2,"Surf, Bed & Desk",0.0,0.0,0,$100.00,House,,,,,,,,,Private room,,0.9911,,0.9325,0.0,https://a2.muscache.com/ac/pictures/98072410/b6bd2d80_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/98072410/b6bd2d80_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9914,0,{},0,0
7501360,2,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Essentials,Shampoo}",1.0,Real Bed,1,1,0.5,-1,"Enjoy your private bedroom in a charming, cheerful home minutes walk to Capitola Beach/Village, plenty of great restaurants nearby. 12-min. drive to Santa Cruz Beach and Boardwalk & downtown. Wifi, private access to deck, & great host!! As you enter the home, you will discover a very open and spacious living room. The peaceful private room is ideal for all visitors it is furnished with a full size bed, desk, and will also have fast Wi-Fi access. Ample parking, easy access through the main house, private backyard access, shared bathroom, and to ease your travels a little more, I'm happy to provide towels, shampoo and soap. Access to kitchen. Fast and free internet access for guests. Depending on the guest. I am available to make your stay pleasant and answer any questions you may have such as recommendations for restaurants, beaches and surf spots, attractions, shopping, etc. otherwise I let guests have their own space as I enjoy my own private space. Close to the freeway and to nice Sh",10.0,2015-07-29,1,0.0,0.01,1,0.01,1.0,0.0014684287812041115,0.01,4.8,1,0,36.97889335962496,https://www.airbnb.com/rooms/7501360,-121.95629726761315,1125,1,"Private Room - Capitola, California",0.9136,0.9626,0.021,62.0,House,1.0,1.0,1.0,1.0,1.0,0.98,1.0,7.78,Private room,-1,0.765,,0.9652,0.1531,https://a0.muscache.com/ac/pictures/99292571/a8be91f0_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/99292571/a8be91f0_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9946,15.7813525572,"{'2015-07-29': 15.815106842878118, '2015-08-05': 15.845316842878118, '2015-08-28': 15.614016842878119, '2015-09-16': 15.816816842878119, '2015-10-09': 15.807066842878118}",0.13701,15.8070668429
2816725,2,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Hot Tub"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}",1.0,Real Bed,1,1,0.0,150.0,"Beautiful master bedroom suite, 1 block from beach and world class surf.  A stay in the Pleasure Point neighborhood is the quintessential beach town experience. Hot tub, outdoor shower, full  kitchen, front patio for afternoon sun and cocktails.   Master bedroom  suite with private bathroom has wonderful natural light sunrise to sunset.  You will have the entire second floor, full custom bathroom, gas fireplace, sliding glass doors to decks off each end or room.  Use of the kitchen, hot tub, and front and back patios.  1 block off the Wharf to Wharf race course. Come back from the beach and use the outdoor shower before warming up in the hot tub.  BBQ in the back or use the fully equipped kitchen. Don't feel like cooking? Ride our bicycles to several  good eateries within a few blocks, or go two easy miles to scenic Capitola Beach/ Village for a slice of pizza or fine dining, or to the yacht harbor for a champagne sunset sailboat cruise.  Sit on the front patio, enjoy the sun, read, co",0.0,2014-07-28,1,0.9169,0,0,0,0.0,0.0008756567425569177,0.01,2.9,0,1,36.95763628431033,https://www.airbnb.com/rooms/2816725,-121.97325075394048,1125,5,Pleasure Point Surf and Relaxation,0.654,0.9601,0.001,90.0,House,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,Private room,-1,0.5106,,0.6908,0.4404,https://a0.muscache.com/ac/pictures/43723680/cf933ea5_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/43723680/cf933ea5_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9558,14.5090875657,{'2014-07-28': 0},0,0
6784210,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,1.0,-1,"Large room with a queen bed and a private bathroom off the room. If you're like me you might have waited to long to book a room for grad weekend. Here you go - just published and available. My room is in good shape. There are some painting deficiencies I want to point out. Just don't too closely and you probably won't notice. My clothes and things are here as this is my room - but I vacate it on occasion to rent. My desk is also in this room so I just ask that you respectfully leave it as is - preferably not utilized. The bed is comfy. You can access the kitchen and living space, out of doors if you like, but it is a bit rustic out there. I'll check you in and meet you. I may be in the house from time to time.",0.0,2015-06-14,1,0.9211,0.010638297872340425,1,0.01,1.0,0.0008650519031141869,0.04,5.0,0,1,36.97480724615936,https://www.airbnb.com/rooms/6784210,-121.97200727617104,1125,1,Santa Cruz Simple - Master Bedroom,0.0,0.0,0.001,95.0,House,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24,Private room,250.0,0.6542,,0.3612,0.0,https://a2.muscache.com/ac/pictures/85684694/b9e71611_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/85684694/b9e71611_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.8537,14.1829233137,{'2015-06-14': 0},0,0
1587117,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Breakfast,""Pets live on this property"",Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo}",1.0,Real Bed,1,1,0.5,-1,"Spacious, luxury condo, private room and bathroom, hardwood floors, vaulted ceilings, flat screen T.V, seconds from the beach, in the heart of Capitola Village. You will have access to the entire place, friendly, great host and cook. Lots to do here. *I dont do trades. Sorry! I have a beautiful, luxurious beach condo. Hard wood floors, fireplace, large flat screen T.V, large comfy couch, modern kitchen, dishwasher, sunny bay window and seconds from the beach. ***Please note, I do have TWO cats! They are very friendly and keep pretty much to themselves and hang out mostly in my room. I also keep the place VERY clean, so there is no fur on the furniture. If the cats are a problem I'm happy to keep them closed in my room. If you are an animal lover though, you'll really love them! My place is pretty big so there is lots of space for everyone to live comfortably. : This is a SHARED condo. I live here and rent out my spare bedroom and bathroom. I'm very busy so I'm not there a lot. Please d",0.0,2013-09-05,1,0.9839,0.010526315789473684,1,0.01,1.0,0.0007199424046076314,0.01,4.8,0,0,36.975472783149726,https://www.airbnb.com/rooms/1587117,-121.95134824443853,28,1,Luxury condo by the beach,0.7096,0.3382,0.034,165.0,Other,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.32,Private room,-1,0.9857,,0.8322,0.6819,https://a1.muscache.com/ac/pictures/84799339/b64a0cd5_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/84799339/b64a0cd5_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9911,15.9790151212,"{'2013-09-05': 15.990921843864522, '2015-05-28': 15.924193272435948, '2015-07-16': 16.027393272435951, '2015-08-12': 15.935807558150234, '2015-10-04': 16.023050415293092}",0.213885714286,16.0230504153
6852467,2,{},1.0,Real Bed,1,1,flexible,$30.00,Private room in 3 Bdrm home,$20.00,,1,0.9423,95%,t,100%,within a few hours,2014-09-20,2,"['email', 'phone', 'google', 'reviews', 'jumio']",f,f,36.97411467191129,https://www.airbnb.com/rooms/6852467,-121.97165729888516,1125,1,Tranquil Master Bdrm w Private Bath,0.0,0.0,0,$95.00,House,,,,,,,,,Private room,,0.0,,0.0,0.0,https://a1.muscache.com/ac/pictures/86692391/aaaa22d4_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/86692391/aaaa22d4_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.0,0,{},0,0
1187783,8,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit""}",2.5,Real Bed,3,5,0.5,150.0,"Built in 2011 this beautiful greenbuilt  eco-home is an ode to modern beach and surfing life. Enjoy the palette of concrete, glass, wood and steel,with many comforts and amenities. This 2,300 sq ft home includes: a gourmet kitchen with a Bertazzoni stove, Bosch dishwasher, filtered drinking water, various coffee makers,a vitamix and lots of dishes for all your celebrating. The family room and living room include a new Samsung flat screen tv (with Net Flicks,and Pandora),and blue ray dvd player,and ipod deck which are all integrated into the home theater built in sound system. The house is well heated by a radiant floor system with a thermostat in each room, and a mesmerizing and efficient gas fireplace in the family room. There are huge glass accordion doors that open the house to the outdoor living area, which includes a concrete patio and a large grass area, a fountain, fire pit, hot outdoor shower and small barbecue. The backyard is fenced in and private. Upstairs you will find thre",0.0,2013-06-24,7,0.8807,0.01,1,0.01,0.75,0.0006009615384615385,0.01,4.8,0,1,36.95955623633421,https://www.airbnb.com/rooms/1187783,-121.97234829702299,28,2,Modern Designer: Amazing Location,0.0,0.0,0.064,500.0,House,1.0,1.0,1.0,1.0,1.0,0.98,0.9,2.27,Entire home/apt,-1,0.9703,,0.0,0.0,https://a2.muscache.com/ac/pictures/17863250/2a6e7178_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/17863250/2a6e7178_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9703,13.7830413462,"{'2013-06-24': 13.832917788461542, '2014-01-27': 13.636233173076928, '2014-08-23': 13.818956250000001, '2015-06-08': 13.809310096153848, '2015-10-12': 13.820685096153847}",0.185323076923,13.8206850962
31721,3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,0.0,75.0,"*LOCATION LOCATION LOCATION* WITHIN THE FIRST BLOCK TO THE BEACH, PRIVATE PLEASURE POINT BEACH COTTAGE IS YOUR OWN CHARMING PRIVATE BEACH COTTAGE. PRIVATE HOT TUB, BEACH BICYCLES, GAS GRILL AND MORE! Welcome to our lovely Pleasure Point Beach Cottage (PPBC). Built in 1928 our adorable beach cottage is truly what old Santa Cruz is about. Quaint and cozy we are located in the best beach location in Santa Cruz (Pleasure Point). Just a block to the beach and surf, wake up and walk to the beach with your puppy and cup of Joe. While on your ocean walk, stroll over to our local market and coffee shop for a bite to eat. Just 2 minutes from world famous Capitola village, take the beach bikes that PPBC provides, and ride along the ocean to the village. Centrally located everything you need is right here- restaurants, surf shops, the new renovated Pleasure Point shopping center, Capitola mall. Santa Cruz Beach Boardwalk is just 6 minutes down the road. Oh and you will definitely want to grab a sl",0.0,2012-11-26,1,0.9962,0.030303030303030304,1,0.0125,0.5,0.00039093041438623924,0.01,4.8,0,1,36.959265063449024,https://www.airbnb.com/rooms/31721,-121.97281790694775,365,3,PrivatePleasurePtBeachCottageHottub,0.9493,0.9545,0.01,190.0,House,1.0,1.0,0.9,1.0,1.0,0.94,0.9,0.28,Entire home/apt,95.0,0.9864,,0.0,0.5574,https://a0.muscache.com/ac/pictures/10622114/c75e5d8b_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/10622114/c75e5d8b_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9864,15.9861212143,"{'2012-11-26': 15.942201214253558, '2013-08-26': 15.998001214253557, '2014-01-05': 16.003101214253558, '2014-03-01': 16.002501214253556, '2015-09-22': 15.984801214253558}",-0.0066,15.9848012143
2886981,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",1.0,Real Bed,1,1,0.0,-1,"This room is in a great location!  Close to the beach, Whole Foods, gym, restaurants, cafes, nice park across the street.  It has all the amenities: wifi, flat screen w/ bluray, bamboo floors, flattop stove, dishwasher, BBQ, access to pool.   I have a condo near Capitola Village which sits on a nice beach near the wharf.  There are restaurants and quaint shops with in a five minute walk. It's a two bed / one bath condo.  You will be sharing with myself.  I am out of town a lot so as I mentioned you may find the condo alone.  I have a sweet, small, and quiet! dog that comes and goes with me. Condo has a full kitchen and bathroom with shower and tub. Parking is free. I have premium digital cable with HBO with a nice sized HD TV with a bluray player.  There is fast WiFi and a Bose sound system so bring your favorite CDs or connect your Ipod :) The neighborhood is quiet.  There is little traffic, mostly locals, which makes it really convenient as the closer you get to the beach the traffic",40.0,2014-06-02,1,0.9669,0.027777777777777776,1,0.010526315789473684,1.0,0.00088261253309797,0.03,4.8,0,1,36.97089254566483,https://www.airbnb.com/rooms/2886981,-121.96138099094513,1125,1,Nice room close to beach,0.0,0.1007,0.005,95.0,Apartment,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30,Private room,750.0,0.9737,,0.8016,0.25,https://a2.muscache.com/ac/pictures/45118852/250e3a84_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/45118852/250e3a84_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9787,13.9841327057,"{'2014-06-02': 14.589712705697753, '2014-07-26': 14.601412705697754, '2014-07-31': 14.469412705697753, '2014-08-02': 14.515912705697755, '2014-08-18': 11.744212705697754}",-11.1996,11.7442127057
2958258,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",Pool,Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",1.0,Real Bed,1,1,0.0,-1,"This condo is in a perfect location! Any closer to Capitola beach you have to deal with the traffic and parking. Condo has all the amenities (cable, bamboo flrs, Bose system, dishwasher, pool etc). Close to to Whole Foods, restaurants, cafes, park. I have a condo near Capitola Village which sits on a nice beach near the wharf.   There are restaurants and quaint shops with in a five minute walk. It's a two bed/one bath condo.  I lock the extra bedroom and the rest of the condo is yours (if you would like to rent as a 2 bedroom please check out my other listing).  Your bedroom has a queen sized bed.  Condo has full kitchen and bathroom with shower and tub. Parking is free. I have premium digital cable with HBO with a nice sized HD TV with a bluray player.  There is fast WiFi and a Bose sound system so bring your favorite CDs or connect your Ipod :) The neighborhood is quiet.  There is little traffic mostly locals, which makes it really convenient as the closer you get to the beach the tr",0.0,2014-05-31,1,0.9669,0.027777777777777776,1,0.010526315789473684,1.0,0.00088261253309797,0.03,4.8,0,1,36.97032513887619,https://www.airbnb.com/rooms/2958258,-121.9615392057583,1125,1,Nice Condo close to beach,0.3182,0.1007,0.015,175.0,Apartment,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89,Entire home/apt,-1,0.9728,,0.6114,0.25,https://a0.muscache.com/ac/pictures/45118854/c1923b5e_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/45118854/c1923b5e_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9718,13.5801927057,"{'2014-05-31': 13.116492705697752, '2014-07-14': 13.89869270569775, '2014-11-29': 14.005192705697752, '2015-03-15': 13.95819270569775, '2015-06-12': 12.922392705697751}",-3.289,12.9223927057
