id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
7680289,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,2,0.5,50.0,"Vintage 1927 4plex in perfect Queen Anne location. Elliott Bay views! Hardwoods, built-ins, natural light. Queen bed w/ new mattress. Charm & updated amenities: A/C, free Wi-Fi, Roku, Cable TV, HBO, Private WD, Additional hide-a-bed. Very clean! Well cared-for building with many charming details. Attention to detail with furnishings. Clean Apartment with private outdoor space and shared backyard to relax in the sun, BBQ or enjoy a game of corn hole. Fully stocked kitchen with Keurig, complimentary coffee and bottled waters. Large bedroom with walk-in closet, private washer / dryer, queen sized bed, 2nd queen sized hide-a-bed sofa. Sweeping sunset views of Elliot Bay from spacious living room and dining space. Dart board, Chess board, Poker set, ROKU, Cable TV, Free HBO and free wireless high speed internet! Complete apartment with private bedroom, bathroom, kitchen, dining area, large living room, private patio and shared backyard space. Private Washer and Dryer, walk-in closet.  4 dig",25.0,2015-08-27,2,0.0,0.1,1,0.001,1.0,0.8509687034277198,0.02,3.6,1,1,47.639810187873806,https://www.airbnb.com/rooms/7680289,-122.37380062876858,365,2,QUEEN ANNE VIEW ONE! - SEATTLE,0.0,0.0,0.019,125.0,Apartment,1.0,1.0,1.0,1.0,1.0,0.95,1.0,4.35,Entire home/apt,-1,0.9774,,0.9648,0.2732,https://a2.muscache.com/ac/pictures/100849824/35cbe562_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/100849824/35cbe562_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9935,3.243764445286983,"{'2015-08-27': 3.191402667846672, '2015-09-11': 3.0940780597071402, '2015-10-02': 3.40686562947458, '2015-10-22': 3.320819978311791, '2015-11-29': 3.192953039939696}",-0.1,3.2557813953488384
7207641,8,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",3.0,Real Bed,3,3,0.0,150.0,"*** NEW LISTING - August 2015 *** Relax and revive at this urban 3-bedroom sanctuary centrally located in Seattle's most charming and desirable neighborhood. Relax and revive at this urban 3-bedroom sanctuary centrally located in one of Seattle's most charming and desirable neighborhoods. The location is hard to beat, just three leafy blocks from Queen Anne's main drag with it's great array of shops, cafes and restaurants and five blocks from the most famous picture-postcard lookout point of the city skyline at Kerry Park. With good public transportation, it is just a 10-minute ride to the popular Seattle Center, exciting downtown, or trendy Capitol Hill.   For dinner, Queen Anne has a restaurant to suit any taste or budget, or why not release your inner chef in the gourmet kitchen with island cook top and double ovens. Afterwards take a soothing bath in the master suite's soaker tub or reinvigorate in the walk-in shower. Before bed, snuggle up in the giant leather chesterfield and cat",20.0,2015-08-04,6,0.0,0,1,0.002,0.5,0.9320652173913043,0.01,6.2,0,1,47.63556952470362,https://www.airbnb.com/rooms/7207641,-122.36165259464241,1125,3,"URBAN SANCTUARY, 3BR, QUEEN ANNE",0.9569,0.296,0.005,348.0,House,1.0,1.0,1.0,1.0,1.0,0.96,0.9,0.97,Entire home/apt,750.0,0.9847,,0.8991,0.6808,https://a1.muscache.com/ac/pictures/92735111/09a3b4cc_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,,0.9893,9.539733721941356,"{'2015-08-04': 10.670234044823047, '2015-08-07': 6.104233193660256, '2015-08-17': 10.515351872730026, '2015-08-23': 10.480933612264906, '2015-09-03': 9.927915886683511}",0.8,9.9999
6004058,2,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Futon,0,1,1.0,-1,"I love my 3rd floor vintage studio apartment w/ courtyard patio!  It is on lower Queen Anne & a 10 min walk to Seattle Center. Includes elevator, secured entry, hardwood floors, vaulted ceilings, big windows, full bath & kitchen. Small & efficient! -kitchen (stocked with basics & condiments) -bathroom (with vintage claw foot tub, excellent tub for a long bath.) -40"" Flat screen TV, Blu-ray, Apple TV, Hulu Plus, Wifi, ihome alarm clock. -Courtyard patio! (The patio looks down on the interior courtyard & is shared with another apartment. It is accessible through a large window. ) -1 double bed. While the bed is a futon it has a thick memory foam topper which makes it incredibly comfortable. New bedding + 4 pillows. -Quiet! The residents are pretty quiet... Wake up to the sound of the fountain in the courtyard.  -Small... Only accommodates two people. No set dining area. -Kinnear Park is across the street, walk to iconic Kerry Park or visit Marshall Park.. I love all 3. -Organic (I use or",0.0,2015-04-18,1,0.9507,0.1,1,0.002,0.5,0.9258160237388724,0.01,4.8,0,1,47.628343869748115,https://www.airbnb.com/rooms/6004058,-122.36640542137962,1125,1,LOWER QUEEN ANNE STUDIO W/PATIO,-0.2942,0.5972,0.02,100.0,Apartment,0.9,0.9,0.9,0.9,0.9,0.92,0.9,2.29,Entire home/apt,-1,0.9334,,0.8436,0.743,https://a0.muscache.com/ac/pictures/74773540/d89225b4_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,,0.9725,3.6355022548464566,"{'2015-04-18': 4.4163549112973595, '2015-06-14': 4.083683819436893, '2015-08-01': 4.63356204152992, '2015-09-13': 3.6088048473438734, '2016-01-02': 1.4351056543206138}",-4.7,1.3953348837209303
4236723,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.5,Real Bed,2,3,0.5,-1,"2 bedroom 1 1/2 bath with an additional comfy sleeper sofa on the first floor of 1901 Duplex.  Lovingly appointed just 6 blocks from the weekend farmers market and all the restaurants and nightlife Ballard has to offer. ****Dec 4, 2015.  There is currently construction on the home nextdoor which can begin as early as 7:30am and go to 4:30pm  Most of the noisy part of the work is done but there is still some construction happening I would say it is only a concern if you are booking a stay during the week and a sensitive day sleeper. This is a great open floor plan with an updated kitchen that is located 6 blocks from all the restaurants and nightlife Ballard has to offer.  There is a 1/2 bath located off the living room and a the full bath is a jack and jill style between the two bedrooms.   There is a fenced back yard and the refrigerator and cupboard will be stocked with snacks and drinks as well as a fully equipped kitchen for all your cooking needs.   I am always available via phone",20.0,2014-10-12,4,0.9215,0.1,1,0.001,1.0,0.9463519313304721,0.04,4.8,1,1,47.67058142200578,https://www.airbnb.com/rooms/4236723,-122.3822111614972,1125,1,Ballard Bunkhouse - Bottom Bunk,0.9722,0.2732,0.113,195.0,House,0.9,1.0,0.9,1.0,1.0,0.94,0.9,7.53,Entire home/apt,-1,0.7444,,0.5106,-0.0258,https://a2.muscache.com/ac/pictures/6bacd011-74fa-4fcd-b4f9-ea64d6bb0177.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/6bacd011-74fa-4fcd-b4f9-ea64d6bb0177.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.8233,7.197323515347433,"{'2014-10-12': 7.212018823687125, '2015-03-23': 7.098936031371666, '2015-07-08': 7.355515872018765, '2015-09-27': 6.950538765474058, '2016-01-02': 7.366221712197097}",0.4,7.441786046511629
5671843,2,"{""Wireless Internet"",Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",1.0,Real Bed,1,1,0.5,20.0,"Very light, spacious but quiet and cozy room for two. Conveniently located in the heart of the historic Ballard area.You will be close to all of the shops restaurants, parks and other attractions Ballard can offer.  Very light, spacious but  cozy and quiet room for two. Conveniently located in the heart of the historic Ballard.You will be close to all of the shops and restaurants on Market Street, as well as the Ballard Locks, Fishermen's Terminal, Golden Gardens Park and Green Lake. And it's just a short hop to the University of Washington.  The room itself, and that goes for the entire house, is filled with original art works. The owner, a professional oil painter, uses her home as a gallery and studio. You can get acquainted with the local arts scene in the comfort of your own room.  The room is private, on the third level of a three-story townhouse, and has its own bathroom and shower, electric tea kettle.   We will provide a continental breakfast of fruit, snacks and coffee you wi",0.0,2015-03-30,1,0.9967,0.1,1,0.001,1.0,0.9047619047619048,0.02,4.8,0,1,47.67098702442725,https://www.airbnb.com/rooms/5671843,-122.37514055469671,90,14,Ballard Artcove ,0.9536,0.34,0.031,65.0,House,1.0,1.0,0.9,1.0,1.0,0.95,1.0,3.31,Private room,-1,0.8338,,0.5719,0.0,https://a1.muscache.com/ac/pictures/70589840/091fd824_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/70589840/091fd824_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9109,7.7181000054374325,"{'2015-03-30': 6.799703873820602, '2015-05-03': 7.880811556544853, '2015-07-26': 7.772750621661126, '2015-08-21': 8.152126672823922, '2015-12-01': 8.138173323986713}",0.8,8.139453488372096
757840,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",2.5,Real Bed,3,4,0.5,100.0,"Beautifully appointed craftsman home at the top of Queen Anne hill is a perfect location for travelers. Walk to restaurants and stores on Queen Anne Avenue; walk to Seattle Center attractions; take the express bus downtown in 10 minutes. 1ST FLOOR: •   Spacious living room with wood-burning fireplace, 46"" flat-panel LCD with surround sound, DVD/CD player, iPhone/iPod dock. •   Modern kitchen with all new appliances is fully equipped with place settings for 10, glasses, pots & pans, all basic small appliances. •   Dining room with handmade 9-foot farmhouse dining table seats 10. 2ND FLOOR: •   Bedroom #1 has one queen bed, walk-in closet, dresser, and en suite full bathroom with tub. •   Bedroom #2 has one queen bed, desk, reading chair, walk-in closet, built-in dresser. •   Bedroom #3 has two twin beds, walk-in closet, built-in dresser, well-stocked bookcase. •   Hall bathroom has a heated floor, double sink and double shower (no tub). AMENITIES: •   High-speed wifi •   Free Roku, Netf",0.0,2012-11-11,1,0.9412,0.1,1,0.0011111111111111111,0.75,0.9404761904761905,0.01,3.6,0,1,47.63152635962671,https://www.airbnb.com/rooms/757840,-122.35628277607009,14,2,Hilltop House - 3 Bd Great Location,0.9705,0.6903,0.098,250.0,House,1.0,1.0,1.0,1.0,1.0,0.98,1.0,2.56,Entire home/apt,500.0,0.6705,1800,0.9001,-0.6249,https://a2.muscache.com/ac/pictures/13457159/dcb608a5_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/13457159/dcb608a5_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.936,6.1997217389068195,"{'2012-11-11': 5.776727392724247, '2013-09-03': 6.340512452491696, '2014-10-20': 6.3670703264451864, '2015-07-11': 6.384772719798926, '2015-12-05': 6.135570805478229}",-0.1,6.046451162790698
6202603,4,"{TV,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",Shampoo}",1.0,Real Bed,1,1,0.5,10.0,"This cute 1 bedroom place is safe and quiet, but actually minutes in walking distance from awesome places and things in  Fremont. Restaurants, Cafes, and Brewery's are only a few blocks away! Close to bus lines to downtown. The space is a 1 bedroom in a 6 unit apartment building. Windows in every room in the apartment. Washer and Dryer in unit. Nice big bedroom. Whole apartment is about 750sq feet. No pets. Queen size bed. Free street parking with a restriction of moving your car every 2 hours from 8-5. No meter though! The place is right between Wallingford and Fremont. 0.5 miles to Gasworks Park, Coffee shops and restaurants and bars within blocks. The Famous Troll is just walking distance as well. Really close to Fremont's downtown area. Buslines 2 blocks away.",20.0,2015-05-12,2,0.0,0.1,1,0.0014285714285714286,0.5,0.9115826702033598,0.01,5.0,0,1,47.65158617574105,https://www.airbnb.com/rooms/6202603,-122.3399027062465,1125,1,Nice One bedroom in Fremont!,-0.1779,0.0,0.011,90.0,Apartment,0.9,1.0,0.9,1.0,1.0,0.92,0.9,1.39,Entire home/apt,-1,0.2244,,0.8197,0.0,https://a0.muscache.com/ac/pictures/77309706/306b5a5d_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/77309706/306b5a5d_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.8264,1.482260216784487,"{'2015-05-12': 2.2059739098550417, '2015-05-25': 1.9720227610178358, '2015-06-28': 0.7580814121806262, '2015-07-27': 2.196671677296903, '2015-09-07': -0.08330552270309652}",-3.2,0.0
3294804,4,"{TV,Internet,""Wireless Internet"",Kitchen,""Hot Tub"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",1.0,Real Bed,1,1,0.0,50.0,"This is a downtairs 1 BR unit with full kitchen in our home in Wallingford,  5 min walk to Burke Gilman trail, Gasworks Park, SUP rental. Great restaurants, bars, shops in Wallingford center.  You will have access to our fenced yard w/ HTub! Enjoy your own private apartment just steps from Gasworks Park, Lake Union and Burke Gillman Trail.  Why We Love Our Home  -We have a big terraced backyard with a hot tub, garden, deck, and grill  -It's within walking distance to many bars, shops and restaurants in Wallingford and Fremont (4645, Cantinetta, Whale Wins, Joule, Manolin, Westward, Ivars) -It's close to Lake Union (Westward Restaurant, Burke Gilman bike path, Gasworks, Stand Up Paddle Rental) -Public transportation to downtown Seattle, Ballard, University District, etc This unit is a Mother-In-Law Suite in the basement of the house shown. It has it's own entry from the side of the house.  We occasionally list our entire house, please inquire if interested. The unit includes 1 Bedroom w",10.0,2014-06-17,2,0.9578,0.1,1,0.001,1.0,0.9429549343981746,0.02,5.0,0,1,47.6508909185423,https://www.airbnb.com/rooms/3294804,-122.3335344192157,90,2,Craftsman w/ Hot Tub *Jan/Feb deal*,0.765,0.5499,0.017,119.0,Apartment,0.9,1.0,1.0,1.0,1.0,0.92,0.9,0.90,Entire home/apt,-1,0.9022,,0.6588,0.8126,https://a0.muscache.com/ac/pictures/42412375/1a52168d_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/42412375/1a52168d_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9661,9.02428094489277,"{'2014-06-17': 9.160107219964841, '2014-11-17': 8.93266763391833, '2015-03-24': 8.744685017639256, '2015-05-12': 9.15196776647647, '2015-11-16': 9.11723943159275}",0.2,9.06967674418605
8308353,2,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",1.0,Real Bed,1,1,1.0,-1,"Come stay in a room in our home, located in Wallingford right on the edge of Fremont.  Our location is convenient to most places in the city, and within walking distance to Gasworks Park, and the shops and restaurants in both Fremont and Wallingford! Nestled on a quiet street near Gasworks Park, Fremont, and Wallingford, this house has everything anyone visiting Seattle could want.  The room is bright and airy, and never feels dark - even when Seattle gets a little gloomy. You'll have the entire room to yourself, a bathroom that is shared with us, and full access to the entire main floor of the house - including the awesome kitchen!   Additionally, there is a cozy front porch and backyard to enjoy. We really love hosting!  We interact with you as much or as little as you'd like.   We love giving Seattle tourist tips, too. Our neighborhood is walkable with tons of amenities.  We have a wide variety of bars, restaurants, shops, and sites to see. We're convenient to a ton of AMAZING dinin",15.0,2015-09-14,1,0.9624,0.1,1,0.001,1.0,0.9362651370299554,0.01,4.8,0,1,47.65215975992442,https://www.airbnb.com/rooms/8308353,-122.33943011802265,1125,1,"Bright, Central, and Cozy Bedroom",0.7978,0.8997,0.007,65.0,House,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.86,Private room,-1,0.4391,,0.0,0.8271,https://a0.muscache.com/ac/pictures/105786751/6f9e7ec1_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/105786751/6f9e7ec1_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9857,9.172657639948191,"{'2015-09-14': 9.21385324125083, '2015-09-18': 9.127342478460129, '2015-09-28': 9.03664571101827, '2015-09-29': 9.266410855204319, '2015-12-03': 9.22315547380897}",0.1,9.30223255813954
4279876,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",1.0,Real Bed,2,2,0.0,-1,"This spacious two-bedroom in Wallingford offers on-site parking, private patio, well-equipped kitchen, and a full bath. Easy access to restaurants, bars, I-5, the University, and minutes to downtown. Public transit 1/2 block away. Walk score of 92! Sunnyside Seattle Suite is a two-bedroom apartment in a spacious light-filled triplex with two queen beds, private bath with tub and shower, private entry, enclosed patio, full kitchen, and updated furnishings. Amenities include Wifi internet, TV, local cable, HBO, heating, hair dryer, linens, coffee, and tea. It is a main-level unit of a triplex with the owners living on site. Shared laundry is available. The apartment is accessed by a coded lock and no keys are needed.  Dedicated parking is available.  We like to give guests their privacy, but we are available any time for questions or needs.  Laid-back, centrally-located Wallingford is bordered by the waters of Lake Union to the south, Greenlake to the north, funky Fremont  to the west, t",15.0,2014-10-17,2,0.9862,0.1,1,0.001,0.75,0.9370277078085643,0.01,4.8,0,1,47.66182279618636,https://www.airbnb.com/rooms/4279876,-122.32930066581253,29,2,"Seattle Sunyside Suite, private 2BR",0.9501,0.3818,0.064,95.0,Apartment,1.0,1.0,1.0,1.0,1.0,0.97,1.0,4.31,Entire home/apt,400.0,0.3071,,0.0,0.2732,https://a0.muscache.com/ac/pictures/53977179/66381807_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/53977179/66381807_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.3699,6.9558264196448665,"{'2014-10-17': 7.118076585991222, '2015-01-26': 6.858508519801592, '2015-05-04': 7.086914106921452, '2015-09-13': 6.7498512879590145, '2015-12-20': 6.966611195472438}",0.0,6.976674418604654
