id,accommodates,amenities,bathrooms,bed_type,bedrooms,beds,cancellation_policy,cleaning_fee,description,extra_people,first_review,guests_included,host_about,host_acceptance_rate,host_identity_verified,host_response_rate,host_response_time,host_since,host_total_listings_count,host_verifications,instant_bookable,is_location_exact,latitude,listing_url,longitude,maximum_nights,minimum_nights,name,neighborhood_overview,notes,number_of_reviews,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,reviews_per_month,room_type,security_deposit,space,square_feet,summary,transit,picture_url,thumbnail_url,description_score,avg_comment_score,comments_scores_5,comments_scores_though_time,SCORE
1086168,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",2.0,Real Bed,2,3,0.5,80.0,"Beautiful 2bd/2ba Penthouse 25 feet off Logan Circle! 17' ceilings, great art, vintage stereo, seats 12 for dinner, elegant living space, lofted lounge with sectional couch and DirecTV, fully-equipped kitchen, funky handmade light fixture and more! The space is gorgeous -- the pics tell the story. Have a cocktail on that buttery brown leather couch under a globe-spanning art collection and the watchful eye of Otis, the wooden giraffe I picked up in Zimbabwe.  Or head upstairs, throw your feet up on the sectional couch and find something to watch -- with Netflix, Amazon Prime and every channel DirecTV has to offer, it won't be hard. Oh -- and I've got a ton of classic movies stored locally, so if you're into things like Aliens or Godfather or Caddyshack or The Big Lebowski, you're covered.  Each of the two bedrooms has its own private bath, and guests 5 & 6 can crash on the sectional couch in the loft or on the queen-sized Aerobed! The bathrooms include towels, face soap, body soap, sha",40.0,2013-10-05,4,0.9847,0.1,1,0.00125,0.5,0.9342969776609724,0.01,4.8,0,1,38.9095093867612,https://www.airbnb.com/rooms/1086168,-77.03267770094088,1125,3,2bd/2ba A+ Logan Circle Penthouse,0.976,0.9577,0.033,372.0,Apartment,1.0,1.0,0.9,1.0,1.0,0.96,0.9,1.36,Entire home/apt,-1,0.8219,,0.9059,0.9538,https://a1.muscache.com/ac/pictures/19842036/e404daf4_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/19842036/e404daf4_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9543,10.024401836155663,"{'2013-10-05': 10.082369170919844, '2014-06-30': 10.17402091545766, '2015-03-12': 10.114469690247576, '2015-06-09': 9.7264903768022, '2015-09-18': 9.975049982684551}",-0.1,9.9999
4468217,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials}",1.0,Real Bed,1,1,0.0,49.0,"Cozy 1 BD in Washington, DC (Navy Yard)  across from Harris Teeter grocery store.  1 block from the Yards Waterfront (10 restaurants & Vida Fitness gym), 4 blocks from Metro-Navy Yard-Green Line and the Nationals Stadium. 1 mile from Capitol Hill At DC's Capitol Hill Home Sweet Home, you will be cozy and yet very comfortable. A dining room table to share a meal, a full size sofa, and and a queen size bed for a good nights rest after a long day of sightseeing! What more do you need? Message me if you have any questions If you'd like, I can help get tickets to the Washington Wizards basketball game depending on when you are in town! During the summer, I will have rooftop pool membership at Vida Fitness. I am available by phone or Skype chat. Message me if you have any questions. The neighborhood is quiet and yet exciting. 4 blocks from the Washington Nationals Baseball Stadium, 1 block from the new Harris Teeter Grocery Store, and 1 block from the new Vida Fitness gym. 1 - 2 blocks from ",0.0,2014-12-14,2,0.9051,0.125,1,0.002,0.5,0.8942917547568711,0.01,5.8,0,1,38.87834062377633,https://www.airbnb.com/rooms/4468217,-77.00073848638633,31,5,DC's Capitol Hill/Waterfront 1BD,-0.6988,0.3182,0.006,102.0,Apartment,1.0,0.9,0.9,1.0,1.0,0.88,1.0,0.61,Entire home/apt,100.0,0.8997,,-0.4019,-0.6908,https://a0.muscache.com/ac/pictures/56393605/54ff9423_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/56393605/54ff9423_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9114,0.23106143210766872,"{'2014-12-14': 0.9788317321253523, '2015-04-13': -2.1564310325805276, '2015-04-20': 1.4737287438900613, '2015-04-26': 0.025115779184179454, '2015-08-08': 0.08629163800770911}",0.0,0.0
4430318,2,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Pets live on this property"",Dog(s),""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher""}",1.0,Real Bed,1,1,1.0,-1,"Luxury building on the capital riverfront--every room has water views. Near Nationals stadium, walking distance to restaurants, park, riverwalk. Navy Yard metro stop is two blocks away. Gym in building. 4 stops to downtown on metro. Stay in style! Private guest bedroom with en suite bathroom.  Guests will have access to kitchen, living room, and private roof deck. We are happy to help and easygoing. Capital Riverfront is THE new DC up and coming neighborhood. Awesome restaurants and beautiful river setting Metro two block away I am a singer/novelist, and my husband is a radio executive. We are easygoing and happy to host!",0.0,2014-11-15,1,0.9287,0.1,1,0.001,0.75,0.9601752289924332,0.01,3.6,1,1,38.87407493052763,https://www.airbnb.com/rooms/4430318,-77.00230630109228,1125,2,Stunning Penthouse Loft Guestroom ,0.8402,0.7424,0.008,120.0,Apartment,0.9,0.9,0.9,1.0,0.9,0.94,0.8,0.74,Private room,-1,0.0,,-0.6114,-0.4404,https://a1.muscache.com/ac/pictures/55655376/3598c2c2_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/55655376/3598c2c2_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9492,2.3359815868132743,"{'2014-11-15': 2.806418058870613, '2014-11-20': 2.8346530706353192, '2015-04-16': 2.844456894164729, '2015-04-23': -0.6415866764235046, '2015-09-21': 2.3583833235764953}",0.8,2.3529176470588222
23378,3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",1.0,Real Bed,1,1,0,-1,"These luxurious apartment homes offer unabridged access to the best of Washington as well as stirring views of this city of landmarks.  At the Newseum Residences, a concierge is ready to assist residents with their every need. Personal trainers are available in the fully equipped fitness center.  The well-appointed clubroom features large plasma TVs and comfortable seating overlooking the Newseum galleries. Gourmet coffee service is also provided in the clubroom, along with a daily selection of some of the world's top newspapers.  Each furnished unit includes: utilities (capped), high-speed Internt, premium Cable TV and unlimited local phone service. Monthly housekeeping is included in rental.  Unit Features:  Floor to Ceiling Windows Breathtaking views  Fully Applianced Kitchen with granite countertops and maple cabinetry  Washer/Dryer In Unit Property Amenities: 24-hour concierge desk The Source, a fine-dining restaurant by chef Wolfgang Puck  Rooftop terrace  Gourmet coffee bar  Fit",0.0,2011-03-12,3,0.9753,0.19607843137254904,1,0.0017241379310344827,0.5,0.9653379549393414,4.8,3.8,0,1,38.89371298078328,https://www.airbnb.com/rooms/23378,-77.0187753708404,365,4,[1396] 1 BR at Newseum Residences,0.0,0.0,0.006,249.0,Apartment,0.9,1.0,1.0,0.9,1.0,0.96,0.9,0.11,Entire home/apt,-1,0.9627,,0.0,0.0,https://a1.muscache.com/ac/pictures/373098/e25728e3_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/373098/e25728e3_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9627,7.09209645891443,"{'2011-03-12': 7.0476524589563585, '2012-03-25': 6.933535953074007, '2012-04-01': 7.162161117779888, '2012-10-26': 7.011182235426949, '2015-05-16': 7.350394529544596}",0.6,7.254829411764707
6430122,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Gym,""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,0,1,0.0,-1,"Modern corporate apartment with all of the amenities. A full service building  with a 24/7 Safeway next door located in Mt. Vernon Square/Chinatown. This will be your home away from home. Walking distance to all of downtown DC and the National Mall. Please ask in advance about FREE GUEST PARKING available up to 5 days in the building's parking garage. I need to know in advance in order to reserve it. Please relax and enjoy the comfortable Beautyrest Queen mattress in the apartment. Please enjoy the courtyard through the third floor party room and free  coffee in the second floor lounge. Also available for guest use are a 24/7 gym and business center, both located on the second floor. I will be out of town during this time. Please message me through AIRBNB should any problems arise. Mount Vernon/Chinatown Metros are only a few blocks away. I will leave the keys with the concierge for you. Please lock the door on your way out and return them to the concierge for Greg in unit #316. If you",0.0,2015-06-24,0,0.0,0.1,1,0.001,1.0,0.8666666666666667,0.01,6.7,1,1,38.90388849158852,https://www.airbnb.com/rooms/6430122,-77.01749486149016,1125,3,Downtown Luxury Furnished Studio,0.0,0.872,0.013,190.0,Apartment,1.0,1.0,0.9,1.0,1.0,0.95,1.0,3.82,Entire home/apt,-1,0.9519,,0.0,-0.2263,https://a2.muscache.com/ac/pictures/80650614/fea31126_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/80650614/fea31126_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9805,6.3292167473956775,"{'2015-06-24': 6.110827780000005, '2015-07-26': 6.340367968235292, '2015-08-04': 6.4607589211764695, '2015-09-13': 6.297165785882353, '2015-09-24': 6.474811068235294}",0.4,6.470523529411764
1498731,6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer}",1.0,Real Bed,0,3,0.0,129.0,This lower level apartment is in a Small Boutique Building. One block from the Convention Center and The Covention Center Metro. It is perfect for the budget shopper who will not compromise on location! You can walk to the White House and the Monuments!  This Apt has a total of 3 beds. 1 queen in the back bedroom. 1 full in living area. The sofa also turns into a bed. This apt also has Wi-Fi We are almost always available via phone or email. Once you book a stay with us we will send you instructions on how to enter the property. We like to leave our guests alone but are always available to answer any needs. This location has a walk-score of 95. Nice walk to the 14th st corridor nightlife. 13 Min walk to Whole Foods. Zip Car is on the corner along with Capitol Bike Share.  Metro train available at the Convention center a quick 5 min walk. Bus runs up 11th st all day. I suggest putting together a travel itinerary and using (website hidden) Maps for public transportation directions. 2 nig,0.0,2013-09-03,1,0.9084,0.10638297872340426,1,0.0010869565217391304,0.5,0.9283667621776505,0.3,4.8,0,1,38.90475151074683,https://www.airbnb.com/rooms/1498731,-77.02632710838512,100000,3,Fresh Fun Walk to Convention Center,0.6124,0.0,0.024,150.0,Apartment,0.9,0.9,0.9,0.9,0.9,0.86,0.9,0.95,Entire home/apt,-1,0.0,,-0.2462,0.0,https://a2.muscache.com/ac/pictures/22079144/e68e0d20_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/22079144/e68e0d20_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.7926,2.6260320949066425,"{'2013-09-03': 2.9100978817186975, '2014-05-13': 3.1288407923069346, '2014-10-25': 2.267123919365755, '2015-04-21': 2.2147322864245793, '2015-09-21': 2.605198969953995}",-0.1,2.548994117647057
6792155,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",1.0,Real Bed,1,1,0.5,10.0,"Great location! 5 - 10 minute walk from the Chinatown, Convention Center, and Penn Quarter area. Bike share across the street. A cloud-like queen-size mattress and quiet bedroom - the perfect launching pad for your DC experience! Home is in a refurbished row house - the apt is up a short flight of stairs on the 2nd floor. New stove/oven and most any cooking equipment you'd like to use.     The common areas are shared with a wonderful, fun, and respectful roommate (careful, he's a big OSU fan) who's often not around due to his work schedule. The large living room is a little cluttered as my roommate's ""room"" is on one side of the living room, but the private room is in the back of the apartment (next to the bathroom) with a door that locks should you feel the need.  A large TV and washer/dryer are also in the unit.  Across the street is a Safeway and a number of delicious restaurants / eateries. My friends and I are loving the emerging DC culinary scene - feel free to ask for restaurant",65.0,2015-06-19,2,0.9602,0.1,1,0.001,0.5,0.9109528049866429,0.01,5.8,0,1,38.905078763372316,https://www.airbnb.com/rooms/6792155,-77.01843920062107,1125,2,Comfy 1 BR Steps from Chinatown,0.802,0.0,0.012,90.0,Apartment,0.9,1.0,0.9,1.0,1.0,0.97,0.9,3.36,Private room,-1,0.9829,,0.8906,0.0,https://a0.muscache.com/ac/pictures/85799650/858e6654_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a0.muscache.com/ac/pictures/85799650/858e6654_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9877,8.155203310876853,"{'2015-06-19': 8.333306104991884, '2015-06-26': 8.037230634403643, '2015-07-25': 8.076184493227174, '2015-08-13': 8.160693452050701, '2015-09-20': 8.138536810874236}",-0.0,8.235211764705882
2642542,4,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",1.0,Real Bed,1,2,1.0,45.0,"Right at the heart of Washington DC Walking distance to Union Station, Convention Center, Georgetown Law School, US Capitol and the Mall Access to three metro lines (red, green and yellow) Your home out of home!  Perfect for a couple of days in DC. Walking distance to Red and Green/Yellow Metro Lines, Union Station and the Capitol. Groceries store open 24 hrs across the street and walking distance of great restaurants @Chinatown. 24/7 concierge. Great neighborhood with groceries store across the street and many restaurants walking distance. Very close to red, yellow and green metro lines. Circulator (special bus that takes you to Georgetown) stop one block away. 20-25 minutes ride to Georgetown. 10-15 minutes walking to Union Station and the Capitol Queen size bed in the bedroom and a full size sofa bed in the living room. Amazing balcony facing inner backyard. Perfect for breakfast, lunch, dinner, or just to hang around after a day in an event in DC or just a long day of knowing the n",25.0,2014-04-11,2,0.8894,0.2222222222222222,1,0.001,0.75,0.9142367066895369,0.01,3.8,0,1,38.89797686579216,https://www.airbnb.com/rooms/2642542,-77.01487156788517,90,2,Where location meets convinience,0.6249,0.0,0.025,150.0,Apartment,1.0,1.0,1.0,1.0,1.0,0.95,0.9,1.39,Entire home/apt,200.0,0.8439,,0.0,-0.1531,https://a2.muscache.com/ac/pictures/95668164/c96d17d1_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/95668164/c96d17d1_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9485,4.5186395704073306,"{'2014-04-11': 4.796048561043624, '2014-05-23': 4.495424116337742, '2014-10-03': 4.72828453280833, '2014-12-24': 4.509149469278915, '2015-09-19': 4.0642911728083275}",-1.2,4.117605882352941
6790744,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Doorman,Breakfast,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,2,2,0.5,-1,"Customized amenities, 5 starlike accomodations and blocks from the White House, this 2 bedroom, seventh floor world class rarity  is worthy of the most descerning guests. Seriously one of a kind, it has earned the name ""critical mass"". This space simply must be experienced to believe. Black and white historical photographs of the District preface your stay in this notable address. As you embark on your daily excursions, white umbrellas are offered as gifts for your travels and a Polaroid camera and film stands ready, should you care to try your hand at capturing the sights. Returning from your daily ventures,  unwind with a stocked pantry and soft bathrobes or make use of the efficiency bar stocked with Absolut,  Bombay, 1800, Makers Mark, Jack Daniels, Captain Morgan and Jim Beam... and after a few shots, the karaoke machine stands ready to build regrettable memories. Cable TV or Internet can be projected across the room and Bluetooth sound is ready throughout the space.  The bathroom",0.0,2015-08-07,0,0.0,0.1,1,0.001,0.75,0.9402985074626866,0.01,4.8,0,1,38.903857139217884,https://www.airbnb.com/rooms/6790744,-77.02939549406855,1125,2,critical mass,-0.7269,0.0,0.005,269.0,Apartment,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.59,Entire home/apt,200.0,0.9022,,0.2815,-0.2263,https://a1.muscache.com/ac/pictures/88162254/a4750101_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a1.muscache.com/ac/pictures/88162254/a4750101_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9222,1.7763152772578295,"{'2015-08-07': 1.8643928279367892, '2015-08-09': 1.8290990632309057, '2015-08-14': 1.821256004407377, '2015-09-07': 1.7443940279367869, '2015-09-29': 1.6224344632309062}",-0.4,1.5686117647058804
5423355,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",1.0,Real Bed,1,1,1.0,-1,"Private bedroom and bath in a modern downtown DC condo. Be blocks away from DC's most popular sights as well the Washington Convention Center, metro, and Union Station. Welcome to the most centrally located neighborhood in DC! Minutes from Chinatown, our apartment is perfect for getting to most of DC's sights by foot.  DC residents since 2013, my boyfriend and I have a modern 2 bed/2 bath ground floor condo in the heart of downtown DC. There are hardwood floors throughout the apartment, high ceilings, and a completely modern kitchen (granite counter tops and new stainless steel appliances).  The private bed and bath are located right as you walk into our apartment. It is a small, interior room. The bedroom has a queen sized bed and plenty of closet space. Just outside of your private bedroom, you will find a private bathroom. Fresh towels, soap, shampoo & conditioner, and hair dryer provided. If you've forgotten something, just ask. There is also a CVS Pharmacy across the street and a ",0.0,2015-03-20,1,0.7959,0.1,1,0.001,0.75,0.9320652173913043,0.02,4.8,0,1,38.899210995906955,https://www.airbnb.com/rooms/5423355,-77.01779573591759,10,1,Private Room & in Downtown DC,-0.0516,0.3182,0.018,170.0,Apartment,1.0,1.0,1.0,1.0,1.0,0.99,0.9,2.73,Private room,200.0,0.8687,,0.5095,0.4215,https://a2.muscache.com/ac/pictures/68563782/0d0cb794_original.jpg?interpolation=lanczos-none&size=large_cover&output-format=jpg&output-quality=70,https://a2.muscache.com/ac/pictures/68563782/0d0cb794_original.jpg?interpolation=lanczos-none&size=small&output-format=jpg&output-quality=70,0.9323,5.447818875384107,"{'2015-03-20': 5.472840411713552, '2015-04-27': 5.470781608772377, '2015-05-19': 5.422644835242966, '2015-06-27': 5.257254332301793, '2015-09-12': 5.607969779360614}",0.4,5.686217647058822
